R,thai
946,7
947,7
948,2
949,4
950,4
951,4
952,2
953,2
954,2
955,4
956,2
957,2
958,2
959,2
960,4
961,3
962,3
963,4
964,2
965,2
966,7
967,4
968,7
969,3
970,7
971,2
972,2
973,3
974,2
975,7
976,2
977,4
978,4
979,4
980,4
981,2
982,4
983,4
984,2
985,4
986,7
987,2
988,4
989,4
990,2
991,4
992,4
993,2
994,4
995,4
996,4
997,2
998,7
999,2
1000,3
1001,7
1002,4
1003,4
1004,4
1005,4
1006,7
1007,2
1008,2
1009,4
1010,4
1011,7
1012,7
1013,7
1014,2
1015,4
1016,2
1017,2
1018,4
1019,4
1020,4
1021,4
1022,3
1023,7
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,7
1037,7
1038,4
1039,4
1040,3
1041,4
1042,3
1043,7
1044,4
1045,7
1046,7
1047,4
1048,4
1049,4
1050,4
1051,2
1052,4
1053,2
1054,3
1055,7
1056,7
1057,4
1058,7
1059,2
1060,4
1061,4
1062,7
1063,4
1064,4
1065,4
1066,4
1067,4
1068,4
1069,7
1070,4
1071,4
1072,4
1073,4
1074,3
1075,4
1076,2
1077,2
1078,2
1079,4
1080,2
1081,4
1082,4
1083,7
1084,4
1085,4
1086,4
1087,4
1088,4
1089,7
1090,4
1091,4
1092,4
1093,2
1094,2
1095,4
1096,7
1097,4
1098,2
1099,4
1100,7
1101,4
1102,4
1103,4
1104,4
1105,4
1106,4
1107,2
1108,4
1109,4
1110,3
1111,2
1112,7
1113,4
1114,7
1115,4
1116,4
1117,4
1118,4
1119,2
1120,4
1121,4
1122,2
1123,3
1124,7
1125,2
1126,7
1127,7
1128,4
1129,4
1130,7
1131,4
1132,4
1133,2
1134,3
1135,4
1136,4
1137,3
1138,7
1139,4
1140,4
1141,4
1142,7
1143,3
1144,2
1145,2
1146,7
1147,7
1148,2
1149,7
1150,2
1151,4
1152,2
1153,4
1154,4
1155,4
1156,4
1157,4
1158,7
1159,3
1160,7
1161,4
1162,4
1163,4
1164,4
1165,7
1166,2
1167,4
1168,2
1169,4
1170,4
1171,7
1172,4
1173,4
1174,7
1175,7
1176,4
1177,2
1178,4
1179,7
1180,7
1181,4
1182,4
1183,7
1184,4
1185,4
1186,2
1187,4
1188,4
1189,7
1190,4
1191,2
1192,4
1193,2
1194,4
1195,7
1196,4
1197,7
1198,4
1199,4
1200,4
1201,4
1202,7
1203,4
1204,7
1205,2
1206,4
1207,7
1208,4
1209,7
1210,4
1211,4
1212,4
1213,4
1214,4
1215,7
1216,4
1217,4
1218,4
1219,7
1220,4
1221,4
1222,1
1223,4
1224,7
1225,4
1226,4
1227,4
1228,2
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,7
1236,7
1237,4
1238,4
1239,2
1240,7
1241,4
1242,7
1243,4
1244,2
1245,7
1246,4
1247,7
1248,7
1249,4
1250,2
1251,4
1252,3
1253,4
1254,4
1255,7
1256,2
1257,2
1258,4
1259,4
1260,4
1261,4
1262,4
1263,2
1264,2
1265,7
1266,7
1267,4
1268,4
1269,4
1270,3
1271,7
1272,4
1273,4
1274,4
1275,4
1276,2
1277,4
1278,4
1279,7
1280,2
1281,4
1282,4
1283,7
1284,2
1285,4
1286,2
1287,7
1288,7
1289,4
1290,7
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,7
1303,2
1304,4
1305,4
1306,7
1307,2
1308,7
1309,2
1310,7
1311,4
1312,2
1313,2
1314,4
1315,4
1316,4
1317,7
1318,2
1319,4
1320,4
1321,7
1322,2
1323,3
1324,2
1325,4
1326,4
1327,4
1328,4
1329,4
1330,2
1331,2
1332,7
1333,4
1334,4
1335,4
1336,4
1337,7
1338,4
1339,2
1340,7
1341,7
1342,2
1343,4
1344,4
1345,4
1346,4
1347,7
1348,4
1349,4
1350,4
1351,2
1352,4
1353,4
1354,2
1355,2
1356,4
1357,4
1358,4
1359,4
1360,2
1361,4
1362,2
1363,7
1364,4
1365,4
1366,4
1367,4
1368,7
1369,7
1370,7
1371,4
1372,4
1373,2
1374,4
1375,7
1376,4
1377,4
1378,7
1379,4
1380,4
1381,2
1382,2
1383,7
1384,4
1385,7
1386,7
1387,4
1388,4
1389,7
1390,4
1391,4
1392,4
1393,2
1394,4
1395,7
1396,7
1397,4
1398,7
1399,4
1400,2
1401,2
1402,4
1403,2
1404,2
1405,4
1406,7
1407,4
1408,7
1409,4
1410,4
1411,4
1412,4
1413,4
1414,7
1415,7
1416,4
1417,4
1418,2
1419,7
1420,4
1421,4
1422,7
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,7
1430,4
1431,7
1432,4
1433,4
1434,2
1435,4
1436,4
1437,7
1438,4
1439,2
1440,2
1441,4
1442,4
1443,4
1444,4
1445,4
1446,4
1447,4
1448,4
1449,4
1450,4
1451,3
1452,4
1453,4
1454,4
1455,2
1456,4
1457,4
1458,4
1459,4
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,4
1467,7
1468,4
1469,4
1470,4
1471,4
1472,4
1473,2
1474,7
1475,4
1476,7
1477,2
1478,4
1479,7
1480,4
1481,4
1482,7
1483,4
1484,2
1485,4
1486,2
1487,4
1488,4
1489,4
1490,2
1491,4
1492,7
1493,4
1494,7
1495,4
1496,4
1497,4
1498,4
1499,4
1500,7
1501,2
1502,2
1503,4
1504,7
1505,7
1506,7
1507,3
1508,4
1509,7
1510,4
1511,4
1512,4
1513,4
1514,4
1515,4
1516,4
1517,4
1518,4
1519,2
1520,2
1521,2
1522,2
1523,3
1524,4
1525,4
1526,7
1527,7
1528,2
1529,2
1530,7
1531,4
1532,4
1533,4
1534,4
1535,2
1536,4
1537,4
1538,4
1539,7
1540,4
1541,4
1542,2
1543,4
1544,3
1545,7
1546,7
1547,4
1548,4
1549,4
1550,4
1551,2
1552,4
1553,2
1554,4
1555,4
1556,4
1557,7
1558,4
1559,7
1560,4
1561,7
1562,4
1563,2
1564,4
1565,4
1566,4
1567,7
1568,7
1569,4
1570,2
1571,4
1572,4
1573,7
1574,2
1575,4
1576,2
1577,7
1578,2
1579,4
1580,4
1581,2
1582,4
1583,4
1584,4
1585,2
1586,2
1587,7
1588,2
1589,4
1590,4
1591,4
1592,4
1593,7
1594,4
1595,4
1596,7
1597,4
1598,2
1599,7
1600,4
1601,7
1602,4
1603,2
1604,4
1605,2
1606,4
1607,4
1608,4
1609,4
1610,4
1611,7
1612,7
1613,2
1614,7
1615,4
1616,2
1617,2
1618,2
1619,4
1620,4
1621,4
1622,7
1623,2
1624,4
1625,4
1626,4
1627,4
1628,4
1629,7
1630,7
1631,4
1632,4
1633,7
1634,7
1635,2
1636,4
1637,4
1638,4
1639,2
1640,4
1641,4
1642,4
1643,4
1644,4
1645,4
1646,4
1647,2
1648,7
1649,2
1650,7
1651,4
1652,4
1653,4
1654,7
1655,7
1656,4
1657,4
1658,4
1659,7
1660,4
1661,4
1662,4
1663,4
1664,4
1665,4
1666,4
1667,4
1668,4
1669,4
1670,4
1671,4
1672,4
1673,4
1674,2
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,4
1682,2
1683,2
1684,4
1685,4
1686,4
1687,4
1688,4
1689,2
1690,4
1691,4
1692,7
1693,4
1694,4
1695,4
1696,4
1697,4
1698,7
1699,4
1700,4
1701,4
1702,2
1703,4
1704,7
1705,4
1706,4
1707,4
1708,4
1709,4
1710,7
1711,2
1712,7
1713,4
1714,4
1715,7
1716,4
1717,4
1718,4
1719,7
1720,4
1721,4
1722,4
1723,2
1724,4
1725,4
1726,2
1727,7
1728,2
1729,4
1730,3
1731,4
1732,4
1733,2
1734,7
1735,4
1736,4
1737,4
1738,4
1739,4
1740,4
1741,2
1742,2
1743,7
1744,4
1745,2
1746,7
1747,4
1748,4
1749,7
1750,7
1751,7
1752,4
1753,4
1754,4
1755,2
1756,7
1757,4
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,7
1765,4
1766,4
1767,4
1768,4
1769,4
1770,4
1771,4
1772,2
1773,4
1774,4
1775,2
1776,4
1777,7
1778,4
1779,2
1780,2
1781,4
1782,2
1783,4
1784,4
1785,2
1786,4
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,4
1794,2
1795,4
1796,4
1797,4
1798,4
1799,4
1800,4
1801,4
1802,4
1803,4
1804,2
1805,7
1806,7
1807,4
1808,4
1809,4
1810,4
1811,4
1812,4
1813,4
1814,4
1815,4
1816,7
1817,4
1818,4
1819,4
1820,4
1821,2
1822,4
1823,7
1824,7
1825,4
1826,4
1827,4
1828,4
1829,4
1830,2
1831,4
1832,4
1833,4
1834,7
1835,4
1836,4
1837,4
1838,4
1839,4
1840,4
1841,4
1842,4
1843,4
1844,4
1845,7
1846,2
1847,7
1848,2
1849,2
1850,3
1851,7
1852,4
1853,4
1854,4
1855,4
1856,7
1857,4
1858,4
1859,7
1860,7
1861,4
1862,7
1863,4
1864,7
1865,4
1866,4
1867,4
1868,4
1869,2
1870,4
1871,4
1872,4
1873,4
1874,4
1875,4
1876,4
1877,7
1878,4
1879,4
1880,4
1881,4
1882,4
1883,4
1884,4
1885,2
1886,4
1887,7
1888,4
1889,2
1890,2
1891,2
1892,7
1893,7
1894,4
1895,4
1896,4
1897,4
1898,4
1899,4
1900,4
1901,4
1902,4
1903,4
1904,4
1905,4
1906,7
1907,4
1908,4
1909,4
1910,4
1911,4
1912,4
1913,4
1914,2
1915,7
1916,4
1917,4
1918,4
1919,4
1920,7
1921,4
1922,7
1923,4
1924,4
1925,4
1926,7
1927,4
1928,2
1929,4
1930,7
1931,4
1932,4
1933,4
1934,4
1935,4
1936,7
1937,4
1938,7
1939,4
1940,4
1941,7
1942,2
1943,4
1944,4
1945,2
1946,4
1947,2
1948,4
1949,4
1950,4
1951,4
1952,2
1953,4
1954,4
1955,4
1956,4
1957,4
1958,4
1959,4
1960,4
1961,7
1962,4
1963,4
1964,4
1965,4
1966,4
1967,4
1968,4
1969,4
1970,2
1971,4
1972,4
1973,4
1974,4
1975,4
1976,4
1977,4
1978,4
1979,7
1980,4
1981,4
1982,4
1983,4
1984,7
1985,4
1986,4
1987,4
1988,4
1989,2
1990,7
1991,4
1992,4
1993,7
1994,4
1995,4
1996,2
1997,4
1998,4
1999,4
2000,4
2001,4
2002,4
2003,4
2004,4
2005,2
2006,2
2007,7
2008,4
2009,2
2010,4
2011,4
2012,4
2013,7
2014,4
2015,4
2016,4
2017,7
2018,4
2019,4
2020,4
2021,4
2022,4
2023,4
2024,4
2025,4
2026,7
2027,2
2028,7
2029,2
2030,4
2031,4
2032,4
2033,4
2034,4
2035,4
2036,7
2037,7
2038,2
2039,4
2040,4
2041,4
2042,4
2043,4
2044,4
2045,4
2046,4
2047,4
2048,2
2049,4
2050,4
2051,4
2052,7
2053,4
2054,7
2055,4
2056,7
2057,4
2058,4
2059,4
2060,2
2061,4
2062,4
2063,4
2064,4
2065,2
2066,4
2067,4
2068,4
2069,4
2070,4
2071,7
2072,2
2073,4
2074,4
2075,4
2076,2
2077,4
2078,4
2079,4
2080,2
2081,4
2082,4
2083,4
2084,4
2085,4
2086,4
2087,4
2088,7
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,4
2097,4
2098,4
2099,4
2100,4
2101,4
2102,4
2103,4
2104,4
2105,4
2106,4
2107,4
2108,2
2109,7
2110,4
2111,4
2112,4
2113,7
2114,7
2115,4
2116,4
2117,4
2118,4
2119,4
2120,2
2121,4
2122,4
2123,4
2124,7
2125,7
2126,4
2127,4
2128,4
2129,4
2130,4
2131,4
2132,4
2133,4
2134,4
2135,2
2136,4
2137,2
2138,4
2139,4
2140,4
2141,4
2142,4
2143,4
2144,4
2145,4
2146,4
2147,4
2148,7
2149,2
2150,4
2151,4
2152,4
2153,4
2154,4
2155,4
2156,4
2157,2
2158,7
2159,4
2160,2
2161,4
2162,4
2163,4
2164,4
2165,4
2166,7
2167,4
2168,4
2169,4
2170,4
2171,4
2172,4
2173,7
2174,4
2175,4
2176,4
2177,4
2178,7
2179,4
2180,4
2181,4
2182,4
2183,2
2184,4
2185,4
2186,2
2187,7
2188,4
2189,4
2190,4
2191,4
2192,4
2193,2
2194,7
2195,7
2196,2
2197,4
2198,4
2199,4
2200,7
2201,4
2202,4
2203,4
2204,4
2205,4
2206,4
2207,4
2208,4
2209,4
2210,4
2211,4
2212,7
2213,2
2214,7
2215,4
2216,7
2217,4
2218,4
2219,4
2220,7
2221,7
2222,7
2223,4
2224,4
2225,7
2226,4
2227,4
2228,4
2229,7
2230,4
2231,4
2232,4
2233,7
2234,2
2235,2
2236,4
2237,4
2238,7
2239,4
2240,4
2241,4
2242,4
2243,7
2244,4
2245,4
2246,4
2247,4
2248,4
2249,4
2250,4
2251,4
2252,2
2253,4
2254,4
2255,4
2256,4
2257,4
2258,4
2259,2
2260,4
2261,4
2262,7
2263,4
2264,7
2265,7
2266,2
2267,7
2268,4
2269,4
2270,4
2271,4
2272,4
2273,4
2274,4
2275,4
2276,4
2277,7
2278,4
2279,4
2280,7
2281,4
2282,4
2283,4
2284,4
2285,2
2286,4
2287,4
2288,7
2289,4
2290,2
2291,7
2292,4
2293,4
2294,4
2295,4
2296,2
2297,4
2298,7
2299,4
2300,4
2301,4
2302,4
2303,4
2304,2
2305,7
2306,4
2307,7
2308,4
2309,4
2310,4
2311,4
2312,7
2313,4
2314,4
2315,7
2316,4
2317,7
2318,2
2319,4
2320,7
2321,2
2322,7
2323,4
2324,4
2325,4
2326,2
2327,4
2328,4
2329,4
2330,4
2331,4
2332,4
2333,2
2334,4
2335,7
2336,4
2337,4
2338,4
2339,7
2340,2
2341,4
2342,4
2343,4
2344,7
2345,4
2346,4
2347,4
2348,4
2349,7
2350,4
2351,4
2352,4
2353,2
2354,4
2355,4
2356,4
2357,4
2358,7
2359,7
2360,4
2361,4
2362,2
2363,7
2364,4
2365,4
2366,7
2367,4
2368,4
2369,4
2370,4
2371,4
2372,2
2373,4
2374,4
2375,4
2376,2
2377,4
2378,4
2379,4
2380,2
2381,4
2382,4
2383,4
2384,4
2385,7
2386,4
2387,4
2388,2
2389,4
2390,4
2391,7
2392,4
2393,4
2394,4
2395,4
2396,4
2397,4
2398,7
2399,4
2400,7
