R,french
415,7
416,3
417,3
418,4
419,7
420,2
421,2
422,3
423,3
424,3
425,2
426,7
427,3
428,3
429,3
430,2
431,7
432,3
433,2
434,7
435,2
436,2
437,2
438,2
439,4
440,2
441,7
442,7
443,4
444,7
445,4
446,7
447,4
448,3
449,4
450,3
451,2
452,2
453,7
454,7
455,3
456,7
457,4
458,4
459,4
460,4
461,7
462,7
463,3
464,2
465,4
466,4
467,4
468,7
469,3
470,3
471,2
472,3
473,3
474,3
475,3
476,2
477,3
478,2
479,7
480,3
481,2
482,3
483,3
484,7
485,4
486,4
487,2
488,4
489,7
490,7
491,7
492,3
493,3
494,2
495,2
496,4
497,4
498,7
499,4
500,4
501,2
502,2
503,4
504,7
505,7
506,7
507,2
508,3
509,4
510,3
511,7
512,2
513,2
514,2
515,7
516,3
517,2
518,2
519,3
520,2
521,7
522,7
523,4
524,4
525,4
526,4
527,7
528,3
529,3
530,7
531,4
532,4
533,4
534,7
535,2
536,4
537,4
538,3
539,4
540,2
541,2
542,3
543,2
544,4
545,2
546,4
547,4
548,4
549,4
550,4
551,3
552,7
553,4
554,4
555,4
556,2
557,2
558,3
559,4
560,3
561,3
562,4
563,2
564,7
565,4
566,4
567,7
568,3
569,4
570,4
571,3
572,7
573,4
574,3
575,7
576,2
577,2
578,3
579,2
580,2
581,4
582,4
583,4
584,4
585,7
586,7
587,7
588,4
589,2
590,4
591,7
592,3
593,2
594,7
595,2
596,2
597,2
598,3
599,2
600,3
601,2
602,3
603,7
604,4
605,2
606,3
607,4
608,7
609,4
610,7
611,7
612,4
613,4
614,3
615,3
616,7
617,4
618,4
619,7
620,4
621,7
622,7
623,2
624,3
625,7
626,2
627,7
628,2
629,4
630,3
631,3
632,3
633,4
634,4
635,2
636,3
637,4
638,4
639,4
640,4
641,2
642,4
643,4
644,7
645,2
646,3
647,7
648,4
649,4
650,3
651,7
652,4
653,2
654,2
655,4
656,4
657,3
658,4
659,3
660,3
661,3
662,4
663,7
664,7
665,3
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,2
674,2
675,7
676,7
677,2
678,3
679,7
680,4
681,4
682,4
683,7
684,4
685,3
686,3
687,4
688,4
689,3
690,7
691,7
692,4
693,4
694,4
695,4
696,2
697,4
698,3
699,2
700,2
701,2
702,7
703,4
704,2
705,2
706,4
707,4
708,4
709,4
710,4
711,3
712,2
713,3
714,7
715,2
716,2
717,2
718,7
719,4
720,3
721,2
722,4
723,4
724,7
725,7
726,2
727,3
728,3
729,7
730,4
731,4
732,3
733,4
734,7
735,7
736,4
737,7
738,3
739,3
740,7
741,4
742,3
743,2
744,4
745,4
746,4
747,3
748,4
749,3
750,7
751,2
752,3
753,2
754,3
755,7
756,7
757,4
758,4
759,2
760,7
761,2
762,3
763,2
764,3
765,2
766,3
767,2
768,2
769,7
770,7
771,3
772,7
773,2
774,7
775,4
776,3
777,4
778,3
779,4
780,4
781,2
782,3
783,7
784,2
785,4
786,7
787,3
788,2
789,2
790,3
791,2
792,3
793,4
794,3
795,4
796,2
797,3
798,3
799,4
800,2
801,7
802,2
803,4
804,7
805,7
806,3
807,4
808,4
809,4
810,2
811,4
812,7
813,4
814,4
815,4
816,7
817,7
818,4
819,4
820,4
821,3
822,4
823,4
824,3
825,7
826,4
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,3
835,3
836,7
837,2
838,7
839,4
840,3
841,4
842,4
843,4
844,3
845,3
846,7
847,3
848,4
849,4
850,7
851,7
852,4
853,4
854,2
855,3
856,2
857,7
858,4
859,3
860,4
861,2
862,2
863,4
864,3
865,4
866,2
867,4
868,2
869,7
870,3
871,3
872,3
873,2
874,3
875,3
876,4
877,2
878,7
879,3
880,3
881,2
882,2
883,2
884,3
885,4
886,3
887,2
888,2
889,7
890,2
891,2
892,4
893,2
894,4
895,4
896,2
897,2
898,3
899,7
900,4
901,4
902,4
903,4
904,7
905,2
906,3
907,3
908,4
909,2
910,7
911,4
912,7
913,4
914,3
915,4
916,7
917,4
918,7
919,4
920,4
921,4
922,2
923,4
924,2
925,4
926,3
927,4
928,7
929,2
930,4
931,4
932,4
933,4
934,7
935,3
936,3
937,4
938,4
939,4
940,7
941,3
942,3
943,2
944,2
945,7
946,4
947,4
948,7
949,4
950,7
951,4
952,2
953,7
954,2
955,4
956,4
957,7
958,4
959,7
960,4
961,2
962,2
963,2
964,4
965,7
966,2
967,7
968,2
969,2
970,2
971,4
972,4
973,2
974,4
975,3
976,4
977,4
978,2
979,3
980,2
981,7
982,4
983,3
984,3
985,4
986,3
987,4
988,4
989,2
990,4
991,4
992,4
993,7
994,3
995,7
996,7
997,7
998,2
999,4
1000,2
1001,2
1002,4
1003,3
1004,2
1005,3
1006,3
1007,4
1008,4
1009,4
1010,4
1011,7
1012,3
1013,7
1014,4
1015,4
1016,4
1017,4
1018,4
1019,3
1020,4
1021,3
1022,4
1023,3
1024,2
1025,3
1026,2
1027,4
1028,4
1029,7
1030,7
1031,3
1032,4
1033,3
1034,4
1035,4
1036,3
1037,2
1038,7
1039,3
1040,4
1041,2
1042,2
1043,2
1044,2
1045,3
1046,7
1047,7
1048,4
1049,4
1050,4
1051,4
1052,3
1053,4
1054,7
1055,4
1056,4
1057,4
1058,4
1059,4
1060,2
1061,4
1062,7
1063,3
1064,3
1065,2
1066,4
1067,4
1068,4
1069,4
1070,4
1071,2
1072,2
1073,4
1074,7
1075,3
1076,4
1077,3
1078,4
1079,2
1080,4
1081,2
1082,4
1083,4
1084,7
1085,3
1086,3
1087,7
1088,7
1089,2
1090,2
1091,3
1092,2
1093,4
1094,4
1095,4
1096,7
1097,4
1098,4
1099,4
1100,3
1101,4
1102,7
1103,3
1104,2
1105,7
1106,4
1107,7
1108,4
1109,3
1110,3
1111,4
1112,4
1113,7
1114,3
1115,4
1116,4
1117,3
1118,4
1119,4
1120,4
1121,2
1122,3
1123,7
1124,7
1125,2
1126,4
1127,3
1128,4
1129,2
1130,7
1131,4
1132,2
1133,4
1134,4
1135,3
1136,4
1137,3
1138,3
1139,7
1140,3
1141,4
1142,7
1143,2
1144,3
1145,4
1146,7
1147,3
1148,4
1149,4
1150,7
1151,7
1152,3
1153,2
1154,2
1155,3
1156,2
1157,2
1158,2
1159,7
1160,3
1161,4
1162,2
1163,2
1164,3
1165,4
1166,7
1167,4
1168,3
1169,7
1170,4
1171,2
1172,7
1173,3
1174,3
1175,4
1176,7
1177,4
1178,4
1179,3
1180,3
1181,4
1182,4
1183,3
1184,2
1185,3
1186,7
1187,7
1188,4
1189,3
1190,3
1191,4
1192,4
1193,2
1194,4
1195,7
1196,4
1197,2
1198,4
1199,4
1200,4
1201,7
1202,4
1203,4
1204,3
1205,4
1206,4
1207,2
1208,7
1209,3
1210,2
1211,2
1212,2
1213,2
1214,3
1215,2
1216,2
1217,7
1218,4
1219,3
1220,4
1221,4
1222,4
1223,4
1224,2
1225,4
1226,4
1227,3
1228,7
1229,4
1230,4
1231,4
1232,4
1233,3
1234,2
1235,2
1236,7
1237,7
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,4
1245,4
1246,3
1247,4
1248,2
1249,3
1250,2
1251,3
1252,7
1253,3
1254,4
1255,3
1256,4
1257,4
1258,7
1259,4
1260,2
1261,7
1262,2
1263,2
1264,4
1265,7
1266,3
1267,3
1268,7
1269,3
1270,4
1271,3
1272,2
1273,3
1274,2
1275,2
1276,2
1277,3
1278,2
1279,2
1280,3
1281,4
1282,2
1283,3
1284,4
1285,2
1286,3
1287,4
1288,3
1289,4
1290,3
1291,2
1292,3
1293,4
1294,7
1295,2
1296,4
1297,4
1298,2
1299,7
1300,2
1301,4
1302,4
1303,7
1304,4
1305,4
1306,4
1307,3
1308,2
1309,7
1310,4
1311,3
1312,4
1313,7
1314,4
1315,3
1316,4
1317,2
1318,3
1319,3
1320,2
1321,7
1322,4
1323,2
1324,4
1325,4
1326,4
1327,4
1328,4
1329,3
1330,7
1331,3
1332,2
1333,7
1334,2
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,7
1342,4
1343,3
1344,7
1345,2
1346,2
1347,4
1348,4
1349,4
1350,3
1351,3
1352,2
1353,2
1354,3
1355,4
1356,2
1357,4
1358,3
1359,3
1360,3
1361,4
1362,7
1363,4
1364,4
1365,4
1366,4
1367,7
1368,2
1369,2
1370,4
1371,4
1372,4
1373,3
1374,4
1375,3
1376,2
1377,4
1378,4
1379,4
1380,7
1381,7
1382,7
1383,4
1384,4
1385,2
1386,7
1387,3
1388,3
1389,7
1390,2
1391,2
1392,4
1393,7
1394,4
1395,4
1396,2
1397,2
1398,2
1399,2
1400,4
1401,7
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,2
1414,4
1415,3
1416,4
1417,3
1418,4
1419,3
1420,4
1421,3
1422,3
1423,4
1424,7
1425,4
1426,4
1427,3
1428,2
1429,4
1430,3
1431,7
1432,3
1433,7
1434,4
1435,4
1436,4
1437,7
1438,3
1439,7
1440,4
1441,7
1442,2
1443,4
1444,2
1445,2
1446,7
1447,2
1448,7
1449,7
1450,2
1451,3
1452,2
1453,4
1454,4
1455,2
1456,4
1457,4
1458,3
1459,2
1460,3
1461,7
1462,3
1463,4
1464,4
1465,4
1466,3
1467,4
1468,2
1469,2
1470,4
1471,4
1472,4
1473,4
1474,3
1475,2
1476,3
1477,4
1478,2
1479,2
1480,7
1481,4
1482,2
1483,2
1484,4
1485,4
1486,4
1487,3
1488,3
1489,4
1490,3
1491,3
1492,4
1493,4
1494,4
1495,3
1496,7
1497,2
1498,4
1499,4
1500,4
1501,3
1502,7
1503,4
1504,7
1505,4
1506,3
1507,7
1508,4
1509,2
1510,3
1511,4
1512,7
1513,4
1514,3
1515,2
1516,2
1517,7
1518,7
1519,3
1520,2
1521,3
1522,7
1523,3
1524,4
1525,2
1526,3
1527,2
1528,4
1529,3
1530,2
1531,4
1532,3
1533,7
1534,7
1535,2
1536,2
1537,7
1538,7
1539,2
1540,7
1541,3
1542,4
1543,3
1544,3
1545,2
1546,2
1547,2
1548,7
1549,4
1550,2
1551,4
1552,4
1553,4
1554,4
1555,7
1556,2
1557,3
1558,4
1559,7
1560,4
1561,4
1562,2
1563,4
1564,3
1565,4
1566,4
1567,4
1568,2
1569,4
1570,4
1571,4
1572,2
1573,3
1574,4
1575,4
1576,3
1577,4
1578,4
1579,4
1580,7
1581,2
1582,2
1583,7
1584,4
1585,4
1586,4
1587,7
1588,4
1589,2
1590,3
1591,2
1592,2
1593,4
1594,2
1595,3
1596,4
1597,4
1598,4
1599,3
1600,2
1601,7
1602,4
1603,4
1604,4
1605,4
1606,4
1607,4
1608,4
1609,4
1610,4
1611,4
1612,2
1613,4
1614,4
1615,2
1616,7
1617,7
1618,4
1619,4
1620,4
1621,4
1622,7
1623,3
1624,7
1625,4
1626,7
1627,4
1628,4
1629,3
1630,2
1631,4
1632,2
1633,4
1634,4
1635,4
1636,2
1637,4
1638,4
1639,4
1640,4
1641,4
1642,7
1643,3
1644,2
1645,2
1646,2
1647,2
1648,7
1649,4
1650,4
1651,3
1652,7
1653,4
1654,2
1655,3
1656,7
1657,3
1658,3
1659,4
1660,4
1661,7
1662,2
1663,2
1664,2
1665,2
1666,4
1667,2
1668,4
1669,4
1670,7
1671,2
1672,4
1673,4
1674,4
1675,4
1676,4
1677,4
1678,7
1679,4
1680,4
1681,4
1682,4
1683,7
1684,4
1685,2
1686,4
1687,4
1688,7
1689,2
1690,4
1691,4
1692,4
1693,2
1694,3
1695,3
1696,4
1697,7
1698,7
1699,3
1700,2
1701,2
1702,2
1703,4
1704,3
1705,3
1706,3
1707,2
1708,4
1709,4
1710,3
1711,2
1712,4
1713,2
1714,2
1715,4
1716,7
1717,2
1718,2
1719,3
1720,4
1721,4
1722,2
1723,4
1724,3
1725,4
1726,4
1727,4
1728,4
1729,4
1730,7
1731,4
1732,4
1733,4
1734,7
1735,4
1736,4
1737,2
1738,4
1739,4
1740,3
1741,4
1742,7
1743,3
1744,3
1745,7
1746,4
1747,3
1748,4
1749,4
1750,7
1751,2
1752,7
1753,2
1754,3
1755,7
1756,7
1757,2
1758,4
1759,3
1760,4
1761,2
1762,4
1763,4
1764,7
1765,2
1766,4
1767,3
1768,4
1769,4
1770,2
1771,3
1772,4
1773,3
1774,4
1775,7
1776,3
1777,4
1778,3
1779,3
1780,4
1781,3
1782,7
1783,4
1784,3
1785,4
1786,4
1787,4
1788,3
1789,4
1790,7
1791,2
1792,2
1793,7
1794,7
1795,4
1796,4
1797,3
1798,4
1799,4
1800,3
1801,2
1802,2
1803,2
1804,4
1805,4
1806,4
1807,4
1808,4
1809,4
1810,4
1811,4
1812,2
1813,4
1814,4
1815,4
1816,4
1817,3
1818,4
1819,7
1820,4
1821,4
1822,3
1823,4
1824,2
1825,2
1826,4
1827,7
1828,7
1829,3
1830,4
1831,4
1832,3
1833,2
1834,2
1835,3
1836,4
1837,4
1838,4
1839,4
1840,4
1841,4
1842,4
1843,4
1844,2
1845,7
1846,7
1847,3
1848,3
1849,4
1850,2
1851,2
1852,2
1853,4
1854,7
1855,4
1856,7
1857,4
1858,4
1859,4
1860,4
1861,7
1862,3
1863,4
1864,4
1865,7
1866,2
1867,4
1868,4
1869,4
1870,3
1871,4
1872,2
1873,7
1874,3
1875,4
1876,4
1877,7
1878,4
1879,3
1880,3
1881,3
1882,3
1883,2
1884,4
1885,4
1886,4
1887,4
1888,4
1889,4
1890,4
1891,7
1892,4
1893,3
1894,4
1895,4
1896,4
1897,2
1898,4
1899,2
1900,2
1901,4
1902,3
1903,3
1904,7
1905,4
1906,2
1907,4
1908,2
1909,4
1910,2
1911,4
1912,3
1913,4
1914,3
1915,2
1916,4
1917,7
1918,4
1919,4
1920,2
1921,4
1922,7
1923,3
1924,4
1925,3
1926,2
1927,4
1928,2
1929,7
1930,3
1931,4
1932,4
1933,4
1934,2
1935,2
1936,7
1937,3
1938,4
1939,3
1940,2
1941,7
1942,4
1943,3
1944,4
1945,4
1946,3
1947,3
1948,3
1949,4
1950,4
1951,4
1952,3
1953,3
1954,4
1955,2
1956,4
1957,3
1958,4
1959,4
1960,4
1961,2
1962,3
1963,4
1964,4
1965,4
1966,3
1967,4
1968,4
1969,2
1970,4
1971,2
1972,4
1973,4
1974,4
1975,7
1976,2
1977,7
1978,4
1979,4
1980,4
1981,4
1982,4
1983,2
1984,4
1985,4
1986,4
1987,2
1988,7
1989,7
1990,4
1991,4
1992,4
1993,4
1994,4
1995,2
1996,4
1997,4
1998,4
1999,3
2000,4
2001,4
2002,4
2003,7
2004,3
2005,7
2006,4
2007,4
2008,4
2009,4
2010,4
2011,4
2012,4
2013,4
2014,4
2015,4
2016,2
2017,4
2018,4
2019,7
2020,4
2021,3
2022,4
2023,3
2024,4
2025,7
2026,2
2027,4
2028,2
2029,2
2030,4
2031,4
2032,4
2033,2
2034,2
2035,3
2036,7
2037,3
2038,4
2039,4
2040,4
2041,4
2042,2
2043,4
2044,2
2045,3
2046,4
2047,7
2048,4
2049,4
2050,4
2051,4
2052,3
2053,4
2054,4
2055,3
2056,2
2057,4
2058,4
2059,4
2060,4
2061,2
2062,4
2063,4
2064,3
2065,4
2066,2
2067,7
2068,3
2069,4
2070,3
2071,2
2072,4
2073,4
2074,4
2075,7
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,2
2083,4
2084,7
2085,3
2086,3
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,4
2097,4
2098,4
2099,3
2100,7
2101,4
2102,7
2103,4
2104,4
2105,4
2106,3
2107,7
2108,7
2109,7
2110,3
2111,3
2112,4
2113,3
2114,4
2115,2
2116,4
2117,4
2118,4
2119,3
2120,7
2121,3
2122,7
2123,4
2124,7
2125,3
2126,3
2127,3
2128,3
2129,2
2130,4
2131,4
2132,4
2133,4
2134,7
2135,7
2136,4
2137,7
2138,7
2139,4
2140,2
2141,7
2142,2
2143,4
2144,4
2145,4
2146,4
2147,4
2148,3
2149,4
2150,4
2151,2
2152,4
2153,4
2154,3
2155,4
2156,7
2157,7
2158,2
2159,3
2160,4
2161,4
2162,4
2163,2
2164,4
2165,2
2166,7
2167,2
2168,4
2169,7
2170,4
2171,3
2172,3
2173,4
2174,4
2175,2
2176,7
2177,2
2178,4
2179,3
2180,3
2181,3
2182,4
2183,4
2184,4
2185,4
2186,4
2187,4
2188,4
2189,4
2190,3
2191,7
2192,4
2193,7
2194,4
2195,4
2196,4
2197,4
2198,4
2199,4
2200,7
2201,4
2202,3
2203,2
2204,3
2205,7
2206,4
2207,4
2208,4
2209,4
2210,3
2211,4
2212,7
2213,4
2214,4
2215,4
2216,4
2217,2
2218,4
2219,4
2220,4
2221,4
2222,4
2223,4
2224,4
2225,4
2226,2
2227,2
2228,4
2229,3
2230,4
2231,3
2232,3
2233,4
2234,4
2235,3
2236,7
2237,4
2238,2
2239,7
2240,4
2241,3
2242,4
2243,4
2244,2
2245,4
2246,2
2247,4
2248,7
2249,4
2250,4
2251,3
2252,4
2253,7
2254,3
2255,2
2256,7
2257,4
2258,4
2259,2
2260,3
2261,2
2262,2
2263,7
2264,7
2265,3
2266,4
2267,4
2268,7
2269,4
2270,2
2271,2
2272,3
2273,2
2274,4
2275,2
2276,3
2277,3
2278,3
2279,4
2280,4
2281,4
2282,3
2283,4
2284,4
2285,4
2286,3
2287,4
2288,7
2289,2
2290,3
2291,7
2292,4
2293,2
2294,3
2295,4
2296,3
2297,4
2298,7
2299,4
2300,2
2301,4
2302,3
2303,2
2304,3
2305,4
2306,3
2307,3
2308,4
2309,7
2310,4
2311,3
2312,4
2313,4
2314,4
2315,4
2316,4
2317,7
2318,7
2319,3
2320,4
2321,7
2322,3
2323,4
2324,7
2325,4
2326,4
2327,4
2328,4
2329,2
2330,4
2331,3
2332,4
2333,4
2334,3
2335,3
2336,4
2337,4
2338,4
2339,2
2340,4
2341,4
2342,2
2343,4
2344,4
2345,4
2346,4
2347,4
2348,3
2349,4
2350,4
2351,3
2352,4
2353,7
2354,4
2355,4
2356,2
2357,3
2358,4
2359,3
2360,4
2361,4
2362,4
2363,4
2364,4
2365,4
2366,4
2367,4
2368,4
2369,4
2370,2
2371,7
2372,3
2373,4
2374,4
2375,4
2376,4
2377,4
2378,4
2379,3
2380,4
2381,7
2382,4
2383,2
2384,4
2385,7
2386,7
2387,4
2388,4
2389,3
2390,3
2391,4
2392,4
2393,3
2394,4
2395,4
2396,4
2397,4
2398,7
2399,2
2400,4
