R,mexican
269,2
270,2
271,3
272,2
273,9
274,2
275,5
276,4
277,9
278,3
279,9
280,3
281,4
282,5
283,4
284,5
285,5
286,9
287,2
288,5
289,5
290,4
291,9
292,3
293,2
294,9
295,2
296,4
297,9
298,9
299,9
300,2
301,4
302,3
303,4
304,4
305,9
306,9
307,4
308,5
309,3
310,3
311,3
312,4
313,2
314,4
315,5
316,4
317,2
318,5
319,5
320,2
321,3
322,4
323,3
324,2
325,9
326,3
327,5
328,9
329,5
330,4
331,9
332,4
333,9
334,3
335,9
336,3
337,9
338,3
339,4
340,4
341,9
342,3
343,3
344,9
345,2
346,5
347,9
348,9
349,4
350,5
351,3
352,4
353,3
354,4
355,3
356,4
357,4
358,5
359,4
360,9
361,3
362,9
363,2
364,4
365,5
366,3
367,5
368,3
369,3
370,3
371,4
372,2
373,5
374,9
375,9
376,4
377,3
378,3
379,3
380,3
381,4
382,3
383,5
384,5
385,3
386,2
387,2
388,5
389,2
390,3
391,2
392,4
393,4
394,3
395,4
396,2
397,3
398,5
399,3
400,4
401,4
402,5
403,5
404,5
405,4
406,4
407,5
408,9
409,5
410,3
411,9
412,4
413,3
414,3
415,5
416,3
417,5
418,4
419,2
420,5
421,3
422,5
423,9
424,3
425,3
426,3
427,3
428,3
429,3
430,9
431,3
432,3
433,9
434,4
435,3
436,3
437,3
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,9
447,4
448,4
449,2
450,5
451,3
452,3
453,2
454,4
455,2
456,2
457,9
458,9
459,3
460,4
461,2
462,2
463,3
464,3
465,3
466,5
467,4
468,9
469,2
470,9
471,3
472,4
473,3
474,3
475,2
476,3
477,3
478,3
479,5
480,5
481,4
482,9
483,3
484,4
485,9
486,5
487,3
488,5
489,2
490,2
491,2
492,2
493,2
494,2
495,9
496,5
497,5
498,3
499,5
500,5
501,3
502,3
503,5
504,4
505,3
506,2
507,9
508,5
509,2
510,3
511,3
512,9
513,4
514,9
515,4
516,4
517,2
518,4
519,9
520,4
521,9
522,9
523,2
524,3
525,2
526,3
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,3
535,4
536,5
537,3
538,9
539,2
540,5
541,3
542,4
543,9
544,3
545,4
546,9
547,5
548,5
549,5
550,5
551,9
552,3
553,3
554,1
555,2
556,4
557,9
558,3
559,5
560,2
561,3
562,4
563,4
564,2
565,9
566,5
567,5
568,4
569,4
570,5
571,3
572,2
573,4
574,5
575,4
576,9
577,9
578,5
579,4
580,4
581,5
582,9
583,5
584,9
585,9
586,9
587,5
588,5
589,5
590,5
591,5
592,2
593,3
594,3
595,2
596,2
597,4
598,2
599,5
600,5
601,5
602,3
603,5
604,9
605,3
606,2
607,3
608,2
609,5
610,3
611,2
612,5
613,2
614,4
615,5
616,3
617,5
618,2
619,3
620,3
621,9
622,2
623,9
624,3
625,2
626,9
627,3
628,4
629,4
630,4
631,9
632,2
633,3
634,5
635,4
636,9
637,3
638,9
639,5
640,9
641,9
642,5
643,5
644,4
645,3
646,2
647,2
648,2
649,5
650,9
651,9
652,5
653,4
654,4
655,2
656,5
657,2
658,4
659,9
660,3
661,4
662,4
663,5
664,9
665,2
666,5
667,2
668,2
669,2
670,2
671,2
672,2
673,3
674,5
675,4
676,2
677,3
678,2
679,2
680,2
681,2
682,2
683,2
684,3
685,3
686,5
687,5
688,5
689,9
690,4
691,5
692,9
693,4
694,2
695,3
696,4
697,4
698,5
699,3
700,3
701,4
702,9
703,2
704,9
705,5
706,2
707,2
708,4
709,5
710,5
711,9
712,4
713,2
714,3
715,3
716,5
717,4
718,3
719,5
720,3
721,3
722,5
723,5
724,2
725,5
726,4
727,4
728,4
729,2
730,3
731,5
732,3
733,2
734,2
735,2
736,2
737,4
738,5
739,2
740,2
741,2
742,4
743,9
744,5
745,5
746,4
747,3
748,2
749,9
750,2
751,4
752,3
753,9
754,9
755,3
756,3
757,2
758,2
759,9
760,3
761,4
762,3
763,4
764,4
765,9
766,2
767,3
768,9
769,2
770,2
771,2
772,5
773,9
774,2
775,3
776,9
777,5
778,3
779,5
780,5
781,3
782,9
783,2
784,9
785,5
786,9
787,5
788,4
789,4
790,9
791,4
792,4
793,9
794,3
795,4
796,2
797,5
798,9
799,5
800,3
801,2
802,9
803,4
804,5
805,3
806,2
807,2
808,3
809,2
810,3
811,5
812,4
813,5
814,5
815,4
816,2
817,4
818,5
819,5
820,5
821,3
822,4
823,2
824,4
825,2
826,4
827,5
828,5
829,2
830,5
831,5
832,5
833,9
834,5
835,9
836,3
837,4
838,2
839,2
840,3
841,5
842,5
843,2
844,3
845,9
846,4
847,9
848,2
849,9
850,3
851,2
852,3
853,5
854,4
855,3
856,4
857,3
858,4
859,3
860,2
861,4
862,3
863,2
864,3
865,2
866,4
867,5
868,4
869,4
870,5
871,2
872,3
873,4
874,2
875,3
876,5
877,5
878,9
879,4
880,3
881,3
882,3
883,5
884,3
885,2
886,3
887,4
888,4
889,2
890,4
891,4
892,2
893,3
894,2
895,2
896,3
897,9
898,4
899,5
900,4
901,4
902,5
903,5
904,4
905,2
906,2
907,9
908,9
909,4
910,2
911,4
912,4
913,5
914,5
915,5
916,5
917,5
918,3
919,5
920,5
921,5
922,9
923,2
924,4
925,2
926,2
927,2
928,4
929,2
930,5
931,5
932,5
933,5
934,9
935,4
936,4
937,5
938,3
939,9
940,2
941,2
942,2
943,3
944,4
945,4
946,3
947,4
948,4
949,2
950,2
951,2
952,3
953,2
954,3
955,4
956,9
957,3
958,2
959,5
960,4
961,9
962,4
963,9
964,9
965,3
966,3
967,3
968,9
969,4
970,4
971,4
972,3
973,3
974,9
975,2
976,5
977,2
978,3
979,5
980,9
981,9
982,5
983,4
984,4
985,5
986,4
987,4
988,5
989,3
990,9
991,2
992,2
993,4
994,4
995,4
996,5
997,2
998,4
999,5
1000,3
1001,4
1002,4
1003,9
1004,4
1005,4
1006,3
1007,9
1008,3
1009,5
1010,9
1011,9
1012,2
1013,5
1014,9
1015,4
1016,2
1017,5
1018,3
1019,3
1020,9
1021,4
1022,3
1023,5
1024,4
1025,4
1026,4
1027,4
1028,5
1029,2
1030,4
1031,5
1032,5
1033,9
1034,5
1035,5
1036,4
1037,3
1038,3
1039,3
1040,2
1041,3
1042,9
1043,9
1044,5
1045,3
1046,5
1047,2
1048,5
1049,2
1050,2
1051,2
1052,4
1053,5
1054,5
1055,5
1056,3
1057,3
1058,2
1059,4
1060,9
1061,5
1062,5
1063,4
1064,9
1065,3
1066,2
1067,2
1068,2
1069,5
1070,5
1071,4
1072,5
1073,3
1074,2
1075,5
1076,5
1077,9
1078,5
1079,4
1080,2
1081,5
1082,5
1083,5
1084,3
1085,3
1086,2
1087,3
1088,3
1089,4
1090,5
1091,5
1092,5
1093,5
1094,5
1095,2
1096,2
1097,5
1098,4
1099,4
1100,3
1101,4
1102,4
1103,5
1104,9
1105,9
1106,3
1107,2
1108,3
1109,3
1110,4
1111,5
1112,9
1113,9
1114,2
1115,2
1116,2
1117,5
1118,5
1119,4
1120,5
1121,5
1122,4
1123,3
1124,2
1125,3
1126,4
1127,3
1128,3
1129,5
1130,4
1131,5
1132,9
1133,5
1134,5
1135,9
1136,2
1137,3
1138,2
1139,4
1140,4
1141,2
1142,5
1143,9
1144,3
1145,4
1146,2
1147,4
1148,5
1149,4
1150,9
1151,9
1152,4
1153,9
1154,5
1155,4
1156,5
1157,3
1158,3
1159,9
1160,5
1161,4
1162,4
1163,4
1164,4
1165,3
1166,3
1167,5
1168,4
1169,3
1170,5
1171,2
1172,2
1173,3
1174,4
1175,5
1176,5
1177,2
1178,3
1179,3
1180,3
1181,2
1182,4
1183,3
1184,9
1185,3
1186,4
1187,9
1188,9
1189,2
1190,9
1191,5
1192,5
1193,3
1194,5
1195,5
1196,5
1197,3
1198,5
1199,5
1200,5
1201,5
1202,5
1203,5
1204,4
1205,4
1206,3
1207,3
1208,9
1209,2
1210,4
1211,5
1212,4
1213,4
1214,2
1215,9
1216,4
1217,3
1218,5
1219,5
1220,5
1221,5
1222,5
1223,3
1224,3
1225,5
1226,9
1227,9
1228,2
1229,4
1230,3
1231,3
1232,2
1233,2
1234,3
1235,5
1236,3
1237,9
1238,5
1239,3
1240,2
1241,2
1242,5
1243,4
1244,9
1245,5
1246,5
1247,2
1248,4
1249,9
1250,4
1251,4
1252,9
1253,3
1254,3
1255,3
1256,5
1257,9
1258,2
1259,2
1260,9
1261,4
1262,5
1263,5
1264,9
1265,5
1266,4
1267,2
1268,4
1269,3
1270,2
1271,3
1272,5
1273,9
1274,5
1275,3
1276,9
1277,4
1278,5
1279,9
1280,4
1281,5
1282,9
1283,9
1284,3
1285,5
1286,2
1287,2
1288,2
1289,4
1290,2
1291,5
1292,3
1293,9
1294,9
1295,4
1296,5
1297,2
1298,4
1299,5
1300,9
1301,2
1302,5
1303,3
1304,2
1305,2
1306,2
1307,3
1308,4
1309,9
1310,3
1311,5
1312,5
1313,3
1314,5
1315,5
1316,5
1317,9
1318,4
1319,3
1320,9
1321,2
1322,5
1323,3
1324,3
1325,2
1326,4
1327,9
1328,2
1329,4
1330,9
1331,5
1332,4
1333,3
1334,5
1335,2
1336,4
1337,4
1338,4
1339,9
1340,2
1341,2
1342,2
1343,5
1344,2
1345,5
1346,2
1347,5
1348,5
1349,5
1350,2
1351,3
1352,9
1353,9
1354,5
1355,3
1356,4
1357,2
1358,2
1359,3
1360,9
1361,4
1362,5
1363,4
1364,5
1365,4
1366,5
1367,5
1368,4
1369,3
1370,9
1371,2
1372,2
1373,3
1374,4
1375,3
1376,4
1377,2
1378,2
1379,2
1380,2
1381,2
1382,2
1383,4
1384,5
1385,3
1386,2
1387,5
1388,9
1389,2
1390,3
1391,5
1392,5
1393,5
1394,3
1395,2
1396,4
1397,9
1398,2
1399,4
1400,9
1401,2
1402,3
1403,5
1404,5
1405,9
1406,5
1407,5
1408,5
1409,5
1410,5
1411,5
1412,5
1413,5
1414,3
1415,2
1416,5
1417,4
1418,4
1419,2
1420,5
1421,5
1422,4
1423,2
1424,2
1425,2
1426,5
1427,5
1428,3
1429,3
1430,4
1431,9
1432,4
1433,5
1434,5
1435,2
1436,2
1437,5
1438,4
1439,5
1440,4
1441,4
1442,5
1443,2
1444,5
1445,5
1446,3
1447,4
1448,4
1449,3
1450,3
1451,4
1452,9
1453,5
1454,5
1455,2
1456,2
1457,5
1458,3
1459,3
1460,5
1461,4
1462,4
1463,2
1464,2
1465,5
1466,3
1467,3
1468,4
1469,3
1470,5
1471,3
1472,2
1473,5
1474,9
1475,4
1476,5
1477,9
1478,5
1479,4
1480,3
1481,3
1482,5
1483,5
1484,4
1485,2
1486,5
1487,4
1488,5
1489,3
1490,4
1491,4
1492,9
1493,2
1494,4
1495,3
1496,4
1497,3
1498,5
1499,3
1500,2
1501,4
1502,2
1503,4
1504,3
1505,5
1506,3
1507,9
1508,5
1509,5
1510,2
1511,2
1512,2
1513,5
1514,5
1515,3
1516,5
1517,9
1518,4
1519,4
1520,3
1521,5
1522,9
1523,5
1524,5
1525,3
1526,5
1527,5
1528,5
1529,4
1530,3
1531,4
1532,4
1533,5
1534,4
1535,3
1536,5
1537,2
1538,3
1539,2
1540,2
1541,4
1542,4
1543,4
1544,3
1545,4
1546,5
1547,5
1548,9
1549,3
1550,5
1551,2
1552,3
1553,5
1554,5
1555,4
1556,4
1557,3
1558,2
1559,2
1560,5
1561,5
1562,2
1563,3
1564,3
1565,3
1566,3
1567,4
1568,3
1569,4
1570,5
1571,3
1572,5
1573,3
1574,5
1575,4
1576,3
1577,5
1578,4
1579,5
1580,5
1581,5
1582,4
1583,3
1584,5
1585,4
1586,5
1587,5
1588,5
1589,4
1590,4
1591,4
1592,5
1593,4
1594,5
1595,5
1596,3
1597,2
1598,4
1599,3
1600,5
1601,3
1602,3
1603,3
1604,5
1605,3
1606,2
1607,2
1608,2
1609,2
1610,2
1611,5
1612,4
1613,4
1614,3
1615,5
1616,3
1617,3
1618,2
1619,2
1620,2
1621,4
1622,4
1623,3
1624,3
1625,5
1626,2
1627,4
1628,5
1629,3
1630,9
1631,2
1632,5
1633,4
1634,4
1635,5
1636,5
1637,5
1638,5
1639,5
1640,5
1641,3
1642,3
1643,4
1644,4
1645,3
1646,4
1647,3
1648,2
1649,3
1650,5
1651,5
1652,2
1653,3
1654,5
1655,4
1656,2
1657,5
1658,3
1659,5
1660,5
1661,5
1662,4
1663,4
1664,3
1665,5
1666,2
1667,5
1668,3
1669,5
1670,5
1671,5
1672,5
1673,5
1674,5
1675,2
1676,5
1677,5
1678,9
1679,5
1680,5
1681,5
1682,4
1683,4
1684,2
1685,5
1686,2
1687,4
1688,2
1689,4
1690,4
1691,2
1692,4
1693,5
1694,5
1695,5
1696,2
1697,2
1698,2
1699,5
1700,4
1701,9
1702,4
1703,4
1704,4
1705,3
1706,5
1707,9
1708,2
1709,2
1710,3
1711,2
1712,2
1713,5
1714,5
1715,4
1716,3
1717,5
1718,3
1719,4
1720,2
1721,5
1722,5
1723,2
1724,3
1725,5
1726,5
1727,3
1728,9
1729,2
1730,4
1731,5
1732,4
1733,3
1734,3
1735,2
1736,2
1737,5
1738,5
1739,5
1740,9
1741,9
1742,3
1743,3
1744,2
1745,2
1746,5
1747,9
1748,2
1749,4
1750,4
1751,9
1752,9
1753,5
1754,3
1755,4
1756,3
1757,5
1758,5
1759,3
1760,5
1761,3
1762,5
1763,5
1764,3
1765,5
1766,2
1767,4
1768,5
1769,4
1770,5
1771,2
1772,5
1773,4
1774,4
1775,5
1776,5
1777,5
1778,3
1779,3
1780,5
1781,4
1782,2
1783,5
1784,3
1785,4
1786,4
1787,2
1788,5
1789,3
1790,5
1791,5
1792,5
1793,9
1794,9
1795,2
1796,5
1797,5
1798,9
1799,5
1800,3
1801,5
1802,4
1803,3
1804,4
1805,3
1806,3
1807,2
1808,3
1809,9
1810,5
1811,2
1812,4
1813,2
1814,5
1815,5
1816,5
1817,4
1818,5
1819,4
1820,5
1821,9
1822,2
1823,2
1824,3
1825,3
1826,5
1827,2
1828,9
1829,9
1830,2
1831,2
1832,5
1833,5
1834,3
1835,5
1836,5
1837,4
1838,4
1839,3
1840,4
1841,5
1842,4
1843,2
1844,5
1845,2
1846,2
1847,4
1848,4
1849,5
1850,9
1851,3
1852,5
1853,9
1854,5
1855,5
1856,5
1857,5
1858,3
1859,2
1860,2
1861,3
1862,3
1863,5
1864,2
1865,9
1866,4
1867,5
1868,5
1869,5
1870,3
1871,5
1872,5
1873,4
1874,9
1875,5
1876,2
1877,4
1878,5
1879,5
1880,3
1881,5
1882,5
1883,5
1884,2
1885,4
1886,2
1887,2
1888,2
1889,5
1890,5
1891,3
1892,2
1893,5
1894,4
1895,4
1896,3
1897,4
1898,2
1899,5
1900,3
1901,5
1902,4
1903,5
1904,5
1905,5
1906,4
1907,2
1908,9
1909,2
1910,4
1911,3
1912,4
1913,2
1914,4
1915,5
1916,5
1917,5
1918,5
1919,3
1920,4
1921,4
1922,5
1923,4
1924,3
1925,3
1926,2
1927,5
1928,3
1929,9
1930,9
1931,4
1932,4
1933,5
1934,9
1935,4
1936,3
1937,4
1938,9
1939,5
1940,3
1941,3
1942,9
1943,5
1944,4
1945,3
1946,3
1947,4
1948,4
1949,3
1950,3
1951,5
1952,3
1953,4
1954,4
1955,5
1956,5
1957,3
1958,2
1959,2
1960,5
1961,4
1962,5
1963,5
1964,5
1965,5
1966,5
1967,4
1968,2
1969,5
1970,5
1971,4
1972,4
1973,5
1974,2
1975,4
1976,5
1977,5
1978,9
1979,4
1980,5
1981,2
1982,2
1983,5
1984,9
1985,3
1986,4
1987,5
1988,2
1989,5
1990,5
1991,4
1992,5
1993,5
1994,5
1995,5
1996,5
1997,4
1998,5
1999,4
2000,5
2001,3
2002,9
2003,5
2004,4
2005,5
2006,5
2007,5
2008,4
2009,4
2010,2
2011,5
2012,4
2013,3
2014,5
2015,5
2016,5
2017,3
2018,5
2019,9
2020,3
2021,4
2022,2
2023,5
2024,3
2025,3
2026,3
2027,4
2028,4
2029,4
2030,4
2031,2
2032,2
2033,3
2034,9
2035,4
2036,5
2037,9
2038,9
2039,5
2040,4
2041,5
2042,5
2043,5
2044,5
2045,4
2046,3
2047,5
2048,5
2049,5
2050,5
2051,2
2052,2
2053,5
2054,5
2055,3
2056,2
2057,2
2058,3
2059,5
2060,4
2061,3
2062,3
2063,4
2064,5
2065,4
2066,5
2067,4
2068,4
2069,5
2070,5
2071,2
2072,5
2073,2
2074,5
2075,5
2076,5
2077,2
2078,2
2079,5
2080,3
2081,3
2082,4
2083,2
2084,2
2085,5
2086,3
2087,4
2088,5
2089,4
2090,5
2091,5
2092,5
2093,2
2094,5
2095,4
2096,3
2097,3
2098,3
2099,4
2100,4
2101,5
2102,5
2103,5
2104,3
2105,5
2106,5
2107,4
2108,3
2109,4
2110,5
2111,5
2112,4
2113,5
2114,4
2115,5
2116,2
2117,2
2118,3
2119,5
2120,4
2121,2
2122,3
2123,2
2124,4
2125,5
2126,5
2127,5
2128,5
2129,4
2130,2
2131,2
2132,2
2133,4
2134,5
2135,4
2136,5
2137,3
2138,4
2139,5
2140,4
2141,5
2142,5
2143,2
2144,3
2145,5
2146,5
2147,5
2148,5
2149,5
2150,5
2151,4
2152,5
2153,4
2154,3
2155,4
2156,4
2157,5
2158,4
2159,3
2160,5
2161,5
2162,5
2163,4
2164,2
2165,5
2166,4
2167,5
2168,4
2169,5
2170,3
2171,5
2172,5
2173,3
2174,2
2175,4
2176,3
2177,5
2178,5
2179,5
2180,5
2181,9
2182,5
2183,5
2184,5
2185,2
2186,5
2187,4
2188,3
2189,5
2190,5
2191,4
2192,3
2193,3
2194,2
2195,5
2196,5
2197,2
2198,9
2199,2
2200,2
2201,5
2202,3
2203,5
2204,4
2205,2
2206,4
2207,3
2208,5
2209,2
2210,4
2211,5
2212,4
2213,3
2214,2
2215,5
2216,5
2217,5
2218,4
2219,3
2220,3
2221,3
2222,5
2223,4
2224,2
2225,4
2226,4
2227,5
2228,3
2229,2
2230,5
2231,3
2232,5
2233,2
2234,5
2235,5
2236,5
2237,5
2238,4
2239,9
2240,5
2241,5
2242,5
2243,5
2244,5
2245,5
2246,4
2247,5
2248,5
2249,2
2250,3
2251,3
2252,5
2253,5
2254,5
2255,5
2256,4
2257,4
2258,4
2259,5
2260,4
2261,5
2262,9
2263,5
2264,5
2265,5
2266,5
2267,3
2268,2
2269,5
2270,5
2271,5
2272,4
2273,5
2274,3
2275,5
2276,5
2277,3
2278,2
2279,4
2280,5
2281,4
2282,5
2283,3
2284,5
2285,5
2286,5
2287,4
2288,4
2289,5
2290,5
2291,3
2292,5
2293,4
2294,4
2295,4
2296,4
2297,5
2298,3
2299,2
2300,5
2301,5
2302,5
2303,4
2304,4
2305,5
2306,4
2307,4
2308,3
2309,5
2310,2
2311,5
2312,5
2313,5
2314,2
2315,2
2316,4
2317,5
2318,3
2319,3
2320,5
2321,5
2322,3
2323,5
2324,5
2325,3
2326,2
2327,5
2328,5
2329,5
2330,5
2331,5
2332,5
2333,2
2334,5
2335,4
2336,5
2337,3
2338,5
2339,4
2340,4
2341,2
2342,5
2343,4
2344,3
2345,5
2346,5
2347,4
2348,5
2349,4
2350,5
2351,5
2352,5
2353,3
2354,5
2355,5
2356,5
2357,4
2358,5
2359,4
2360,5
2361,5
2362,5
2363,4
2364,3
2365,5
2366,4
2367,2
2368,5
2369,5
2370,5
2371,4
2372,4
2373,5
2374,2
2375,2
2376,5
2377,2
2378,2
2379,3
2380,5
2381,2
2382,5
2383,5
2384,5
2385,4
2386,2
2387,5
2388,4
2389,5
2390,4
2391,5
2392,5
2393,4
2394,4
2395,5
2396,3
2397,5
2398,3
2399,5
2400,5
