R,jamaican
373,4
374,7
375,4
376,3
377,4
378,3
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,7
390,7
391,4
392,4
393,4
394,7
395,4
396,7
397,2
398,7
399,4
400,7
401,7
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,7
411,2
412,4
413,2
414,7
415,4
416,7
417,4
418,4
419,4
420,4
421,7
422,4
423,4
424,2
425,4
426,4
427,2
428,7
429,4
430,2
431,4
432,2
433,4
434,2
435,3
436,3
437,4
438,4
439,4
440,4
441,7
442,2
443,4
444,3
445,4
446,4
447,7
448,7
449,7
450,2
451,7
452,2
453,7
454,4
455,7
456,4
457,7
458,4
459,2
460,4
461,4
462,2
463,7
464,7
465,2
466,4
467,4
468,4
469,2
470,4
471,4
472,7
473,7
474,4
475,7
476,2
477,4
478,2
479,4
480,4
481,4
482,7
483,2
484,3
485,4
486,4
487,7
488,4
489,7
490,7
491,7
492,7
493,2
494,2
495,4
496,4
497,4
498,4
499,4
500,4
501,3
502,4
503,4
504,4
505,3
506,2
507,4
508,2
509,4
510,2
511,4
512,4
513,4
514,4
515,4
516,4
517,7
518,2
519,4
520,4
521,7
522,4
523,7
524,2
525,7
526,2
527,2
528,4
529,4
530,2
531,4
532,7
533,4
534,2
535,2
536,4
537,4
538,4
539,3
540,2
541,3
542,2
543,4
544,2
545,4
546,4
547,7
548,4
549,4
550,4
551,4
552,7
553,4
554,4
555,4
556,3
557,4
558,4
559,4
560,3
561,4
562,4
563,4
564,7
565,4
566,4
567,4
568,4
569,4
570,7
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,3
580,7
581,4
582,2
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,7
595,2
596,3
597,4
598,2
599,4
600,4
601,4
602,2
603,4
604,7
605,2
606,4
607,4
608,7
609,7
610,7
611,7
612,4
613,4
614,4
615,4
616,3
617,4
618,4
619,2
620,7
621,7
622,4
623,2
624,4
625,2
626,4
627,2
628,7
629,4
630,3
631,4
632,2
633,4
634,4
635,4
636,4
637,4
638,3
639,4
640,4
641,4
642,4
643,4
644,4
645,7
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,2
654,4
655,4
656,4
657,7
658,4
659,4
660,7
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,7
669,4
670,2
671,4
672,7
673,4
674,4
675,2
676,4
677,4
678,2
679,2
680,7
681,4
682,7
683,7
684,4
685,4
686,4
687,4
688,4
689,3
690,3
691,4
692,2
693,4
694,4
695,7
696,4
697,7
698,4
699,7
700,7
701,7
702,4
703,7
704,4
705,4
706,4
707,2
708,4
709,4
710,4
711,4
712,3
713,2
714,4
715,7
716,4
717,4
718,7
719,4
720,2
721,4
722,4
723,4
724,4
725,4
726,2
727,2
728,2
729,7
730,2
731,4
732,2
733,4
734,2
735,7
736,4
737,2
738,2
739,3
740,4
741,4
742,2
743,7
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,7
754,4
755,4
756,2
757,4
758,4
759,4
760,2
761,7
762,2
763,4
764,4
765,4
766,2
767,7
768,2
769,7
770,2
771,4
772,7
773,4
774,2
775,4
776,2
777,4
778,7
779,4
780,4
781,4
782,4
783,4
784,7
785,4
786,4
787,4
788,4
789,4
790,7
791,7
792,3
793,2
794,2
795,4
796,4
797,2
798,4
799,4
800,3
801,7
802,4
803,4
804,4
805,3
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,2
817,4
818,4
819,4
820,4
821,2
822,2
823,4
824,4
825,3
826,4
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,2
837,4
838,2
839,2
840,4
841,4
842,4
843,4
844,2
845,4
846,2
847,4
848,7
849,4
850,4
851,4
852,4
853,2
854,7
855,7
856,4
857,7
858,4
859,7
860,4
861,7
862,4
863,4
864,7
865,4
866,7
867,4
868,2
869,4
870,4
871,2
872,4
873,2
874,4
875,4
876,4
877,4
878,4
879,4
880,4
881,7
882,4
883,4
884,2
885,4
886,7
887,2
888,2
889,4
890,4
891,4
892,4
893,3
894,4
895,4
896,3
897,7
898,7
899,7
900,4
901,4
902,4
903,4
904,4
905,7
906,2
907,2
908,4
909,4
910,2
911,4
912,7
913,4
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,7
923,2
924,4
925,4
926,7
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,2
935,4
936,7
937,4
938,4
939,4
940,7
941,2
942,4
943,4
944,7
945,7
946,4
947,4
948,4
949,4
950,2
951,4
952,4
953,2
954,7
955,4
956,4
957,4
958,7
959,4
960,2
961,4
962,7
963,4
964,4
965,2
966,4
967,2
968,4
969,4
970,7
971,4
972,4
973,7
974,2
975,2
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,2
985,4
986,4
987,4
988,4
989,7
990,2
991,4
992,2
993,7
994,4
995,4
996,4
997,3
998,4
999,4
1000,2
