R,spanish
616,7
617,4
618,4
619,7
620,4
621,7
622,4
623,2
624,4
625,3
626,2
627,7
628,3
629,4
630,2
631,2
632,3
633,4
634,4
635,2
636,2
637,4
638,4
639,4
640,4
641,7
642,4
643,4
644,4
645,3
646,2
647,4
648,4
649,4
650,7
651,4
652,4
653,7
654,4
655,7
656,4
657,2
658,7
659,3
660,4
661,7
662,4
663,3
664,7
665,3
666,4
667,4
668,7
669,4
670,4
671,4
672,7
673,2
674,4
675,7
676,7
677,2
678,3
679,3
680,4
681,2
682,3
683,3
684,3
685,3
686,4
687,4
688,4
689,7
690,4
691,4
692,4
693,4
694,3
695,4
696,3
697,3
698,4
699,4
700,4
701,4
702,4
703,2
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,2
713,3
714,3
715,7
716,4
717,4
718,3
719,4
720,7
721,2
722,4
723,4
724,4
725,4
726,4
727,7
728,7
729,4
730,4
731,4
732,3
733,4
734,3
735,7
736,4
737,4
738,3
739,3
740,4
741,4
742,4
743,3
744,4
745,4
746,4
747,4
748,4
749,4
750,2
751,2
752,4
753,2
754,4
755,7
756,2
757,4
758,4
759,2
760,3
761,3
762,3
763,3
764,4
765,4
766,4
767,3
768,2
769,7
770,4
771,4
772,2
773,2
774,7
775,4
776,3
777,4
778,2
779,4
780,4
781,2
782,3
783,7
784,2
785,4
786,3
787,4
788,2
789,3
790,4
791,7
792,3
793,4
794,7
795,4
796,2
797,4
798,4
799,2
800,7
801,2
802,3
803,4
804,4
805,3
806,3
807,4
808,4
809,7
810,3
811,4
812,4
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,3
822,4
823,4
824,4
825,3
826,4
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,3
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,3
848,3
849,4
850,4
851,4
852,4
853,4
854,2
855,3
856,4
857,7
858,2
859,2
860,4
861,2
862,2
863,3
864,3
865,4
866,7
867,4
868,2
869,4
870,2
871,7
872,4
873,3
874,4
875,4
876,4
877,7
878,3
879,4
880,3
881,7
882,3
883,4
884,7
885,4
886,4
887,3
888,4
889,7
890,4
891,2
892,3
893,2
894,4
895,4
896,3
897,3
898,2
899,4
900,4
901,4
902,4
903,4
904,2
905,3
906,2
907,2
908,4
909,4
910,2
911,4
912,7
913,4
914,3
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,2
923,4
924,4
925,4
926,7
927,4
928,7
929,2
930,4
931,4
932,4
933,4
934,4
935,7
936,4
937,4
938,4
939,4
940,2
941,3
942,7
943,2
944,2
945,3
946,4
947,2
948,4
949,4
950,4
951,4
952,2
953,4
954,2
955,3
956,4
957,4
958,4
959,4
960,4
961,2
962,2
963,3
964,4
965,3
966,7
967,7
968,3
969,2
970,2
971,4
972,4
973,2
974,4
975,2
976,4
977,4
978,3
979,4
980,2
981,7
982,4
983,7
984,4
985,4
986,3
987,4
988,4
989,3
990,4
991,4
992,2
993,3
994,3
995,4
996,4
997,3
998,2
999,4
1000,7
