R,moroccan
429,4
430,7
431,7
432,4
433,2
434,7
435,3
436,4
437,4
438,4
439,4
440,7
441,3
442,7
443,4
444,4
445,4
446,4
447,7
448,2
449,2
450,7
451,2
452,7
453,7
454,3
455,7
456,4
457,4
458,4
459,3
460,4
461,4
462,4
463,7
464,7
465,4
466,7
467,4
468,4
469,2
470,4
471,2
472,7
473,2
474,7
475,3
476,7
477,2
478,7
479,2
480,4
481,2
482,2
483,4
484,3
485,4
486,4
487,7
488,4
489,4
490,2
491,4
492,2
493,2
494,2
495,4
496,2
497,7
498,2
499,2
500,2
501,3
502,4
503,4
504,2
505,3
506,7
507,2
508,4
509,4
510,2
511,3
512,4
513,4
514,4
515,4
516,2
517,2
518,2
519,3
520,4
521,7
522,4
523,4
524,4
525,2
526,4
527,3
528,4
529,4
530,7
531,4
532,4
533,4
534,7
535,4
536,4
537,4
538,4
539,3
540,4
541,3
542,4
543,7
544,2
545,2
546,4
547,7
548,7
549,4
550,4
551,3
552,2
553,4
554,4
555,4
556,7
557,3
558,4
559,4
560,2
561,7
562,4
563,7
564,4
565,4
566,4
567,4
568,4
569,7
570,7
571,7
572,4
573,4
574,4
575,4
576,2
577,2
578,4
579,2
580,4
581,4
582,4
583,4
584,4
585,3
586,4
587,4
588,4
589,4
590,2
591,2
592,7
593,4
594,7
595,7
596,4
597,4
598,7
599,4
600,7
601,4
602,2
603,7
604,4
605,2
606,7
607,4
608,7
609,7
610,7
611,4
612,4
613,4
614,2
615,4
616,3
617,4
618,4
619,4
620,4
621,2
622,4
623,3
624,4
625,7
626,3
627,7
628,4
629,4
630,7
631,4
632,7
633,4
634,4
635,4
636,3
637,4
638,7
639,4
640,4
641,4
642,4
643,4
644,4
645,3
646,2
647,4
648,4
649,4
650,4
651,4
652,4
653,3
654,7
655,4
656,4
657,7
658,3
659,7
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,2
674,2
675,4
676,3
677,7
678,2
679,7
680,4
681,7
682,4
683,3
684,4
685,4
686,4
687,4
688,4
689,2
690,3
691,2
692,4
693,4
694,4
695,4
696,4
697,2
698,4
699,4
700,4
701,3
702,3
703,4
704,7
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,2
713,2
714,7
715,4
716,4
717,4
718,4
719,4
720,2
721,7
722,4
723,4
724,4
725,4
726,4
727,7
728,7
729,2
730,4
731,4
732,2
733,4
734,7
735,7
736,4
737,7
738,4
739,2
740,3
741,4
742,4
743,3
744,4
745,4
746,7
747,4
748,4
749,4
750,4
751,3
752,4
753,7
754,2
755,7
756,7
757,4
758,4
759,2
760,7
761,3
762,3
763,2
764,4
765,7
766,7
767,2
768,4
769,2
770,2
771,4
772,2
773,4
774,7
775,2
776,4
777,4
778,7
779,4
780,4
781,2
782,4
783,4
784,4
785,4
786,4
787,4
788,7
789,4
790,4
791,2
792,2
793,4
794,2
795,2
796,2
797,7
798,4
799,2
800,4
801,2
802,4
803,4
804,4
805,2
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,7
817,7
818,4
819,4
820,4
821,2
822,7
823,4
824,7
825,4
826,7
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,3
837,4
838,4
839,7
840,4
841,4
842,2
843,4
844,7
845,4
846,3
847,4
848,4
849,4
850,7
851,4
852,4
853,4
854,7
855,7
856,4
857,2
858,4
859,2
860,4
861,7
862,4
863,4
864,4
865,4
866,7
867,4
868,3
869,4
870,4
871,2
872,7
873,7
874,4
875,7
876,4
877,4
878,4
879,4
880,4
881,4
882,4
883,4
884,7
885,4
886,7
887,4
888,4
889,4
890,7
891,4
892,4
893,7
894,4
895,4
896,3
897,4
898,4
899,2
900,7
901,4
902,4
903,4
904,7
905,7
906,7
907,4
908,4
909,4
910,2
911,7
912,4
913,7
914,4
915,4
916,4
917,4
918,2
919,4
920,4
921,4
922,2
923,4
924,4
925,4
926,4
927,4
928,4
929,2
930,4
931,7
932,4
933,4
934,4
935,7
936,4
937,4
938,4
939,4
940,4
941,3
942,7
943,2
944,2
945,3
946,4
947,2
948,4
949,4
950,4
951,4
952,7
953,2
954,4
955,4
956,4
957,7
958,4
959,4
960,4
961,3
962,7
963,7
964,4
965,4
966,4
967,7
968,2
969,2
970,2
971,7
972,4
973,2
974,7
975,2
976,4
977,4
978,3
979,4
980,4
981,2
982,4
983,2
984,4
985,4
986,2
987,4
988,4
989,4
990,4
991,4
992,4
993,2
994,4
995,4
996,4
997,7
998,4
999,4
1000,4
