R,filipino
373,4
374,3
375,4
376,3
377,4
378,3
379,4
380,4
381,7
382,7
383,4
384,4
385,4
386,3
387,4
388,4
389,2
390,2
391,2
392,4
393,4
394,4
395,4
396,2
397,4
398,7
399,4
400,4
401,2
402,7
403,4
404,4
405,7
406,4
407,4
408,4
409,4
410,3
411,2
412,4
413,2
414,3
415,4
416,3
417,4
418,4
419,7
420,4
421,2
422,4
423,4
424,7
425,7
426,4
427,7
428,2
429,2
430,4
431,7
432,2
433,4
434,2
435,7
436,4
437,4
438,4
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,4
447,4
448,3
449,4
450,4
451,3
452,7
453,2
454,2
455,4
456,7
457,2
458,2
459,7
460,4
461,4
462,2
463,2
464,3
465,2
466,4
467,7
468,3
469,2
470,4
471,4
472,3
473,4
474,4
475,2
476,7
477,7
478,2
479,4
480,4
481,3
482,4
483,7
484,2
485,2
486,4
487,3
488,7
489,3
490,7
491,7
492,2
493,4
494,7
495,4
496,4
497,4
498,4
499,4
500,4
501,3
502,4
503,4
504,2
505,3
506,7
507,4
508,2
509,4
510,3
511,3
512,4
513,4
514,7
515,4
516,4
517,7
518,4
519,4
520,4
521,2
522,3
523,3
524,4
525,3
526,4
527,4
528,7
529,4
530,7
531,4
532,4
533,4
534,2
535,4
536,2
537,4
538,4
539,4
540,4
541,2
542,2
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,2
551,4
552,7
553,2
554,4
555,4
556,2
557,4
558,2
559,4
560,4
561,4
562,4
563,4
564,2
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,7
573,4
574,4
575,4
576,3
577,4
578,4
579,7
580,7
581,4
582,4
583,2
584,4
585,2
586,7
587,2
588,4
589,2
590,4
591,4
592,4
593,7
594,4
595,7
596,7
597,4
598,7
599,4
600,2
601,4
602,3
603,4
604,4
605,7
606,4
607,4
608,7
609,7
610,7
611,4
612,7
613,4
614,4
615,4
616,7
617,4
618,4
619,7
620,2
621,7
622,7
623,4
624,2
625,7
626,4
627,2
628,4
629,2
630,2
631,7
632,7
633,4
634,2
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,7
644,4
645,7
646,4
647,4
648,7
649,4
650,4
651,4
652,2
653,1
654,7
655,4
656,2
657,4
658,7
659,4
660,7
661,4
662,4
663,7
664,3
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,2
676,4
677,4
678,2
679,3
680,7
681,4
682,4
683,7
684,2
685,2
686,4
687,4
688,4
689,4
690,4
691,4
692,2
693,4
694,4
695,2
696,7
697,4
698,4
699,2
700,4
701,2
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,7
710,7
711,4
712,3
713,3
714,4
715,4
716,4
717,4
718,7
719,4
720,4
721,7
722,4
723,4
724,4
725,4
726,2
727,4
728,2
729,4
730,2
731,4
732,3
733,3
734,2
735,7
736,4
737,2
738,4
739,2
740,4
741,4
742,4
743,4
744,2
745,2
746,2
747,7
748,4
749,4
750,2
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,3
760,2
761,4
762,7
763,4
764,4
765,4
766,2
767,2
768,2
769,7
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,2
780,7
781,4
782,4
783,4
784,4
785,4
786,4
787,2
788,7
789,7
790,4
791,2
792,3
793,4
794,2
795,4
796,4
797,7
798,7
799,4
800,7
801,7
802,4
803,2
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,2
813,2
814,4
815,4
816,2
817,7
818,4
819,4
820,4
821,3
822,7
823,4
824,4
825,7
826,4
827,4
828,4
829,7
830,4
831,7
832,4
833,2
834,4
835,4
836,2
837,4
838,7
839,4
840,4
841,4
842,4
843,4
844,2
845,7
846,2
847,4
848,2
849,2
850,2
851,4
852,4
853,4
854,7
855,4
856,4
857,7
858,4
859,4
860,4
861,4
862,7
863,4
864,4
865,4
866,3
867,4
868,4
869,4
870,4
871,2
872,4
873,4
874,2
875,4
876,4
877,4
878,4
879,7
880,2
881,7
882,7
883,2
884,7
885,7
886,7
887,7
888,2
889,2
890,4
891,4
892,4
893,7
894,4
895,4
896,4
897,4
898,4
899,2
900,3
901,4
902,7
903,7
904,4
905,4
906,2
907,7
908,2
909,4
910,2
911,4
912,7
913,2
914,4
915,4
916,4
917,4
918,7
919,4
920,4
921,4
922,7
923,4
924,7
925,4
926,7
927,4
928,4
929,3
930,7
931,4
932,4
933,4
934,2
935,4
936,4
937,4
938,7
939,4
940,7
941,7
942,7
943,4
944,7
945,4
946,4
947,4
948,2
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,4
959,2
960,2
961,4
962,7
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,4
973,4
974,7
975,7
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,2
985,2
986,4
987,4
988,4
989,4
990,2
991,4
992,2
993,2
994,2
995,4
996,4
997,7
998,4
999,4
1000,4
