R,greek
269,3
270,2
271,2
272,2
273,4
274,4
275,4
276,4
277,2
278,4
279,4
280,4
281,7
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,4
292,7
293,3
294,4
295,4
296,2
297,3
298,3
299,3
300,2
301,3
302,2
303,3
304,2
305,7
306,2
307,2
308,4
309,4
310,7
311,2
312,7
313,3
314,2
315,4
316,2
317,2
318,4
319,4
320,2
321,3
322,3
323,3
324,4
325,3
326,2
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,3
335,4
336,2
337,7
338,2
339,2
340,2
341,7
342,4
343,3
344,2
345,4
346,4
347,4
348,2
349,4
350,4
351,4
352,7
353,7
354,3
355,4
356,3
357,4
358,4
359,7
360,2
361,7
362,4
363,3
364,2
365,4
366,7
367,4
368,4
369,2
370,4
371,2
372,2
373,4
374,7
375,7
376,2
377,4
378,7
379,2
380,2
381,4
382,3
383,4
384,3
385,2
386,7
387,7
388,2
389,3
390,4
391,4
392,4
393,3
394,2
395,3
396,4
397,2
398,4
399,3
400,4
401,4
402,4
403,4
404,4
405,3
406,2
407,4
408,4
409,4
410,7
411,2
412,4
413,7
414,2
415,4
416,7
417,4
418,3
419,2
420,3
421,3
422,4
423,4
424,4
425,4
426,2
427,3
428,2
429,4
430,2
431,4
432,4
433,2
434,7
435,3
436,4
437,4
438,4
439,4
440,3
441,2
442,7
443,4
444,4
445,4
446,4
447,3
448,7
449,7
450,4
451,3
452,2
453,2
454,7
455,2
456,2
457,7
458,4
459,3
460,4
461,7
462,4
463,2
464,2
465,3
466,4
467,4
468,4
469,3
470,2
471,2
472,3
473,3
474,3
475,2
476,2
477,3
478,3
479,4
480,4
481,2
482,2
483,4
484,7
485,4
486,4
487,2
488,4
489,4
490,2
491,4
492,7
493,2
494,2
495,4
496,2
497,4
498,2
499,3
500,2
501,2
502,7
503,4
504,3
505,2
506,2
507,4
508,4
509,4
510,2
511,2
512,4
513,4
514,3
515,4
516,2
517,2
518,4
519,3
520,4
521,7
522,4
523,4
524,4
525,4
526,4
527,7
528,4
529,7
530,2
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,4
539,4
540,4
541,7
542,4
543,4
544,4
545,7
546,4
547,4
548,4
549,4
550,4
551,4
552,3
553,3
554,4
555,3
556,3
557,7
558,3
559,4
560,2
561,3
562,3
563,4
564,4
565,3
566,3
567,4
568,2
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,3
577,2
578,4
579,7
580,7
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,2
590,2
591,2
592,3
593,4
594,2
595,2
596,7
597,4
598,2
599,2
600,2
601,3
602,3
603,2
604,4
605,3
606,2
607,3
608,3
609,4
610,3
611,4
612,4
613,4
614,2
615,4
616,2
617,4
618,4
619,4
620,4
621,4
622,3
623,2
624,4
625,4
626,7
627,7
628,4
629,4
630,7
631,7
632,2
633,4
634,4
635,3
636,2
637,4
638,4
639,4
640,2
641,4
642,4
643,4
644,4
645,3
646,7
647,7
648,4
649,4
650,7
651,4
652,4
653,3
654,4
655,4
656,4
657,3
658,3
659,2
660,2
661,3
662,4
663,4
664,3
665,2
666,4
667,4
668,4
669,4
670,4
671,4
672,7
673,3
674,7
675,4
676,4
677,2
678,3
679,7
680,4
681,4
682,4
683,7
684,3
685,4
686,4
687,4
688,4
689,2
690,2
691,2
692,7
693,4
694,4
695,4
696,4
697,3
698,4
699,4
700,7
701,7
702,3
703,3
704,3
705,4
706,4
707,4
708,4
709,4
710,4
711,7
712,2
713,3
714,4
715,7
716,4
717,3
718,4
719,4
720,7
721,3
722,4
723,3
724,4
725,2
726,4
727,3
728,2
729,7
730,3
731,4
732,3
733,4
734,3
735,2
736,7
737,4
738,4
739,2
740,2
741,4
742,4
743,2
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,3
752,2
753,2
754,2
755,2
756,3
757,4
758,4
759,7
760,2
761,3
762,7
763,3
764,4
765,3
766,7
767,3
768,2
769,4
770,3
771,3
772,4
773,3
774,4
775,2
776,4
777,4
778,7
779,4
780,4
781,2
782,3
783,4
784,4
785,4
786,4
787,4
788,7
789,3
790,4
791,3
792,2
793,4
794,7
795,2
796,3
797,4
798,3
799,2
800,7
801,3
802,3
803,3
804,4
805,2
806,2
807,4
808,4
809,4
810,4
811,2
812,4
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,2
822,4
823,4
824,4
825,4
826,3
827,4
828,4
829,4
830,4
831,4
832,4
833,3
834,2
835,7
836,7
837,4
838,3
839,4
840,2
841,4
842,4
843,4
844,4
845,4
846,7
847,3
848,4
849,7
850,7
851,7
852,4
853,7
854,7
855,2
856,2
857,7
858,3
859,7
860,4
861,2
862,4
863,4
864,4
865,4
866,3
867,4
868,3
869,4
870,3
871,7
872,4
873,2
874,4
875,4
876,4
877,4
878,7
879,3
880,7
881,4
882,3
883,4
884,3
885,4
886,2
887,4
888,4
889,7
890,2
891,4
892,4
893,2
894,4
895,4
896,7
897,2
898,2
899,2
900,4
901,4
902,4
903,4
904,2
905,2
906,3
907,4
908,4
909,4
910,7
911,3
912,3
913,4
914,4
915,4
916,4
917,7
918,4
919,4
920,4
921,4
922,2
923,4
924,2
925,2
926,3
927,4
928,3
929,7
930,4
931,4
932,3
933,4
934,4
935,7
936,7
937,4
938,4
939,4
940,4
941,3
942,7
943,2
944,2
945,4
946,2
947,4
948,4
949,4
950,4
951,4
952,7
953,4
954,3
955,2
956,4
957,7
958,4
959,4
960,2
961,7
962,3
963,2
964,4
965,4
966,4
967,4
968,2
969,3
970,3
971,3
972,4
973,2
974,4
975,2
976,4
977,4
978,4
979,3
980,3
981,2
982,4
983,2
984,4
985,4
986,3
987,4
988,4
989,3
990,4
991,4
992,4
993,7
994,4
995,3
996,4
997,2
998,3
999,4
1000,7
