R,japanese
643,2
644,2
645,2
646,5
647,5
648,5
649,5
650,5
651,5
652,9
653,3
654,5
655,5
656,5
657,9
658,5
659,5
660,9
661,5
662,5
663,5
664,9
665,3
666,3
667,5
668,9
669,5
670,2
671,5
672,5
673,3
674,2
675,2
676,5
677,5
678,3
679,9
680,5
681,5
682,5
683,3
684,5
685,9
686,2
687,2
688,2
689,3
690,3
691,5
692,3
693,5
694,5
695,2
696,2
697,2
698,2
699,2
700,5
701,2
702,5
703,5
704,5
705,5
706,5
707,5
708,2
709,2
710,2
711,5
712,9
713,2
714,5
715,2
716,5
717,5
718,5
719,5
720,9
721,2
722,5
723,2
724,5
725,3
726,9
727,2
728,9
729,3
730,2
731,2
732,2
733,5
734,9
735,3
736,5
737,3
738,2
739,9
740,5
741,9
742,5
743,5
744,5
745,2
746,2
747,9
748,5
749,5
750,5
751,9
752,5
753,9
754,5
755,9
756,2
757,5
758,5
759,5
760,2
761,5
762,9
763,5
764,5
765,5
766,3
767,9
768,5
769,3
770,3
771,5
772,5
773,5
774,5
775,3
776,5
777,2
778,9
779,2
780,2
781,5
782,9
783,5
784,5
785,5
786,9
787,5
788,3
789,5
790,5
791,9
792,9
793,5
794,9
795,5
796,5
797,2
798,3
799,5
800,2
801,9
802,5
803,3
804,2
805,3
806,5
807,5
808,2
809,5
810,5
811,2
812,3
813,5
814,5
815,2
816,2
817,2
818,2
819,2
820,2
821,3
822,2
823,5
824,5
825,9
826,5
827,5
828,5
829,3
830,2
831,5
832,5
833,2
834,3
835,5
836,2
837,5
838,9
839,3
840,2
841,2
842,2
843,5
844,2
845,5
846,2
847,3
848,9
849,3
850,5
851,5
852,5
853,3
854,3
855,2
856,2
857,2
858,5
859,5
860,5
861,5
862,2
863,5
864,5
865,5
866,3
867,5
868,5
869,5
870,5
871,2
872,5
873,9
874,2
875,5
876,5
877,9
878,9
879,5
880,3
881,3
882,3
883,5
884,3
885,5
886,3
887,5
888,5
889,3
890,3
891,5
892,5
893,3
894,5
895,5
896,9
897,5
898,5
899,3
900,2
901,5
902,5
903,3
904,2
905,2
906,9
907,3
908,3
909,5
910,3
911,3
912,9
913,3
914,5
915,2
916,9
917,2
918,9
919,5
920,9
921,3
922,5
923,5
924,3
925,5
926,3
927,5
928,5
929,3
930,2
931,2
932,5
933,2
934,3
935,9
936,9
937,2
938,5
939,5
940,9
941,9
942,2
943,9
944,5
945,5
946,5
947,3
948,3
949,5
950,5
951,5
952,2
953,3
954,9
955,5
956,3
957,3
958,2
959,2
960,5
961,5
962,5
963,3
964,5
965,3
966,3
967,5
968,9
969,9
970,3
971,5
972,3
973,9
974,2
975,3
976,5
977,5
978,5
979,5
980,5
981,9
982,5
983,3
984,2
985,3
986,2
987,3
988,3
989,5
990,5
991,5
992,5
993,9
994,5
995,5
996,5
997,5
998,5
999,5
1000,2
