R,korean
676,4
677,4
678,7
679,7
680,4
681,4
682,4
683,7
684,2
685,2
686,2
687,2
688,7
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,2
698,2
699,4
700,4
701,4
702,4
703,7
704,4
705,4
706,4
707,4
708,4
709,2
710,4
711,4
712,3
713,7
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,2
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,2
731,4
732,7
733,4
734,7
735,3
736,7
737,2
738,7
739,4
740,4
741,4
742,4
743,4
744,4
745,2
746,2
747,4
748,4
749,4
750,4
751,4
752,4
753,7
754,7
755,4
756,7
757,4
758,4
759,4
760,2
761,4
762,4
763,2
764,4
765,4
766,7
767,4
768,4
769,7
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,2
778,4
779,2
780,2
781,4
782,7
783,4
784,4
785,4
786,4
787,2
788,4
789,4
790,4
791,4
792,4
793,4
794,2
795,4
796,4
797,2
798,2
799,7
800,4
801,7
802,4
803,7
804,4
805,4
806,4
807,4
808,4
809,4
810,7
811,7
812,4
813,4
814,2
815,4
816,7
817,4
818,4
819,4
820,4
821,7
822,7
823,4
824,4
825,3
826,4
827,4
828,4
829,4
830,7
831,4
832,4
833,7
834,4
835,4
836,2
837,4
838,2
839,4
840,2
841,4
842,4
843,7
844,4
845,4
846,2
847,7
848,7
849,7
850,4
851,7
852,4
853,4
854,7
855,2
856,7
857,7
858,4
859,4
860,4
861,4
862,7
863,4
864,4
865,4
866,7
867,4
868,7
869,4
870,4
871,2
872,4
873,7
874,2
875,4
876,4
877,4
878,4
879,4
880,4
881,7
882,7
883,4
884,2
885,4
886,4
887,4
888,4
889,2
890,4
891,4
892,4
893,7
894,4
895,4
896,4
897,4
898,4
899,4
900,2
901,4
902,4
903,7
904,2
905,7
906,2
907,4
908,2
909,4
910,2
911,2
912,4
913,2
914,4
915,4
916,7
917,2
918,2
919,4
920,2
921,4
922,4
923,4
924,7
925,4
926,2
927,7
928,4
929,7
930,2
931,4
932,4
933,4
934,7
935,4
936,4
937,2
938,2
939,4
940,7
941,7
942,2
943,2
944,4
945,4
946,7
947,4
948,2
949,4
950,4
951,4
952,7
953,4
954,4
955,4
956,4
957,2
958,2
959,2
960,7
961,4
962,7
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,4
973,4
974,2
975,3
976,7
977,4
978,4
979,4
980,4
981,4
982,4
983,7
984,4
985,2
986,4
987,4
988,4
989,4
990,4
991,4
992,4
993,4
994,4
995,7
996,4
997,2
998,7
999,4
1000,7
