R,vietnamese
945,4
946,4
947,3
948,2
949,4
950,4
951,4
952,7
953,4
954,4
955,4
956,2
957,3
958,4
959,2
960,4
961,2
962,7
963,3
964,2
965,4
966,4
967,4
968,4
969,4
970,3
971,3
972,2
973,4
974,2
975,3
976,2
977,4
978,7
979,4
980,4
981,2
982,4
983,4
984,3
985,4
986,4
987,2
988,2
989,4
990,3
991,4
992,4
993,7
994,2
995,4
996,4
997,3
998,2
999,4
1000,7
