R,irish
302,7
303,2
304,7
305,4
306,7
307,3
308,4
309,2
310,7
311,2
312,2
313,7
314,2
315,4
316,2
317,7
318,4
319,4
320,4
321,4
322,7
323,2
324,2
325,2
326,2
327,4
328,4
329,4
330,4
331,4
332,2
333,7
334,4
335,4
336,2
337,4
338,7
339,4
340,2
341,3
342,4
343,4
344,2
345,4
346,4
347,3
348,4
349,4
350,4
351,4
352,4
353,2
354,7
355,4
356,4
357,2
358,7
359,2
360,2
361,2
362,4
363,4
364,2
365,4
366,4
367,4
368,4
369,4
370,7
371,4
372,2
373,4
374,7
375,7
376,7
377,7
378,3
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,2
390,2
391,7
392,2
393,7
394,7
395,2
396,2
397,4
398,4
399,7
400,2
401,2
402,7
403,2
404,4
405,2
406,2
407,4
408,4
409,4
410,3
411,4
412,4
413,2
414,7
415,4
416,3
417,7
418,4
419,7
420,4
421,2
422,4
423,4
424,7
425,2
426,4
427,4
428,4
429,7
430,2
431,4
432,2
433,2
434,3
435,2
436,2
437,4
438,2
439,4
440,3
441,3
442,7
443,4
444,4
445,4
446,4
447,4
448,7
449,3
450,4
451,7
452,7
453,3
454,7
455,2
456,3
457,4
458,4
459,2
460,4
461,7
462,2
463,7
464,7
465,4
466,4
467,4
468,4
469,2
470,2
471,4
472,2
473,4
474,2
475,7
476,7
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,4
486,4
487,2
488,4
489,4
490,4
491,4
492,7
493,4
494,2
495,4
496,2
497,4
498,4
499,4
500,2
501,2
502,2
503,4
504,4
505,3
506,3
507,7
508,2
509,4
510,2
511,7
512,4
513,7
514,4
515,4
516,3
517,7
518,2
519,4
520,2
521,2
522,4
523,4
524,4
525,3
526,4
527,4
528,4
529,7
530,4
531,4
532,4
533,4
534,7
535,4
536,4
537,4
538,2
539,3
540,4
541,2
542,7
543,7
544,2
545,2
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,2
557,4
558,7
559,4
560,4
561,4
562,2
563,2
564,4
565,7
566,4
567,4
568,2
569,4
570,4
571,4
572,4
573,2
574,4
575,4
576,7
577,4
578,4
579,2
580,2
581,4
582,4
583,4
584,3
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,7
594,2
595,2
596,2
597,4
598,7
599,4
600,4
601,4
602,7
603,4
604,4
605,2
606,7
607,4
608,7
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,7
622,4
623,2
624,4
625,4
626,4
627,4
628,4
629,4
630,7
631,2
632,7
633,4
634,4
635,7
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,7
646,4
647,4
648,7
649,4
650,7
651,4
652,4
653,2
654,4
655,4
656,2
657,7
658,3
659,4
660,4
661,4
662,4
663,4
664,4
665,2
666,4
667,4
668,4
669,4
670,4
671,7
672,4
673,7
674,7
675,4
676,4
677,7
678,3
679,4
680,7
681,4
682,4
683,2
684,4
685,4
686,4
687,4
688,4
689,7
690,4
691,4
692,4
693,4
694,4
695,4
696,2
697,4
698,4
699,2
700,7
701,2
702,4
703,4
704,7
705,2
706,4
707,4
708,4
709,4
710,4
711,7
712,2
713,7
714,2
715,7
716,4
717,2
718,4
719,4
720,4
721,2
722,4
723,4
724,4
725,4
726,2
727,4
728,4
729,4
730,4
731,4
732,7
733,4
734,4
735,4
736,4
737,4
738,4
739,2
740,4
741,4
742,2
743,7
744,4
745,4
746,4
747,4
748,7
749,4
750,4
751,7
752,4
753,7
754,2
755,7
756,2
757,4
758,4
759,4
760,7
761,4
762,2
763,4
764,4
765,4
766,7
767,4
768,7
769,3
770,4
771,4
772,4
773,7
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,2
782,4
783,4
784,4
785,4
786,7
787,7
788,2
789,2
790,2
791,3
792,3
793,4
794,4
795,4
796,7
797,4
798,4
799,4
800,2
801,7
802,2
803,4
804,4
805,7
806,4
807,4
808,4
809,4
810,7
811,7
812,7
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,7
822,4
823,4
824,2
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,7
836,7
837,2
838,4
839,7
840,4
841,4
842,7
843,4
844,4
845,7
846,2
847,4
848,4
849,4
850,7
851,2
852,4
853,4
854,2
855,7
856,4
857,7
858,4
859,4
860,4
861,2
862,4
863,4
864,2
865,4
866,4
867,4
868,7
869,4
870,4
871,7
872,4
873,2
874,4
875,2
876,4
877,4
878,4
879,4
880,4
881,4
882,2
883,2
884,7
885,4
886,4
887,4
888,2
889,7
890,4
891,2
892,4
893,2
894,4
895,4
896,7
897,7
898,7
899,4
900,4
901,4
902,4
903,4
904,7
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,7
919,4
920,4
921,4
922,2
923,4
924,2
925,4
926,4
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,2
936,7
937,4
938,4
939,7
940,4
941,2
942,7
943,4
944,2
945,4
946,4
947,7
948,4
949,4
950,7
951,4
952,4
953,7
954,4
955,4
956,4
957,4
958,4
959,4
960,4
961,7
962,2
963,7
964,4
965,7
966,2
967,4
968,7
969,7
970,2
971,4
972,4
973,2
974,4
975,7
976,4
977,4
978,2
979,2
980,4
981,7
982,4
983,4
984,7
985,4
986,7
987,4
988,4
989,7
990,4
991,4
992,4
993,4
994,4
995,4
996,4
997,3
998,7
999,4
1000,4
