R,chinese
639,5
640,5
641,5
642,3
643,3
644,2
645,2
646,4
647,5
648,5
649,9
650,5
651,5
652,2
653,3
654,5
655,5
656,2
657,2
658,5
659,5
660,9
661,5
662,5
663,4
664,4
665,2
666,2
667,5
668,5
669,5
670,5
671,3
672,5
673,3
674,5
675,2
676,4
677,9
678,3
679,3
680,5
681,5
682,5
683,9
684,2
685,3
686,9
687,3
688,4
689,5
690,5
691,9
692,5
693,9
694,3
695,2
696,2
697,2
698,2
699,5
700,9
701,3
702,4
703,5
704,5
705,5
706,5
707,5
708,5
709,3
710,3
711,5
712,9
713,3
714,3
715,2
716,5
717,9
718,5
719,5
720,5
721,4
722,9
723,9
724,5
725,5
726,5
727,2
728,2
729,3
730,2
731,2
732,2
733,5
734,3
735,2
736,5
737,3
738,3
739,9
740,5
741,5
742,5
743,5
744,2
745,2
746,2
747,2
748,5
749,5
750,5
751,5
752,5
753,9
754,9
755,4
756,3
757,5
758,5
759,5
760,9
761,5
762,9
763,9
764,3
765,9
766,3
767,3
768,5
769,3
770,2
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,3
779,3
780,2
781,9
782,5
783,5
784,5
785,5
786,5
787,9
788,9
789,5
790,3
791,3
792,9
793,5
794,3
795,9
796,5
797,2
798,9
799,5
800,9
801,5
802,5
803,9
804,9
805,3
806,9
807,5
808,2
809,5
810,3
811,9
812,2
813,3
814,9
815,5
816,2
817,2
818,5
819,5
820,3
821,9
822,2
823,5
824,5
825,9
826,5
827,5
828,5
829,9
830,3
831,5
832,5
833,2
834,9
835,4
836,2
837,9
838,3
839,2
840,9
841,5
842,9
843,5
844,5
845,3
846,2
847,3
848,3
849,2
850,3
851,5
852,5
853,5
854,9
855,3
856,5
857,3
858,5
859,9
860,5
861,5
862,9
863,5
864,5
865,5
866,2
867,5
868,4
869,5
870,5
871,2
872,5
873,4
874,2
875,3
876,2
877,3
878,5
879,5
880,3
881,3
882,5
883,3
884,2
885,5
886,3
887,9
888,5
889,2
890,3
891,5
892,9
893,4
894,5
895,5
896,5
897,5
898,3
899,5
900,2
901,5
902,3
903,9
904,3
905,3
906,2
907,3
908,2
909,9
910,2
911,2
912,5
913,2
914,5
915,9
916,2
917,2
918,2
919,2
920,2
921,9
922,5
923,5
924,3
925,9
926,3
927,5
928,5
929,2
930,2
931,2
932,2
933,5
934,9
935,3
936,5
937,3
938,9
939,2
940,3
941,3
942,3
943,9
944,5
945,5
946,5
947,9
948,2
949,5
950,5
951,5
952,9
953,5
954,5
955,5
956,2
957,2
958,3
959,2
960,9
961,4
962,2
963,3
964,3
965,9
966,3
967,4
968,4
969,3
970,3
971,3
972,3
973,5
974,2
975,2
976,3
977,5
978,4
979,9
980,5
981,9
982,5
983,4
984,9
985,2
986,9
987,3
988,5
989,9
990,3
991,5
992,9
993,2
994,2
995,9
996,5
997,3
998,9
999,2
1000,3
