R,mexican
269,2
270,2
271,3
272,2
273,11
274,2
275,6
276,11
277,5
278,3
279,11
280,4
281,11
282,6
283,4
284,6
285,6
286,5
287,2
288,6
289,6
290,11
291,11
292,4
293,3
294,11
295,2
296,11
297,11
298,11
299,11
300,2
301,4
302,3
303,4
304,4
305,11
306,11
307,4
308,6
309,3
310,3
311,3
312,11
313,2
314,4
315,6
316,4
317,2
318,6
319,6
320,2
321,4
322,4
323,4
324,2
325,11
326,4
327,6
328,11
329,6
330,11
331,11
332,4
333,11
334,4
335,11
336,3
337,11
338,3
339,4
340,4
341,5
342,3
343,3
344,11
345,2
346,6
347,11
348,11
349,4
350,6
351,4
352,11
353,3
354,4
355,4
356,4
357,11
358,6
359,11
360,11
361,3
362,11
363,3
364,4
365,6
366,3
367,6
368,4
369,4
370,3
371,4
372,2
373,6
374,11
375,11
376,4
377,4
378,3
379,3
380,4
381,11
382,3
383,6
384,6
385,11
386,3
387,3
388,6
389,2
390,3
391,3
392,11
393,4
394,3
395,4
396,3
397,3
398,6
399,3
400,11
401,11
402,6
403,6
404,6
405,4
406,4
407,6
408,11
409,6
410,3
411,11
412,11
413,3
414,3
415,6
416,3
417,6
418,4
419,2
420,6
421,4
422,6
423,11
424,3
425,3
426,3
427,3
428,4
429,3
430,11
431,3
432,3
433,11
434,4
435,3
436,3
437,4
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,11
447,11
448,4
449,2
450,6
451,3
452,3
453,2
454,4
455,2
456,3
457,11
458,11
459,3
460,4
461,2
462,3
463,3
464,3
465,4
466,6
467,11
468,11
469,3
470,11
471,3
472,4
473,4
474,3
475,2
476,4
477,4
478,3
479,6
480,6
481,4
482,11
483,3
484,11
485,11
486,6
487,3
488,6
489,2
490,2
491,2
492,2
493,2
494,2
495,11
496,6
497,6
498,3
499,6
500,6
501,4
502,3
503,6
504,4
505,3
506,3
507,11
508,6
509,2
510,3
511,3
512,11
513,4
514,11
515,11
516,4
517,3
518,4
519,11
520,4
521,11
522,5
523,2
524,3
525,2
526,4
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,4
535,4
536,6
537,4
538,11
539,2
540,6
541,4
542,4
543,11
544,4
545,11
546,11
547,6
548,6
549,6
550,6
551,11
552,4
553,3
554,2
555,2
556,4
557,11
558,3
559,6
560,2
561,4
562,4
563,4
564,2
565,5
566,6
567,6
568,11
569,11
570,6
571,4
572,2
573,11
574,6
575,4
576,11
577,11
578,6
579,4
580,4
581,6
582,11
583,6
584,5
585,11
586,11
587,6
588,6
589,6
590,6
591,6
592,2
593,3
594,3
595,3
596,3
597,11
598,2
599,6
600,6
601,6
602,3
603,6
604,11
605,3
606,2
607,3
608,2
609,6
610,3
611,3
612,6
613,2
614,4
615,6
616,3
617,6
618,3
619,3
620,3
621,11
622,2
623,11
624,4
625,2
626,11
627,3
628,4
629,11
630,4
631,11
632,2
633,4
634,6
635,11
636,11
637,4
638,5
639,6
640,11
641,11
642,6
643,6
644,11
645,4
646,3
647,2
648,2
649,6
650,11
651,11
652,6
653,4
654,11
655,2
656,6
657,2
658,11
659,11
660,3
661,4
662,4
663,6
664,11
665,2
666,6
667,2
668,2
669,2
670,3
671,3
672,2
673,3
674,6
675,11
676,2
677,3
678,2
679,2
680,2
681,2
682,2
683,2
684,4
685,4
686,6
687,6
688,6
689,11
690,11
691,6
692,5
693,11
694,3
695,4
696,11
697,4
698,6
699,4
700,4
701,4
702,11
703,2
704,11
705,6
706,2
707,3
708,11
709,6
710,6
711,11
712,4
713,3
714,4
715,4
716,6
717,11
718,4
719,6
720,3
721,4
722,6
723,6
724,2
725,6
726,4
727,4
728,11
729,3
730,3
731,6
732,3
733,2
734,2
735,2
736,2
737,11
738,6
739,2
740,2
741,2
742,11
743,11
744,6
745,6
746,11
747,4
748,2
749,11
750,2
751,4
752,3
753,11
754,11
755,4
756,3
757,2
758,2
759,11
760,3
761,11
762,3
763,4
764,11
765,11
766,2
767,3
768,11
769,2
770,3
771,2
772,6
773,11
774,2
775,4
776,11
777,6
778,3
779,6
780,6
781,4
782,11
783,2
784,11
785,6
786,11
787,6
788,4
789,4
790,11
791,4
792,4
793,11
794,3
795,4
796,3
797,6
798,11
799,6
800,3
801,2
802,11
803,11
804,6
805,3
806,2
807,2
808,3
809,2
810,4
811,6
812,4
813,6
814,6
815,4
816,2
817,4
818,6
819,6
820,6
821,3
822,4
823,2
824,4
825,2
826,4
827,6
828,6
829,2
830,6
831,6
832,6
833,11
834,6
835,11
836,3
837,11
838,3
839,3
840,3
841,6
842,6
843,2
844,4
845,11
846,4
847,11
848,2
849,5
850,4
851,2
852,4
853,6
854,4
855,3
856,4
857,3
858,11
859,3
860,3
861,4
862,3
863,2
864,4
865,2
866,11
867,6
868,4
869,11
870,6
871,3
872,3
873,11
874,2
875,4
876,6
877,6
878,5
879,4
880,3
881,4
882,3
883,6
884,4
885,2
886,4
887,4
888,11
889,2
890,11
891,4
892,2
893,3
894,2
895,2
896,3
897,11
898,4
899,6
900,11
901,11
902,6
903,6
904,4
905,3
906,3
907,11
908,11
909,11
910,3
911,4
912,11
913,6
914,6
915,6
916,6
917,6
918,4
919,6
920,6
921,6
922,11
923,2
924,4
925,3
926,2
927,2
928,11
929,2
930,6
931,6
932,6
933,6
934,11
935,4
936,4
937,6
938,11
939,11
940,2
941,2
942,3
943,3
944,4
945,11
946,3
947,4
948,4
949,3
950,3
951,2
952,3
953,3
954,4
955,4
956,11
957,4
958,2
959,6
960,4
961,11
962,4
963,11
964,11
965,3
966,4
967,3
968,5
969,4
970,4
971,4
972,4
973,3
974,5
975,2
976,6
977,2
978,3
979,6
980,11
981,11
982,6
983,4
984,4
985,6
986,4
987,11
988,6
989,3
990,11
991,2
992,2
993,4
994,4
995,4
996,6
997,2
998,11
999,6
1000,3
