R,brazilian
373,4
374,4
375,4
376,4
377,7
378,3
379,7
380,4
381,7
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,4
390,1
391,2
392,4
393,4
394,7
395,4
396,2
397,4
398,2
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,2
411,4
412,4
413,4
414,7
415,4
416,4
417,4
418,4
419,3
420,4
421,2
422,4
423,4
424,2
425,2
426,4
427,2
428,2
429,7
430,7
431,2
432,4
433,4
434,4
435,2
436,7
437,4
438,4
439,4
440,4
441,7
442,2
443,4
444,4
445,2
446,4
447,7
448,4
449,2
450,2
451,3
452,7
453,3
454,4
455,4
456,2
457,2
458,7
459,4
460,4
461,4
462,4
463,2
464,2
465,4
466,4
467,4
468,4
469,7
470,4
471,4
472,3
473,4
474,7
475,7
476,7
477,7
478,2
479,4
480,4
481,3
482,4
483,7
484,4
485,4
486,4
487,7
488,4
489,2
490,7
491,7
492,3
493,2
494,2
495,4
496,4
497,4
498,4
499,4
500,4
501,7
502,7
503,4
504,4
505,3
506,2
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,3
517,7
518,4
519,4
520,4
521,7
522,4
523,7
524,4
525,2
526,4
527,7
528,4
529,4
530,4
531,4
532,4
533,4
534,7
535,7
536,4
537,2
538,7
539,7
540,2
541,2
542,2
543,4
544,4
545,7
546,4
547,4
548,2
549,4
550,4
551,7
552,2
553,4
554,4
555,4
556,2
557,4
558,4
559,4
560,7
561,4
562,4
563,7
564,4
565,4
566,4
567,4
568,2
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,7
577,4
578,2
579,7
580,2
581,4
582,2
583,4
584,4
585,7
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,7
594,4
595,2
596,2
597,4
598,4
599,4
600,4
601,4
602,7
603,4
604,7
605,7
606,4
607,4
608,7
609,7
610,2
611,2
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,7
622,7
623,4
624,4
625,7
626,4
627,2
628,4
629,4
630,7
631,2
632,7
633,7
634,4
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,7
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,7
654,4
655,4
656,4
657,2
658,4
659,4
660,4
661,4
662,4
663,4
664,2
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,7
676,4
677,7
678,7
679,2
680,4
681,7
682,4
683,2
684,7
685,2
686,4
687,4
688,7
689,4
690,7
691,4
692,7
693,4
694,4
695,4
696,4
697,4
698,7
699,4
700,7
701,4
702,4
703,2
704,4
705,2
706,4
707,4
708,4
709,4
710,4
711,4
712,3
713,7
714,4
715,4
716,4
717,4
718,4
719,4
720,7
721,2
722,4
723,4
724,4
725,4
726,2
727,2
728,4
729,2
730,2
731,4
732,4
733,4
734,2
735,7
736,7
737,4
738,4
739,7
740,7
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,2
749,4
750,2
751,7
752,4
753,7
754,4
755,7
756,2
757,4
758,4
759,7
760,4
761,4
762,2
763,4
764,4
765,7
766,7
767,4
768,4
769,2
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,7
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,7
788,2
789,2
790,4
791,7
792,3
793,4
794,7
795,4
796,4
797,2
798,4
799,2
800,7
801,7
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,2
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,2
818,4
819,4
820,4
821,2
822,4
823,4
824,2
825,3
826,4
827,4
828,7
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,3
837,4
838,7
839,4
840,7
841,4
842,4
843,2
844,4
845,4
846,7
847,4
848,4
849,4
850,7
851,4
852,4
853,4
854,4
855,7
856,4
857,2
858,4
859,4
860,4
861,4
862,4
863,4
864,2
865,2
866,3
867,4
868,4
869,4
870,4
871,7
872,4
873,7
874,4
875,4
876,4
877,4
878,4
879,4
880,2
881,2
882,2
883,4
884,4
885,4
886,2
887,4
888,2
889,2
890,7
891,2
892,4
893,7
894,4
895,4
896,3
897,4
898,4
899,4
900,4
901,4
902,4
903,4
904,7
905,4
906,7
907,2
908,4
909,4
910,2
911,4
912,4
913,4
914,2
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,4
923,7
924,4
925,4
926,7
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,2
935,4
936,3
937,4
938,4
939,2
940,7
941,3
942,4
943,7
944,2
945,4
946,4
947,4
948,4
949,4
950,4
951,4
952,7
953,4
954,7
955,4
956,4
957,4
958,4
959,4
960,4
961,3
962,2
963,7
964,4
965,4
966,7
967,7
968,4
969,7
970,4
971,4
972,4
973,7
974,7
975,2
976,4
977,4
978,4
979,4
980,4
981,7
982,4
983,4
984,2
985,4
986,4
987,4
988,4
989,7
990,4
991,4
992,2
993,4
994,4
995,4
996,4
997,2
998,4
999,4
1000,7
