R,southern_us
873,3
874,4
875,3
876,5
877,9
878,9
879,4
880,3
881,3
882,3
883,5
884,3
885,4
886,9
887,4
888,5
889,3
890,3
891,2
892,2
893,4
894,5
895,3
896,2
897,4
898,4
899,9
900,9
901,5
902,9
903,5
904,9
905,3
906,3
907,3
908,5
909,3
910,9
911,9
912,3
913,5
914,4
915,5
916,5
917,4
918,4
919,5
920,5
921,5
922,5
923,4
924,3
925,2
926,4
927,4
928,9
929,3
930,5
931,5
932,4
933,9
934,3
935,2
936,2
937,5
938,9
939,4
940,4
941,2
942,2
943,3
944,3
945,9
946,5
947,5
948,9
949,5
950,3
951,5
952,4
953,3
954,9
955,5
956,9
957,4
958,5
959,5
960,2
961,4
962,2
963,4
964,3
965,3
966,2
967,2
968,4
969,3
970,2
971,5
972,5
973,4
974,9
975,2
976,5
977,4
978,4
979,2
980,4
981,3
982,5
983,4
984,9
985,5
986,5
987,5
988,5
989,2
990,3
991,5
992,9
993,4
994,9
995,3
996,5
997,3
998,4
999,4
1000,4
