R,indian
807,5
808,3
809,5
810,5
811,9
812,3
813,5
814,5
815,2
816,3
817,2
818,2
819,2
820,2
821,2
822,2
823,5
824,5
825,9
826,5
827,5
828,3
829,9
830,5
831,9
832,9
833,4
834,3
835,5
836,9
837,5
838,9
839,5
840,3
841,2
842,2
843,5
844,9
845,5
846,3
847,3
848,5
849,5
850,3
851,5
852,3
853,2
854,2
855,2
856,5
857,2
858,5
859,9
860,5
861,3
862,5
863,5
864,3
865,3
866,4
867,5
868,9
869,5
870,5
871,3
872,5
873,5
874,3
875,5
876,5
877,3
878,5
879,5
880,9
881,9
882,9
883,5
884,9
885,5
886,5
887,5
888,5
889,9
890,9
891,5
892,5
893,2
894,5
895,5
896,3
897,5
898,9
899,3
900,9
901,2
902,9
903,9
904,3
905,2
906,9
907,3
908,3
909,5
910,3
911,3
912,9
913,5
914,5
915,2
916,4
917,5
918,2
919,5
920,5
921,2
922,2
923,2
924,5
925,3
926,3
927,5
928,5
929,9
930,9
931,5
932,5
933,2
934,2
935,9
936,9
937,5
938,5
939,5
940,2
941,3
942,5
943,3
944,9
945,4
946,5
947,2
948,9
949,5
950,5
951,5
952,3
953,3
954,5
955,9
956,3
957,2
958,9
959,5
960,9
961,4
962,9
963,3
964,5
965,9
966,2
967,4
968,9
969,2
970,4
971,2
972,5
973,9
974,2
975,9
976,5
977,5
978,9
979,5
980,5
981,2
982,5
983,4
984,2
985,5
986,2
987,9
988,9
989,9
990,2
991,5
992,3
993,5
994,5
995,5
996,5
997,2
998,9
999,5
1000,3
