R,thai
981,2
982,5
983,5
984,3
985,5
986,9
987,3
988,5
989,5
990,2
991,5
992,5
993,2
994,5
995,5
996,5
997,2
998,9
999,3
1000,9
