R,russian
314,2
315,4
316,2
317,2
318,4
319,4
320,2
321,4
322,4
323,2
324,7
325,2
326,7
327,4
328,4
329,4
330,4
331,4
332,2
333,4
334,4
335,4
336,2
337,4
338,7
339,2
340,3
341,7
342,4
343,4
344,7
345,4
346,4
347,4
348,7
349,4
350,4
351,4
352,4
353,2
354,2
355,4
356,4
357,4
358,4
359,7
360,7
361,7
362,4
363,4
364,2
365,4
366,7
367,4
368,4
369,7
370,4
371,4
372,2
373,4
374,2
375,4
376,7
377,4
378,3
379,4
380,4
381,7
382,2
383,4
384,4
385,4
386,7
387,4
388,4
389,2
390,7
391,4
392,4
393,4
394,4
395,4
396,2
397,4
398,4
399,2
400,4
401,2
402,2
403,4
404,4
405,7
406,2
407,4
408,4
409,4
410,4
411,4
412,2
413,2
414,7
415,7
416,7
417,4
418,4
419,7
420,4
421,2
422,4
423,4
424,2
425,2
426,4
427,7
428,4
429,2
430,7
431,7
432,4
433,2
434,2
435,2
436,2
437,4
438,4
439,4
440,2
441,7
442,7
443,4
444,4
445,4
446,4
447,7
448,4
449,3
450,4
451,7
452,2
453,7
454,7
455,4
456,7
457,4
458,7
459,7
460,7
461,4
462,7
463,7
464,2
465,4
466,4
467,4
468,4
469,2
470,2
471,2
472,7
473,4
474,4
475,2
476,2
477,2
478,2
479,7
480,2
481,7
482,4
483,7
484,4
485,4
486,4
487,2
488,4
489,4
490,4
491,7
492,2
493,4
494,7
495,4
496,4
497,4
498,7
499,4
500,7
501,7
502,7
503,4
504,4
505,2
506,7
507,7
508,4
509,4
510,7
511,4
512,4
513,4
514,2
515,4
516,4
517,3
518,4
519,3
520,4
521,2
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,4
530,2
531,4
532,4
533,4
534,4
535,7
536,4
537,4
538,4
539,4
540,4
541,2
542,7
543,2
544,4
545,2
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,2
557,4
558,7
559,4
560,4
561,4
562,4
563,2
564,7
565,4
566,4
567,4
568,7
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,7
577,7
578,4
579,2
580,2
581,4
582,2
583,4
584,4
585,4
586,4
587,4
588,4
589,2
590,4
591,7
592,4
593,2
594,4
595,4
596,2
597,4
598,7
599,4
600,4
601,4
602,7
603,2
604,4
605,2
606,7
607,4
608,4
609,4
610,3
611,4
612,4
613,4
614,7
615,4
616,7
617,4
618,4
619,7
620,7
621,3
622,7
623,4
624,4
625,4
626,7
627,7
628,4
629,4
630,7
631,4
632,7
633,4
634,4
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,2
645,2
646,2
647,4
648,4
649,4
650,7
651,4
652,4
653,7
654,4
655,4
656,4
657,7
658,4
659,4
660,4
661,4
662,4
663,4
664,3
665,7
666,4
667,4
668,4
669,4
670,4
671,4
672,7
673,7
674,4
675,4
676,4
677,4
678,7
679,4
680,4
681,7
682,4
683,2
684,7
685,4
686,4
687,4
688,4
689,1
690,4
691,4
692,4
693,4
694,4
695,4
696,2
697,4
698,2
699,7
700,7
701,2
702,7
703,4
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,2
712,7
713,2
714,4
715,2
716,4
717,2
718,7
719,4
720,4
721,2
722,4
723,4
724,4
725,4
726,4
727,2
728,2
729,7
730,2
731,4
732,2
733,4
734,7
735,7
736,4
737,4
738,4
739,7
740,7
741,4
742,4
743,7
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,2
753,4
754,4
755,7
756,7
757,4
758,4
759,7
760,7
761,4
762,7
763,4
764,4
765,2
766,7
767,4
768,4
769,3
770,4
771,7
772,4
773,7
774,2
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,7
786,4
787,4
788,2
789,2
790,4
791,2
792,7
793,4
794,4
795,4
796,4
797,2
798,7
799,4
800,7
801,4
802,4
803,4
804,4
805,2
806,4
807,4
808,7
809,4
810,4
811,2
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,2
822,7
823,4
824,4
825,4
826,4
827,4
828,4
829,7
830,4
831,4
832,4
833,7
834,2
835,4
836,2
837,2
838,7
839,2
840,4
841,2
842,7
843,4
844,4
845,2
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,2
855,4
856,4
857,2
858,4
859,4
860,4
861,4
862,4
863,4
864,4
865,4
866,7
867,4
868,2
869,4
870,7
871,2
872,4
873,7
874,7
875,4
876,4
877,4
878,4
879,4
880,4
881,4
882,2
883,4
884,7
885,4
886,2
887,7
888,4
889,7
890,7
891,7
892,4
893,2
894,4
895,4
896,7
897,4
898,4
899,4
900,4
901,4
902,4
903,4
904,4
905,7
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,7
923,4
924,2
925,4
926,2
927,4
928,4
929,2
930,4
931,4
932,4
933,4
934,4
935,4
936,4
937,4
938,4
939,4
940,4
941,2
942,7
943,4
944,2
945,4
946,4
947,7
948,4
949,4
950,4
951,4
952,4
953,4
954,7
955,4
956,4
957,7
958,4
959,4
960,4
961,4
962,4
963,7
964,4
965,4
966,2
967,7
968,2
969,2
970,4
971,4
972,4
973,7
974,4
975,2
976,4
977,4
978,2
979,2
980,7
981,7
982,4
983,7
984,4
985,4
986,4
987,4
988,4
989,2
990,4
991,4
992,4
993,2
994,2
995,4
996,4
997,7
998,4
999,4
1000,2
