R,italian
415,11
416,11
417,2
418,3
419,3
420,3
421,4
422,2
423,2
424,3
425,2
426,2
427,3
428,3
429,4
430,2
431,4
432,11
433,2
434,11
435,3
436,2
437,3
438,2
439,6
440,4
441,2
442,4
443,6
444,6
445,6
446,11
447,11
448,3
449,5
450,4
451,2
452,3
453,2
454,4
455,2
456,3
457,4
458,6
459,3
460,2
461,4
462,4
463,3
464,2
465,4
466,6
467,6
468,11
469,4
470,3
471,2
472,2
473,11
474,4
475,3
476,2
477,3
478,3
479,11
480,3
481,2
482,3
483,11
484,3
485,6
486,6
487,3
488,6
489,11
490,4
491,11
492,3
493,2
494,3
495,11
496,4
497,2
498,3
499,6
500,4
501,2
502,3
503,6
504,11
505,11
506,11
507,3
508,6
509,6
510,11
511,2
512,4
513,4
514,2
515,3
516,2
517,2
518,3
519,2
520,2
521,3
522,2
523,11
524,6
525,11
526,4
527,11
528,3
529,3
530,2
531,6
532,6
533,6
534,11
535,3
536,6
537,6
538,4
539,11
540,6
541,3
542,4
543,4
544,6
545,4
546,11
547,6
548,6
549,6
550,6
551,2
552,4
553,4
554,6
555,11
556,3
557,2
558,2
559,2
560,2
561,3
562,3
563,4
564,11
565,2
566,3
567,2
568,2
569,11
570,6
571,4
572,11
573,11
574,4
575,11
576,2
577,2
578,11
579,2
580,3
581,6
582,6
583,6
584,11
585,6
586,11
587,11
588,6
589,4
590,11
591,3
592,3
593,2
594,4
595,3
596,2
597,3
598,3
599,11
600,4
601,3
602,11
603,11
604,6
605,3
606,4
607,6
608,2
609,11
610,2
611,11
612,6
613,11
614,2
615,2
616,2
617,6
618,4
619,11
620,4
621,11
622,4
623,2
624,11
625,3
626,2
627,11
628,3
629,6
630,3
631,2
632,2
633,11
634,4
635,4
636,2
637,4
638,11
639,6
640,4
641,4
642,6
643,6
644,11
645,3
646,2
647,4
648,6
649,2
650,2
651,2
652,6
653,11
654,4
655,4
656,6
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,4
666,6
667,6
668,6
669,11
670,6
671,11
672,6
673,3
674,3
675,11
676,4
677,2
678,4
679,11
680,11
681,6
682,6
683,11
684,11
685,4
686,11
687,6
688,6
689,4
690,11
691,6
692,11
693,6
694,3
695,11
696,3
697,4
698,11
699,4
700,3
701,3
702,1
703,6
704,2
705,3
706,4
707,4
708,6
709,6
710,6
711,2
712,2
713,2
714,3
715,2
716,6
717,11
718,3
719,11
720,2
721,4
722,4
723,6
724,11
725,11
726,3
727,6
728,3
729,11
730,11
731,6
732,3
733,6
734,3
735,3
736,4
737,11
738,11
739,2
740,2
741,6
742,3
743,2
744,6
745,11
746,6
747,3
748,6
749,3
750,11
751,2
752,4
753,2
754,11
755,11
756,2
757,6
758,6
759,3
760,2
761,2
762,4
763,3
764,11
765,11
766,11
767,4
768,4
769,5
770,11
771,4
772,3
773,3
774,4
775,2
776,4
777,6
778,4
779,6
780,6
781,3
782,2
783,11
784,4
785,11
786,11
787,4
788,4
789,3
790,4
791,2
792,3
793,6
794,4
795,4
796,2
797,11
798,11
799,11
800,3
801,11
802,2
803,4
804,11
805,3
806,4
807,6
808,6
809,6
810,11
811,6
812,6
813,6
814,6
815,6
816,3
817,11
818,6
819,6
820,6
821,4
822,6
823,6
824,4
825,4
826,2
827,2
828,6
829,11
830,6
831,6
832,6
833,6
834,11
835,11
836,4
837,11
838,4
839,11
840,11
841,11
842,6
843,6
844,6
845,4
846,11
847,6
848,6
849,11
850,3
851,4
852,4
853,6
854,3
855,2
856,3
857,11
858,4
859,3
860,3
861,3
862,4
863,6
864,3
865,6
866,4
867,2
868,2
869,3
870,2
871,4
872,4
873,2
874,4
875,3
876,6
877,4
878,2
879,2
880,4
881,3
882,3
883,4
884,4
885,6
886,4
887,4
888,4
889,11
890,2
891,3
892,4
893,3
894,6
895,11
896,2
897,2
898,2
899,4
900,6
901,6
902,6
903,6
904,4
905,4
906,3
907,4
908,6
909,11
910,4
911,11
912,2
913,6
914,3
915,6
916,6
917,11
918,4
919,6
920,6
921,6
922,4
923,11
924,2
925,4
926,4
927,4
928,2
929,3
930,6
931,6
932,4
933,6
934,6
935,11
936,4
937,6
938,6
939,11
940,11
941,4
942,4
943,4
944,2
945,2
946,3
947,4
948,6
949,4
950,3
951,6
952,3
953,11
954,3
955,2
956,6
957,11
958,11
959,6
960,4
961,2
962,3
963,2
964,6
965,11
966,4
967,3
968,2
969,3
970,3
971,6
972,6
973,3
974,6
975,4
976,6
977,6
978,3
979,6
980,3
981,4
982,2
983,2
984,11
985,6
986,4
987,6
988,6
989,2
990,6
991,6
992,6
993,3
994,11
995,3
996,2
997,2
998,3
999,6
1000,2
