id,R
310,R310i
311,R311i
312,R312i
313,R313i
314,R314i
315,R315i
316,R316i
317,R317i
318,R318i
319,R319i
320,R320i
321,R321i
322,R322i
323,R323i
324,R324i
325,R325i
326,R326i
327,R327i
328,R328i
329,R329i
330,R330i
331,R331i
332,R332i
333,R333i
334,R334i
335,R335i
336,R336i
337,R337i
338,R338i
339,R339i
340,R340i
341,R341i
342,R342i
343,R343i
344,R344i
345,R345i
346,R346i
347,R347i
348,R348i
349,R349i
350,R350i
351,R351i
352,R352i
353,R353i
354,R354i
355,R355i
356,R356i
357,R357i
358,R358i
359,R359i
360,R360i
361,R361i
362,R362i
363,R363i
364,R364i
365,R365i
366,R366i
367,R367i
368,R368i
369,R369i
370,R370i
371,R371i
372,R372i
373,R373i
374,R374i
375,R375i
376,R376i
377,R377i
378,R378i
379,R379i
380,R380i
381,R381i
382,R382i
383,R383i
384,R384i
385,R385i
386,R386i
387,R387i
388,R388i
389,R389i
390,R390i
391,R391i
392,R392i
393,R393i
394,R394i
395,R395i
396,R396i
397,R397i
398,R398i
399,R399i
400,R400i
401,R401i
402,R402i
403,R403i
404,R404i
405,R405i
406,R406i
407,R407i
408,R408i
409,R409i
410,R410i
411,R411i
412,R412i
413,R413i
414,R414i
415,R415i
416,R416i
417,R417i
418,R418i
419,R419i
420,R420i
421,R421i
422,R422i
423,R423i
424,R424i
425,R425i
426,R426i
427,R427i
428,R428i
429,R429i
430,R430i
431,R431i
432,R432i
433,R433i
434,R434i
435,R435i
436,R436i
437,R437i
438,R438i
439,R439i
440,R440i
441,R441i
442,R442i
443,R443i
444,R444i
445,R445i
446,R446i
447,R447i
448,R448i
449,R449i
450,R450i
451,R451i
452,R452i
453,R453i
454,R454i
455,R455i
456,R456i
457,R457i
458,R458i
459,R459i
460,R460i
461,R461i
462,R462i
463,R463i
464,R464i
465,R465i
466,R466i
467,R467i
468,R468i
469,R469i
470,R470i
471,R471i
472,R472i
473,R473i
474,R474i
475,R475i
476,R476i
477,R477i
478,R478i
479,R479i
480,R480i
481,R481i
482,R482i
483,R483i
484,R484i
485,R485i
486,R486i
487,R487i
488,R488i
489,R489i
490,R490i
491,R491i
492,R492i
493,R493i
494,R494i
495,R495i
496,R496i
497,R497i
498,R498i
499,R499i
500,R500i
