R,british
374,7
375,4
376,2
377,2
378,4
379,4
380,4
381,7
382,2
383,4
384,4
385,4
386,2
387,4
388,4
389,2
390,2
391,4
392,4
393,4
394,2
395,4
396,7
397,4
398,4
399,2
400,2
401,2
402,4
403,2
404,2
405,7
406,2
407,4
408,7
409,4
410,3
411,7
412,4
413,7
414,7
415,7
416,4
417,4
418,4
419,7
420,2
421,2
422,4
423,7
424,2
425,2
426,4
427,7
428,3
429,7
430,2
431,2
432,2
433,7
434,7
435,2
436,2
437,4
438,2
439,4
440,7
441,7
442,3
443,4
444,4
445,4
446,4
447,7
448,2
449,4
450,7
451,7
452,7
453,4
454,4
455,7
456,4
457,4
458,7
459,7
460,4
461,4
462,4
463,7
464,7
465,4
466,4
467,4
468,4
469,2
470,7
471,7
472,7
473,2
474,2
475,7
476,7
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,4
486,4
487,2
488,4
489,4
490,4
491,7
492,3
493,4
494,2
495,4
496,4
497,4
498,4
499,4
500,7
501,2
502,2
503,4
504,4
505,7
506,7
507,7
508,4
509,4
510,2
511,4
512,4
513,2
514,7
515,2
516,7
517,3
518,7
519,3
520,4
521,2
522,4
523,4
524,4
525,3
526,4
527,4
528,4
529,4
530,2
531,4
532,4
533,4
534,4
535,2
536,4
537,4
538,4
539,4
540,2
541,2
542,2
543,2
544,2
545,2
546,4
547,7
548,4
549,4
550,4
551,3
552,7
553,4
554,4
555,4
556,2
557,4
558,4
559,4
560,7
561,4
562,4
563,2
564,2
565,4
566,4
567,4
568,4
569,4
570,7
571,4
572,4
573,7
574,4
575,2
576,7
577,4
578,4
579,7
580,7
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,7
590,4
591,2
592,4
593,7
594,4
595,2
596,4
597,4
598,4
599,4
600,4
601,2
602,7
603,4
604,4
605,2
606,4
607,7
608,4
609,4
610,4
611,4
612,4
613,4
614,7
615,4
616,4
617,4
618,4
619,4
620,4
621,3
622,7
623,7
624,4
625,4
626,7
627,7
628,4
629,4
630,7
631,4
632,3
633,4
634,4
635,2
636,4
637,4
638,4
639,4
640,4
641,7
642,4
643,4
644,4
645,2
646,4
647,4
648,4
649,4
650,3
651,4
652,7
653,7
654,2
655,4
656,4
657,4
658,4
659,7
660,4
661,4
662,4
663,4
664,7
665,7
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,2
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,2
684,4
685,7
686,4
687,4
688,4
689,2
690,7
691,4
692,4
693,4
694,4
695,4
696,2
697,4
698,4
699,2
700,2
701,2
702,4
703,4
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,7
712,7
713,2
714,4
715,2
716,4
717,2
718,4
719,4
720,7
721,2
722,4
723,4
724,4
725,2
726,2
727,2
728,2
729,3
730,4
731,4
732,7
733,4
734,4
735,3
736,4
737,7
738,4
739,7
740,4
741,4
742,7
743,7
744,4
745,4
746,4
747,7
748,4
749,4
750,4
751,7
752,4
753,2
754,2
755,4
756,7
757,4
758,4
759,4
760,7
761,4
762,2
763,2
764,4
765,2
766,3
767,4
768,7
769,3
770,4
771,4
772,4
773,7
774,4
775,4
776,7
777,4
778,4
779,4
780,4
781,2
782,4
783,4
784,2
785,4
786,7
787,2
788,2
789,2
790,2
791,2
792,7
793,4
794,4
795,4
796,4
797,7
798,4
799,7
800,2
801,7
802,4
803,4
804,4
805,2
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,2
822,4
823,4
824,4
825,4
826,4
827,7
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,7
836,7
837,2
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,2
846,7
847,2
848,4
849,4
850,4
851,7
852,4
853,4
854,2
855,4
856,4
857,4
858,4
859,4
860,7
861,4
862,7
863,4
864,2
865,4
866,7
867,4
868,2
869,4
870,7
871,7
872,4
873,2
874,7
875,7
876,4
877,7
878,2
879,4
880,4
881,4
882,2
883,2
884,7
885,4
886,2
887,4
888,4
889,2
890,2
891,2
892,4
893,2
894,4
895,4
896,2
897,4
898,4
899,7
900,4
901,4
902,4
903,4
904,4
905,2
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,7
923,4
924,2
925,7
926,4
927,4
928,4
929,7
930,4
931,4
932,4
933,4
934,4
935,7
936,7
937,4
938,4
939,4
940,4
941,7
942,4
943,7
944,7
945,4
946,7
947,7
948,4
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,4
959,4
960,7
961,4
962,2
963,7
964,4
965,7
966,2
967,2
968,2
969,2
970,2
971,7
972,4
973,2
974,4
975,2
976,4
977,4
978,2
979,2
980,7
981,7
982,7
983,7
984,4
985,4
986,4
987,4
988,4
989,2
990,4
991,4
992,4
993,4
994,7
995,4
996,4
997,7
998,2
999,4
1000,7
1001,2
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,2
1009,4
1010,4
1011,7
1012,7
1013,4
1014,4
1015,7
1016,4
1017,4
1018,7
1019,4
1020,4
1021,4
1022,7
1023,7
1024,2
1025,4
1026,2
1027,4
1028,4
1029,7
1030,4
1031,4
1032,4
1033,2
1034,4
1035,4
1036,4
1037,4
1038,2
1039,4
1040,4
1041,2
1042,2
1043,2
1044,7
1045,2
1046,2
1047,2
1048,4
1049,4
1050,4
1051,4
1052,2
1053,4
1054,2
1055,4
1056,2
1057,4
1058,4
1059,4
1060,2
1061,4
1062,4
1063,4
1064,4
1065,4
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,2
1073,2
1074,4
1075,2
1076,4
1077,2
1078,4
1079,2
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,4
1088,4
1089,4
1090,2
1091,2
1092,4
1093,4
1094,4
1095,7
1096,4
1097,4
1098,4
1099,2
1100,4
1101,4
1102,4
1103,4
1104,7
1105,4
1106,4
1107,4
1108,7
1109,4
1110,2
1111,4
1112,4
1113,4
1114,7
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,4
1123,7
1124,7
1125,2
1126,4
1127,7
1128,4
1129,7
1130,7
1131,4
1132,7
1133,4
1134,4
1135,4
1136,4
1137,2
1138,4
1139,7
1140,3
1141,4
1142,7
1143,2
1144,4
1145,4
1146,7
1147,4
1148,4
1149,4
1150,4
1151,4
1152,2
1153,2
1154,2
1155,7
1156,4
1157,4
1158,4
1159,7
1160,2
1161,2
1162,4
1163,4
1164,4
1165,7
1166,7
1167,4
1168,7
1169,7
1170,2
1171,2
1172,4
1173,4
1174,7
1175,4
1176,4
1177,4
1178,7
1179,4
1180,2
1181,4
1182,4
1183,2
1184,2
1185,4
1186,4
1187,2
1188,2
1189,7
1190,7
1191,4
1192,4
1193,7
1194,4
1195,4
1196,4
1197,7
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,2
1205,4
1206,4
1207,4
1208,4
1209,4
1210,7
1211,4
1212,7
1213,2
1214,4
1215,2
1216,7
1217,7
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,2
1225,4
1226,4
1227,7
1228,2
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,7
1241,4
1242,4
1243,2
1244,4
1245,4
1246,7
1247,4
1248,4
1249,2
1250,2
1251,4
1252,4
1253,4
1254,4
1255,7
1256,4
1257,7
1258,4
1259,4
1260,4
1261,4
1262,2
1263,4
1264,4
1265,2
1266,4
1267,2
1268,4
1269,4
1270,7
1271,2
1272,2
1273,7
1274,7
1275,4
1276,4
1277,7
1278,2
1279,4
1280,4
1281,4
1282,2
1283,2
1284,4
1285,2
1286,7
1287,4
1288,4
1289,2
1290,4
1291,2
1292,4
1293,4
1294,4
1295,2
1296,7
1297,4
1298,4
1299,4
1300,2
1301,4
1302,4
1303,4
1304,4
1305,4
1306,4
1307,2
1308,4
1309,4
1310,4
1311,2
1312,7
1313,4
1314,7
1315,4
1316,4
1317,7
1318,4
1319,7
1320,4
1321,4
1322,4
1323,4
1324,4
1325,7
1326,4
1327,4
1328,4
1329,2
1330,4
1331,4
1332,4
1333,4
1334,4
1335,7
1336,4
1337,2
1338,4
1339,7
1340,4
1341,7
1342,4
1343,2
1344,4
1345,7
1346,7
1347,4
1348,4
1349,2
1350,4
1351,4
1352,2
1353,2
1354,4
1355,4
1356,4
1357,4
1358,4
1359,4
1360,7
1361,7
1362,2
1363,7
1364,4
1365,4
1366,4
1367,4
1368,7
1369,4
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,7
1377,4
1378,7
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,2
1389,4
1390,2
1391,4
1392,4
1393,4
1394,7
1395,4
1396,2
1397,7
1398,4
1399,7
1400,4
1401,4
1402,4
1403,4
1404,4
1405,2
1406,1
1407,4
1408,4
1409,4
1410,4
1411,7
1412,4
1413,4
1414,4
1415,4
1416,4
1417,4
1418,4
1419,4
1420,7
1421,7
1422,2
1423,4
1424,4
1425,4
1426,4
1427,2
1428,7
1429,4
1430,4
1431,2
1432,2
1433,7
1434,4
1435,4
1436,4
1437,2
1438,4
1439,4
1440,4
1441,2
1442,2
1443,4
1444,2
1445,4
1446,4
1447,2
1448,4
1449,4
1450,2
1451,2
1452,4
1453,7
1454,7
1455,4
1456,4
1457,4
1458,4
1459,7
1460,4
1461,4
1462,4
1463,4
1464,4
1465,2
1466,7
1467,4
1468,2
1469,2
1470,4
1471,4
1472,4
1473,4
1474,4
1475,2
1476,2
1477,4
1478,7
1479,7
1480,7
1481,4
1482,2
1483,2
1484,4
1485,7
1486,4
1487,2
1488,2
1489,4
1490,4
1491,4
1492,4
1493,4
1494,4
1495,7
1496,4
1497,2
1498,4
1499,4
1500,4
