R,irish
676,4
677,7
678,7
679,4
680,7
681,4
682,4
683,2
684,4
685,4
686,4
687,4
688,4
689,2
690,4
691,4
692,4
693,4
694,4
695,4
696,2
697,4
698,4
699,2
700,7
701,2
702,4
703,4
704,7
705,2
706,4
707,4
708,4
709,4
710,4
711,2
712,2
713,7
714,2
715,7
716,4
717,2
718,4
719,4
720,4
721,2
722,4
723,4
724,4
725,4
726,2
727,4
728,4
729,4
730,4
731,4
732,7
733,4
734,4
735,4
736,4
737,4
738,4
739,2
740,4
741,4
742,2
743,2
744,4
745,4
746,4
747,4
748,7
749,4
750,4
751,7
752,4
753,7
754,2
755,7
756,2
757,4
758,4
759,4
760,7
761,4
762,2
763,4
764,4
765,4
766,7
767,4
768,2
769,7
770,4
771,4
772,4
773,7
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,2
782,4
783,4
784,4
785,4
786,7
787,7
788,2
789,2
790,2
791,7
792,7
793,4
794,4
795,4
796,7
797,4
798,4
799,4
800,2
801,7
802,2
803,4
804,4
805,7
806,4
807,4
808,4
809,4
810,2
811,2
812,7
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,7
822,4
823,4
824,2
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,7
836,7
837,2
838,4
839,7
840,4
841,4
842,7
843,4
844,4
845,2
846,2
847,4
848,4
849,4
850,7
851,2
852,4
853,4
854,2
855,7
856,4
857,7
858,4
859,4
860,4
861,2
862,4
863,4
864,2
865,4
866,4
867,4
868,2
869,4
870,4
871,7
872,4
873,2
874,4
875,2
876,4
877,4
878,4
879,4
880,4
881,4
882,2
883,2
884,7
885,4
886,4
887,4
888,2
889,7
890,4
891,2
892,4
893,2
894,4
895,4
896,7
897,7
898,7
899,4
900,4
901,4
902,4
903,4
904,7
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,7
919,4
920,4
921,4
922,2
923,4
924,2
925,4
926,4
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,2
936,7
937,4
938,4
939,7
940,4
941,2
942,7
943,4
944,2
945,4
946,4
947,7
948,4
949,4
950,2
951,4
952,4
953,7
954,4
955,4
956,4
957,4
958,4
959,4
960,4
961,7
962,2
963,7
964,4
965,7
966,2
967,4
968,7
969,7
970,2
971,4
972,4
973,2
974,4
975,7
976,4
977,4
978,2
979,2
980,4
981,7
982,4
983,4
984,7
985,4
986,7
987,4
988,4
989,7
990,4
991,4
992,4
993,4
994,4
995,4
996,4
997,7
998,7
999,4
1000,4
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,7
1009,4
1010,4
1011,4
1012,2
1013,4
1014,4
1015,4
1016,4
1017,4
1018,2
1019,4
1020,4
1021,4
1022,7
1023,7
1024,2
1025,2
1026,4
1027,4
1028,4
1029,7
1030,2
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,2
1043,2
1044,4
1045,4
1046,4
1047,7
1048,4
1049,4
1050,4
1051,4
1052,4
1053,4
1054,7
1055,4
1056,4
1057,2
1058,4
1059,4
1060,2
1061,4
1062,4
1063,4
1064,4
1065,2
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,7
1073,4
1074,4
1075,4
1076,4
1077,7
1078,4
1079,2
1080,4
1081,7
1082,4
1083,4
1084,4
1085,4
1086,2
1087,2
1088,4
1089,4
1090,2
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,4
1105,4
1106,4
1107,7
1108,4
1109,2
1110,2
1111,4
1112,4
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,4
1123,4
1124,4
1125,7
1126,4
1127,7
1128,2
1129,2
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,2
1138,7
1139,2
1140,7
1141,4
1142,7
1143,2
1144,4
1145,4
1146,4
1147,4
1148,4
1149,4
1150,4
1151,4
1152,7
1153,4
1154,4
1155,2
1156,2
1157,4
1158,4
1159,4
1160,2
1161,2
1162,2
1163,2
1164,4
1165,7
1166,4
1167,4
1168,4
1169,2
1170,2
1171,2
1172,2
1173,4
1174,7
1175,4
1176,4
1177,4
1178,2
1179,4
1180,7
1181,4
1182,4
1183,2
1184,2
1185,4
1186,4
1187,4
1188,2
1189,7
1190,7
1191,4
1192,4
1193,7
1194,2
1195,7
1196,4
1197,7
1198,2
1199,4
1200,4
1201,7
1202,4
1203,4
1204,2
1205,4
1206,4
1207,4
1208,7
1209,4
1210,4
1211,4
1212,2
1213,2
1214,7
1215,4
1216,4
1217,2
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,7
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,7
1235,4
1236,2
1237,7
1238,4
1239,4
1240,4
1241,4
1242,4
1243,2
1244,4
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,7
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,2
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,7
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,2
1275,2
1276,2
1277,2
1278,4
1279,4
1280,4
1281,4
1282,7
1283,7
1284,4
1285,2
1286,2
1287,4
1288,2
1289,4
1290,4
1291,7
1292,4
1293,4
1294,4
1295,2
1296,1
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,4
1306,4
1307,7
1308,4
1309,4
1310,4
1311,2
1312,2
1313,2
1314,2
1315,4
1316,4
1317,4
1318,4
1319,2
1320,4
1321,7
1322,4
1323,4
1324,4
1325,4
1326,4
1327,4
1328,4
1329,7
1330,4
1331,4
1332,2
1333,4
1334,2
1335,2
1336,2
1337,2
1338,4
1339,4
1340,4
1341,7
1342,4
1343,4
1344,4
1345,7
1346,2
1347,4
1348,4
1349,2
1350,7
1351,7
1352,4
1353,4
1354,4
1355,4
1356,4
1357,4
1358,4
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,2
1366,4
1367,4
1368,7
1369,7
1370,4
1371,4
1372,4
1373,7
1374,4
1375,2
1376,7
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,7
1385,4
1386,7
1387,4
1388,4
1389,4
1390,2
1391,4
1392,4
1393,4
1394,4
1395,2
1396,2
1397,7
1398,7
1399,4
1400,4
1401,7
1402,4
1403,4
1404,4
1405,2
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,2
1414,4
1415,4
1416,4
1417,4
1418,4
1419,4
1420,4
1421,4
1422,7
1423,4
1424,4
1425,4
1426,2
1427,2
1428,4
1429,4
1430,2
1431,2
1432,2
1433,4
1434,4
1435,4
1436,4
1437,2
1438,2
1439,4
1440,4
1441,2
1442,2
1443,4
1444,2
1445,4
1446,2
1447,4
1448,2
1449,4
1450,2
1451,7
1452,7
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,2
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,4
1467,4
1468,4
1469,2
1470,4
1471,4
1472,4
1473,4
1474,4
1475,7
1476,4
1477,4
1478,2
1479,4
1480,4
1481,4
1482,2
1483,4
1484,4
1485,7
1486,4
1487,2
1488,4
1489,4
1490,4
1491,2
1492,4
1493,4
1494,4
1495,7
1496,4
1497,2
1498,4
1499,4
1500,4
