R,japanese
373,4
374,2
375,4
376,7
377,4
378,7
379,7
380,4
381,2
382,3
383,4
384,4
385,4
386,7
387,3
388,4
389,4
390,3
391,3
392,4
393,3
394,7
395,4
396,7
397,4
398,4
399,2
400,7
401,4
402,3
403,4
404,4
405,3
406,7
407,2
408,4
409,2
410,2
411,4
412,4
413,7
414,3
415,3
416,2
417,4
418,4
419,3
420,3
421,2
422,7
423,7
424,4
425,7
426,2
427,3
428,2
429,3
430,4
431,2
432,4
433,4
434,3
435,7
436,7
437,4
438,4
439,4
440,2
441,4
442,3
443,4
444,4
445,4
446,4
447,7
448,3
449,7
450,3
451,7
452,3
453,7
454,2
455,7
456,4
457,2
458,2
459,3
460,4
461,4
462,7
463,3
464,7
465,2
466,3
467,7
468,2
469,7
470,4
471,7
472,7
473,3
474,3
475,7
476,4
477,4
478,4
479,3
480,4
481,7
482,4
483,2
484,2
485,2
486,4
487,4
488,4
489,7
490,3
491,7
492,2
493,3
494,3
495,4
496,4
497,4
498,4
499,4
500,4
501,3
502,7
503,2
504,4
505,2
506,7
507,4
508,3
509,4
510,7
511,4
512,4
513,4
514,3
515,4
516,4
517,3
518,7
519,7
520,2
521,2
522,4
523,7
524,4
525,2
526,4
527,3
528,4
529,4
530,4
531,4
532,4
533,4
534,7
535,4
536,2
537,4
538,4
539,4
540,4
541,2
542,4
543,4
544,3
545,4
546,2
547,4
548,3
549,3
550,3
551,7
552,2
553,4
554,4
555,4
556,2
557,2
558,2
559,7
560,7
561,4
562,4
563,7
564,4
565,7
566,4
567,4
568,2
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,3
577,4
578,4
579,7
580,7
581,2
582,4
583,4
584,2
585,2
586,2
587,2
588,2
589,4
590,4
591,2
592,4
593,3
594,7
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,3
603,4
604,2
605,3
606,7
607,4
608,7
609,2
610,3
611,4
612,4
613,4
614,4
615,4
616,4
617,2
618,4
619,2
620,7
621,2
622,2
623,4
624,3
625,4
626,4
627,3
628,3
629,3
630,2
631,3
632,7
633,2
634,2
635,3
636,4
637,2
638,2
639,2
640,4
641,4
642,2
643,2
644,2
645,2
646,4
647,4
648,4
649,4
650,4
651,4
652,3
653,3
654,4
655,4
656,4
657,7
658,4
659,4
660,7
661,4
662,4
663,4
664,7
665,3
666,3
667,4
668,7
669,4
670,2
671,4
672,4
673,3
674,2
675,2
676,4
677,4
678,3
679,7
680,4
681,4
682,4
683,3
684,4
685,7
686,2
687,2
688,1
689,3
690,3
691,4
692,3
693,4
694,4
695,2
696,2
697,2
698,2
699,2
700,4
701,2
702,4
703,4
704,4
705,4
706,4
707,4
708,2
709,2
710,2
711,4
712,7
713,2
714,4
715,2
716,4
717,4
718,4
719,4
720,7
721,2
722,4
723,2
724,4
725,3
726,7
727,2
728,7
729,3
730,2
731,2
732,2
733,4
734,3
735,3
736,4
737,3
738,2
739,7
740,4
741,7
742,4
743,4
744,4
745,2
746,2
747,3
748,4
749,4
750,4
751,7
752,4
753,7
754,4
755,7
756,2
757,4
758,4
759,4
760,2
761,4
762,7
763,4
764,4
765,4
766,3
767,3
768,4
769,3
770,3
771,4
772,4
773,4
774,4
775,3
776,4
777,2
778,7
779,2
780,2
781,4
782,3
783,4
784,4
785,4
786,7
787,4
788,3
789,4
790,4
791,7
792,7
793,4
794,7
795,4
796,4
797,2
798,3
799,4
800,2
801,7
802,4
803,3
804,2
805,3
806,4
807,4
808,2
809,4
810,4
811,2
812,3
813,4
814,4
815,2
816,2
817,2
818,2
819,2
820,2
821,3
822,2
823,4
824,4
825,7
826,4
827,4
828,4
829,3
830,2
831,4
832,4
833,2
834,3
835,4
836,2
837,4
838,7
839,3
840,2
841,2
842,2
843,4
844,2
845,4
846,2
847,3
848,7
849,3
850,4
851,4
852,4
853,3
854,2
855,2
856,2
857,2
858,4
859,4
860,4
861,4
862,2
863,4
864,4
865,4
866,2
867,4
868,4
869,4
870,4
871,2
872,4
873,7
874,2
875,4
876,4
877,7
878,7
879,4
880,3
881,3
882,3
883,4
884,3
885,4
886,3
887,4
888,4
889,2
890,3
891,4
892,4
893,3
894,4
895,4
896,7
897,4
898,4
899,3
900,2
901,4
902,4
903,3
904,2
905,2
906,7
907,3
908,3
909,4
910,3
911,3
912,7
913,3
914,4
915,2
916,7
917,2
918,3
919,4
920,3
921,3
922,4
923,4
924,3
925,4
926,2
927,4
928,4
929,2
930,2
931,2
932,4
933,2
934,3
935,7
936,7
937,2
938,4
939,4
940,7
941,7
942,2
943,7
944,4
945,4
946,4
947,3
948,3
949,4
950,4
951,4
952,2
953,3
954,7
955,4
956,3
957,3
958,2
959,2
960,4
961,4
962,4
963,3
964,4
965,3
966,3
967,4
968,7
969,7
970,3
971,4
972,3
973,7
974,2
975,3
976,4
977,4
978,4
979,4
980,4
981,7
982,4
983,3
984,2
985,3
986,2
987,3
988,3
989,4
990,4
991,4
992,4
993,7
994,4
995,4
996,4
997,4
998,4
999,4
1000,2
1001,7
1002,4
1003,4
1004,4
1005,2
1006,4
1007,7
1008,3
1009,4
1010,4
1011,4
1012,7
1013,4
1014,3
1015,3
1016,4
1017,4
1018,3
1019,4
1020,4
1021,3
1022,4
1023,3
1024,4
1025,4
1026,4
1027,2
1028,4
1029,4
1030,7
1031,4
1032,2
1033,2
1034,2
1035,2
1036,2
1037,3
1038,3
1039,4
1040,7
1041,2
1042,7
1043,2
1044,4
1045,7
1046,3
1047,4
1048,2
1049,4
1050,4
1051,2
1052,4
1053,3
1054,2
1055,2
1056,3
1057,4
1058,4
1059,4
1060,4
1061,4
1062,3
1063,4
1064,7
1065,2
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,2
1077,2
1078,4
1079,3
1080,4
1081,4
1082,2
1083,2
1084,4
1085,4
1086,4
1087,3
1088,4
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,3
1097,4
1098,2
1099,4
1100,2
1101,4
1102,4
1103,4
1104,3
1105,3
1106,4
1107,3
1108,2
1109,4
1110,2
1111,2
1112,2
1113,4
1114,7
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,2
1123,3
1124,7
1125,3
1126,2
1127,7
1128,4
1129,3
1130,4
1131,4
1132,4
1133,2
1134,3
1135,4
1136,3
1137,7
1138,4
1139,4
1140,4
1141,4
1142,3
1143,4
1144,3
1145,2
1146,4
1147,3
1148,3
1149,4
1150,2
1151,4
1152,4
1153,4
1154,4
1155,3
1156,4
1157,4
1158,7
1159,2
1160,4
1161,3
1162,4
1163,4
1164,4
1165,4
1166,3
1167,4
1168,3
1169,4
1170,4
1171,7
1172,4
1173,4
1174,4
1175,4
1176,4
1177,2
1178,3
1179,7
1180,3
1181,4
1182,4
1183,4
1184,7
1185,3
1186,3
1187,4
1188,7
1189,7
1190,4
1191,4
1192,4
1193,4
1194,4
1195,4
1196,4
1197,7
1198,3
1199,4
1200,2
1201,7
1202,2
1203,4
1204,2
1205,2
1206,4
1207,4
1208,4
1209,3
1210,4
1211,4
1212,7
1213,7
1214,4
1215,7
1216,3
1217,4
1218,3
1219,2
1220,4
1221,3
1222,4
1223,4
1224,2
1225,2
1226,4
1227,4
1228,7
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,2
1236,4
1237,4
1238,4
1239,4
1240,7
1241,4
1242,4
1243,3
1244,2
1245,2
1246,2
1247,4
1248,3
1249,3
1250,4
1251,3
1252,3
1253,4
1254,4
1255,4
1256,7
1257,3
1258,4
1259,4
1260,4
1261,3
1262,4
1263,4
1264,3
1265,3
1266,7
1267,4
1268,4
1269,4
1270,7
1271,3
1272,4
1273,4
1274,4
1275,4
1276,2
1277,4
1278,4
1279,4
1280,2
1281,4
1282,7
1283,2
1284,2
1285,4
1286,2
1287,4
1288,3
1289,4
1290,3
1291,4
1292,4
1293,4
1294,4
1295,3
1296,4
1297,3
1298,4
1299,4
1300,4
1301,4
1302,2
1303,3
1304,4
1305,4
1306,4
1307,2
1308,4
1309,3
1310,3
1311,3
1312,2
1313,4
1314,4
1315,4
1316,3
1317,4
1318,4
1319,3
1320,2
1321,7
1322,4
1323,4
1324,2
1325,4
1326,4
1327,4
1328,4
1329,4
1330,3
1331,3
1332,4
1333,4
1334,4
1335,4
1336,4
1337,4
1338,4
1339,7
1340,7
1341,2
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,3
1349,7
1350,4
1351,4
1352,4
1353,7
1354,3
1355,2
1356,4
1357,4
1358,3
1359,4
1360,3
1361,3
1362,4
1363,3
1364,7
1365,4
1366,4
1367,4
1368,3
1369,2
1370,2
1371,4
1372,4
1373,3
1374,4
1375,2
1376,2
1377,4
1378,3
1379,4
1380,4
1381,3
1382,3
1383,4
1384,4
1385,2
1386,2
1387,4
1388,4
1389,3
1390,3
1391,4
1392,3
1393,2
1394,3
1395,3
1396,4
1397,3
1398,3
1399,3
1400,4
1401,3
1402,2
1403,3
1404,4
1405,4
1406,4
1407,4
1408,2
1409,2
1410,3
1411,4
1412,3
1413,4
1414,4
1415,4
1416,4
1417,4
1418,2
1419,3
1420,2
1421,2
1422,4
1423,4
1424,4
1425,4
1426,4
1427,3
1428,3
1429,4
1430,4
1431,2
1432,7
1433,2
1434,2
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,7
1442,4
1443,4
1444,4
1445,4
1446,4
1447,3
1448,3
1449,4
1450,4
1451,2
1452,4
1453,3
1454,2
1455,4
1456,4
1457,3
1458,4
1459,4
1460,4
1461,3
1462,4
1463,4
1464,4
1465,3
1466,4
1467,4
1468,4
1469,4
1470,4
1471,4
1472,4
1473,3
1474,4
1475,4
1476,2
1477,3
1478,3
1479,4
1480,3
1481,4
1482,7
1483,4
1484,4
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4
1491,4
1492,3
1493,4
1494,2
1495,4
1496,4
1497,3
1498,4
1499,4
1500,4
