R,filipino
373,4
374,7
375,4
376,7
377,4
378,7
379,4
380,4
381,7
382,2
383,4
384,4
385,4
386,7
387,4
388,4
389,2
390,2
391,2
392,4
393,4
394,4
395,4
396,2
397,4
398,2
399,4
400,4
401,2
402,7
403,4
404,4
405,7
406,4
407,4
408,4
409,4
410,7
411,2
412,4
413,2
414,7
415,4
416,7
417,4
418,4
419,7
420,4
421,2
422,4
423,4
424,7
425,7
426,4
427,7
428,2
429,2
430,4
431,7
432,2
433,4
434,2
435,7
436,4
437,4
438,4
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,4
447,4
448,7
449,4
450,4
451,7
452,7
453,2
454,2
455,4
456,7
457,2
458,2
459,7
460,4
461,4
462,2
463,2
464,7
465,2
466,4
467,7
468,7
469,2
470,4
471,4
472,7
473,4
474,4
475,2
476,7
477,7
478,2
479,4
480,4
481,7
482,4
483,7
484,2
485,2
486,4
487,7
488,7
489,7
490,7
491,2
492,2
493,4
494,7
495,4
496,4
497,4
498,4
499,4
500,4
501,7
502,4
503,4
504,2
505,7
506,7
507,4
508,2
509,4
510,7
511,7
512,4
513,4
514,7
515,4
516,4
517,7
518,4
519,4
520,4
521,2
522,7
523,7
524,4
525,7
526,4
527,4
528,7
529,4
530,7
531,4
532,4
533,4
534,2
535,4
536,2
537,4
538,4
539,4
540,4
541,2
542,2
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,2
551,4
552,7
553,2
554,4
555,4
556,2
557,4
558,2
559,4
560,4
561,4
562,4
563,4
564,2
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,7
573,4
574,4
575,4
576,7
577,4
578,4
579,2
580,7
581,4
582,4
583,2
584,4
585,2
586,7
587,2
588,4
589,2
590,4
591,4
592,4
593,7
594,4
595,7
596,7
597,4
598,7
599,4
600,2
601,4
602,3
603,4
604,4
605,7
606,4
607,4
608,7
609,7
610,7
611,4
612,7
613,4
614,4
615,4
616,7
617,4
618,4
619,7
620,2
621,7
622,7
623,4
624,2
625,7
626,4
627,2
628,4
629,2
630,2
631,7
632,7
633,4
634,2
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,2
644,4
645,7
646,4
647,4
648,2
649,4
650,4
651,4
652,2
653,2
654,7
655,4
656,2
657,4
658,7
659,4
660,7
661,4
662,4
663,7
664,3
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,2
676,4
677,4
678,2
679,7
680,7
681,4
682,4
683,7
684,2
685,2
686,4
687,4
688,4
689,4
690,4
691,4
692,2
693,4
694,4
695,2
696,7
697,4
698,4
699,2
700,4
701,2
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,7
710,2
711,4
712,7
713,7
714,4
715,4
716,4
717,4
718,7
719,4
720,4
721,7
722,4
723,4
724,4
725,4
726,2
727,4
728,2
729,4
730,2
731,4
732,7
733,7
734,2
735,7
736,4
737,2
738,4
739,2
740,4
741,4
742,4
743,4
744,2
745,2
746,2
747,7
748,4
749,4
750,2
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,7
760,2
761,4
762,7
763,4
764,4
765,4
766,2
767,2
768,2
769,7
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,2
780,7
781,4
782,4
783,4
784,4
785,4
786,4
787,2
788,7
789,7
790,4
791,2
792,7
793,4
794,2
795,4
796,4
797,7
798,7
799,4
800,7
801,7
802,4
803,2
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,2
813,2
814,4
815,4
816,2
817,7
818,4
819,4
820,4
821,7
822,7
823,4
824,4
825,7
826,4
827,4
828,4
829,7
830,4
831,7
832,4
833,2
834,4
835,4
836,2
837,4
838,7
839,4
840,4
841,4
842,4
843,4
844,2
845,2
846,2
847,4
848,2
849,2
850,2
851,4
852,4
853,4
854,7
855,4
856,4
857,7
858,4
859,4
860,4
861,4
862,7
863,4
864,4
865,4
866,7
867,4
868,4
869,4
870,4
871,2
872,4
873,4
874,2
875,4
876,4
877,4
878,4
879,2
880,2
881,7
882,7
883,2
884,7
885,7
886,7
887,7
888,2
889,2
890,4
891,4
892,4
893,7
894,4
895,4
896,4
897,4
898,4
899,2
900,7
901,4
902,2
903,7
904,4
905,4
906,2
907,7
908,2
909,4
910,2
911,4
912,7
913,2
914,4
915,4
916,4
917,4
918,7
919,4
920,4
921,4
922,7
923,4
924,7
925,4
926,2
927,4
928,4
929,7
930,7
931,4
932,4
933,4
934,2
935,4
936,4
937,4
938,7
939,4
940,2
941,7
942,7
943,4
944,7
945,4
946,4
947,4
948,2
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,4
959,2
960,2
961,4
962,7
963,4
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,4
973,4
974,7
975,7
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,2
985,2
986,4
987,4
988,4
989,4
990,2
991,4
992,2
993,2
994,2
995,4
996,4
997,7
998,4
999,4
1000,4
1001,7
1002,4
1003,4
1004,4
1005,4
1006,7
1007,4
1008,4
1009,4
1010,4
1011,7
1012,7
1013,4
1014,2
1015,4
1016,4
1017,2
1018,4
1019,4
1020,4
1021,4
1022,7
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,2
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,7
1037,4
1038,2
1039,4
1040,7
1041,7
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1048,4
1049,4
1050,4
1051,2
1052,4
1053,4
1054,7
1055,4
1056,4
1057,2
1058,4
1059,2
1060,2
1061,2
1062,4
1063,4
1064,4
1065,2
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,2
1077,2
1078,2
1079,2
1080,7
1081,4
1082,4
1083,7
1084,4
1085,4
1086,4
1087,4
1088,2
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,7
1105,4
1106,4
1107,4
1108,4
1109,4
1110,4
1111,4
1112,7
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,2
1120,4
1121,4
1122,2
1123,7
1124,7
1125,7
1126,4
1127,2
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,7
1138,7
1139,4
1140,4
1141,4
1142,4
1143,4
1144,4
1145,4
1146,4
1147,4
1148,7
1149,2
1150,7
1151,7
1152,4
1153,7
1154,4
1155,7
1156,4
1157,4
1158,7
1159,1
1160,4
1161,4
1162,4
1163,4
1164,4
1165,2
1166,7
1167,4
1168,4
1169,4
1170,4
1171,2
1172,4
1173,4
1174,4
1175,4
1176,4
1177,7
1178,4
1179,2
1180,2
1181,4
1182,4
1183,4
1184,4
1185,4
1186,4
1187,4
1188,4
1189,2
1190,4
1191,2
1192,4
1193,4
1194,4
1195,4
1196,4
1197,4
1198,2
1199,4
1200,4
1201,4
1202,4
1203,4
1204,7
1205,4
1206,4
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,7
1220,4
1221,4
1222,4
1223,2
1224,2
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,2
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,2
1244,7
1245,7
1246,4
1247,2
1248,4
1249,2
1250,2
1251,4
1252,4
1253,4
1254,4
1255,4
1256,2
1257,7
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,2
1267,4
1268,4
1269,4
1270,7
1271,4
1272,4
1273,4
1274,4
1275,4
1276,2
1277,7
1278,4
1279,4
1280,2
1281,4
1282,7
1283,2
1284,2
1285,4
1286,2
1287,4
1288,4
1289,4
1290,4
1291,7
1292,4
1293,4
1294,4
1295,4
1296,2
1297,4
1298,4
1299,4
1300,4
1301,4
1302,2
1303,2
1304,4
1305,4
1306,4
1307,7
1308,4
1309,2
1310,2
1311,4
1312,4
1313,4
1314,4
1315,4
1316,2
1317,4
1318,2
1319,4
1320,4
1321,4
1322,2
1323,4
1324,7
1325,4
1326,4
1327,4
1328,4
1329,4
1330,2
1331,4
1332,4
1333,2
1334,2
1335,7
1336,4
1337,4
1338,4
1339,7
1340,4
1341,2
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,4
1350,4
1351,4
1352,4
1353,7
1354,4
1355,4
1356,4
1357,4
1358,4
1359,2
1360,4
1361,4
1362,4
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,2
1371,4
1372,4
1373,2
1374,4
1375,4
1376,7
1377,4
1378,2
1379,4
1380,4
1381,4
1382,2
1383,4
1384,4
1385,4
1386,4
1387,4
1388,4
1389,4
1390,4
1391,4
1392,4
1393,2
1394,4
1395,4
1396,7
1397,4
1398,4
1399,4
1400,4
1401,2
1402,2
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,2
1415,4
1416,4
1417,4
1418,4
1419,2
1420,4
1421,2
1422,4
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,4
1430,4
1431,4
1432,2
1433,4
1434,2
1435,4
1436,4
1437,4
1438,4
1439,2
1440,4
1441,7
1442,4
1443,4
1444,4
1445,4
1446,4
1447,4
1448,2
1449,4
1450,4
1451,7
1452,4
1453,4
1454,4
1455,2
1456,4
1457,4
1458,4
1459,4
1460,4
1461,4
1462,4
1463,4
1464,7
1465,4
1466,4
1467,4
1468,4
1469,4
1470,4
1471,4
1472,4
1473,7
1474,4
1475,4
1476,4
1477,2
1478,4
1479,4
1480,4
1481,4
1482,4
1483,4
1484,4
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4
1491,4
1492,4
1493,4
1494,2
1495,4
1496,4
1497,7
1498,4
1499,4
1500,4
