R,chinese
639,5
640,5
641,5
642,2
643,3
644,2
645,2
646,9
647,5
648,5
649,9
650,5
651,5
652,2
653,3
654,5
655,5
656,2
657,2
658,5
659,5
660,9
661,5
662,5
663,9
664,4
665,2
666,2
667,5
668,5
669,5
670,5
671,3
672,5
673,3
674,5
675,2
676,9
677,9
678,2
679,3
680,5
681,5
682,5
683,9
684,2
685,3
686,9
687,3
688,9
689,5
690,5
691,9
692,5
693,9
694,3
695,2
696,2
697,2
698,2
699,5
700,9
701,2
702,9
703,5
704,5
705,5
706,5
707,5
708,5
709,2
710,3
711,5
712,9
713,2
714,3
715,2
716,5
717,9
718,5
719,5
720,5
721,9
722,3
723,9
724,5
725,5
726,5
727,2
728,2
729,3
730,2
731,2
732,2
733,5
734,3
735,2
736,5
737,3
738,3
739,3
740,5
741,5
742,5
743,5
744,2
745,2
746,2
747,2
748,5
749,5
750,5
751,5
752,5
753,9
754,3
755,4
756,3
757,5
758,5
759,5
760,9
761,5
762,3
763,9
764,2
765,9
766,2
767,3
768,5
769,3
770,2
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,3
779,2
780,2
781,3
782,5
783,5
784,5
785,5
786,5
787,9
788,9
789,5
790,3
791,3
792,9
793,5
794,3
795,9
796,5
797,2
798,9
799,5
800,9
801,5
802,5
803,9
804,9
805,3
806,3
807,5
808,2
809,5
810,3
811,9
812,2
813,2
814,9
815,5
816,2
817,2
818,5
819,5
820,3
821,9
822,2
823,5
824,5
825,9
826,5
827,5
828,5
829,9
830,3
831,5
832,5
833,2
834,9
835,9
836,2
837,9
838,3
839,2
840,3
841,5
842,9
843,5
844,5
845,3
846,2
847,3
848,3
849,2
850,3
851,5
852,5
853,5
854,9
855,3
856,5
857,2
858,5
859,9
860,5
861,5
862,9
863,5
864,5
865,5
866,2
867,5
868,9
869,5
870,5
871,2
872,5
873,9
874,2
875,3
876,2
877,3
878,5
879,5
880,2
881,3
882,5
883,3
884,2
885,5
886,3
887,9
888,5
889,2
890,3
891,5
892,9
893,9
894,5
895,5
896,5
897,5
898,3
899,5
900,2
901,5
902,3
903,9
904,3
905,3
906,2
907,3
908,2
909,9
910,2
911,2
912,5
913,2
914,5
915,9
916,2
917,2
918,2
919,2
920,2
921,9
922,5
923,5
924,2
925,9
926,3
927,5
928,5
929,2
930,2
931,2
932,2
933,5
934,9
935,3
936,5
937,3
938,9
939,2
940,3
941,3
942,3
943,9
944,5
945,5
946,5
947,9
948,2
949,5
950,5
951,5
952,3
953,5
954,5
955,5
956,2
957,2
958,3
959,2
960,9
961,9
962,2
963,3
964,3
965,9
966,3
967,9
968,9
969,3
970,2
971,2
972,3
973,5
974,2
975,2
976,3
977,5
978,9
979,9
980,5
981,9
982,5
983,9
984,9
985,2
986,9
987,3
988,5
989,9
990,3
991,5
992,9
993,2
994,2
995,9
996,5
997,3
998,9
999,2
1000,3
1001,3
1002,5
1003,5
1004,5
1005,5
1006,3
1007,3
1008,2
1009,5
1010,5
1011,3
1012,3
1013,5
1014,9
1015,9
1016,2
1017,3
1018,3
1019,5
1020,5
1021,5
1022,5
1023,3
1024,5
1025,5
1026,5
1027,5
1028,5
1029,5
1030,9
1031,5
1032,5
1033,9
1034,5
1035,9
1036,9
1037,3
1038,3
1039,5
1040,3
1041,3
1042,9
1043,3
1044,5
1045,9
1046,3
1047,5
1048,9
1049,5
1050,5
1051,2
1052,5
1053,5
1054,5
1055,3
1056,5
1057,5
1058,3
1059,9
1060,5
1061,9
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
1069,2
1070,9
1071,5
1072,5
1073,5
1074,5
1075,5
1076,5
1077,2
1078,2
1079,3
1080,3
1081,9
1082,3
1083,2
1084,9
1085,5
1086,5
1087,5
1088,5
1089,5
1090,5
1091,5
1092,5
1093,3
1094,3
1095,9
1096,2
1097,5
1098,3
1099,5
1100,9
1101,5
1102,5
1103,5
1104,3
1105,3
1106,3
1107,3
1108,9
1109,5
1110,9
1111,2
1112,3
1113,9
1114,3
1115,5
1116,5
1117,5
1118,9
1119,5
1120,5
1121,5
1122,2
1123,9
1124,3
1125,3
1126,9
1127,3
1128,5
1129,5
1130,3
1131,5
1132,5
1133,5
1134,5
1135,5
1136,5
1137,9
1138,3
1139,5
1140,9
1141,5
1142,3
1143,5
1144,2
1145,2
1146,9
1147,3
1148,2
1149,3
1150,2
1151,5
1152,9
1153,9
1154,5
1155,5
1156,5
1157,5
1158,3
1159,2
1160,3
1161,5
1162,5
1163,3
1164,5
1165,5
1166,3
1167,5
1168,2
1169,5
1170,5
1171,3
1172,9
1173,5
1174,9
1175,9
1176,5
1177,2
1178,5
1179,5
1180,5
1181,5
1182,5
1183,9
1184,5
1185,9
1186,3
1187,3
1188,3
1189,2
1190,3
1191,2
1192,5
1193,9
1194,5
1195,5
1196,5
1197,3
1198,5
1199,5
1200,5
1201,5
1202,2
1203,5
1204,3
1205,9
1206,5
1207,9
1208,5
1209,9
1210,5
1211,5
1212,5
1213,9
1214,5
1215,9
1216,3
1217,9
1218,3
1219,3
1220,5
1221,5
1222,5
1223,2
1224,2
1225,5
1226,5
1227,5
1228,5
1229,5
1230,5
1231,5
1232,5
1233,5
1234,9
1235,2
1236,3
1237,5
1238,5
1239,3
1240,5
1241,5
1242,5
1243,5
1244,2
1245,2
1246,3
1247,2
1248,5
1249,3
1250,3
1251,9
1252,5
1253,5
1254,5
1255,3
1256,2
1257,5
1258,5
1259,5
1260,5
1261,9
1262,9
1263,3
1264,2
1265,3
1266,3
1267,5
1268,5
1269,5
1270,9
1271,3
1272,5
1273,5
1274,9
1275,5
1276,2
1277,5
1278,5
1279,5
1280,9
1281,5
1282,2
1283,2
1284,2
1285,5
1286,2
1287,5
1288,5
1289,5
1290,2
1291,9
1292,5
1293,2
1294,5
1295,5
1296,5
1297,5
1298,9
1299,5
1300,5
1301,5
1302,5
1303,3
1304,9
1305,5
1306,3
1307,2
1308,3
1309,2
1310,3
1311,5
1312,9
1313,5
1314,5
1315,5
1316,2
1317,5
1318,5
1319,9
1320,5
1321,3
1322,5
1323,5
1324,3
1325,9
1326,5
1327,5
1328,3
1329,5
1330,3
1331,5
1332,9
1333,5
1334,9
1335,5
1336,5
1337,5
1338,5
1339,9
1340,3
1341,3
1342,3
1343,5
1344,5
1345,5
1346,5
1347,5
1348,5
1349,2
1350,9
1351,3
1352,3
1353,9
1354,2
1355,9
1356,5
1357,9
1358,5
1359,5
1360,2
1361,5
1362,3
1363,3
1364,5
1365,5
1366,5
1367,5
1368,3
1369,9
1370,3
1371,9
1372,5
1373,9
1374,5
1375,3
1376,9
1377,5
1378,9
1379,5
1380,3
1381,3
1382,9
1383,5
1384,5
1385,3
1386,2
1387,5
1388,5
1389,9
1390,5
1391,5
1392,2
1393,2
1394,5
1395,3
1396,9
1397,9
1398,5
1399,3
1400,2
1401,2
1402,2
1403,2
1404,5
1405,5
1406,3
1407,5
1408,3
1409,5
1410,5
1411,3
1412,5
1413,5
1414,5
1415,3
1416,5
1417,5
1418,2
1419,2
1420,5
1421,9
1422,5
1423,5
1424,5
1425,5
1426,5
1427,9
1428,5
1429,3
1430,2
1431,3
1432,3
1433,5
1434,2
1435,9
1436,5
1437,5
1438,5
1439,2
1440,5
1441,5
1442,9
1443,5
1444,9
1445,5
1446,5
1447,2
1448,3
1449,5
1450,5
1451,9
1452,5
1453,5
1454,3
1455,5
1456,5
1457,2
1458,5
1459,5
1460,5
1461,9
1462,5
1463,5
1464,5
1465,5
1466,5
1467,5
1468,5
1469,5
1470,5
1471,5
1472,5
1473,2
1474,3
1475,5
1476,9
1477,9
1478,2
1479,5
1480,5
1481,9
1482,5
1483,5
1484,9
1485,3
1486,3
1487,5
1488,5
1489,5
1490,5
1491,9
1492,3
1493,5
1494,3
1495,5
1496,5
1497,9
1498,5
1499,3
1500,5
