R,moroccan
429,4
430,7
431,7
432,4
433,2
434,7
435,3
436,4
437,4
438,4
439,4
440,7
441,3
442,2
443,4
444,4
445,4
446,4
447,2
448,2
449,2
450,2
451,2
452,2
453,7
454,7
455,7
456,4
457,4
458,4
459,7
460,4
461,4
462,4
463,2
464,7
465,4
466,7
467,4
468,4
469,2
470,4
471,2
472,7
473,2
474,7
475,7
476,7
477,2
478,7
479,2
480,4
481,2
482,2
483,4
484,3
485,4
486,4
487,7
488,4
489,4
490,2
491,4
492,2
493,2
494,2
495,4
496,2
497,7
498,2
499,2
500,2
501,3
502,4
503,4
504,2
505,7
506,7
507,2
508,4
509,4
510,2
511,7
512,4
513,4
514,4
515,4
516,2
517,2
518,2
519,3
520,4
521,7
522,4
523,4
524,4
525,2
526,4
527,7
528,4
529,4
530,7
531,4
532,4
533,4
534,7
535,4
536,4
537,4
538,4
539,3
540,4
541,3
542,4
543,7
544,2
545,2
546,4
547,7
548,7
549,4
550,4
551,3
552,2
553,4
554,4
555,4
556,7
557,3
558,4
559,4
560,2
561,7
562,4
563,7
564,4
565,4
566,4
567,4
568,4
569,2
570,7
571,7
572,4
573,4
574,4
575,4
576,2
577,2
578,4
579,2
580,4
581,4
582,4
583,4
584,4
585,7
586,4
587,4
588,4
589,4
590,2
591,2
592,7
593,4
594,2
595,7
596,4
597,4
598,7
599,4
600,2
601,4
602,2
603,7
604,4
605,2
606,7
607,4
608,7
609,7
610,7
611,4
612,4
613,4
614,2
615,4
616,7
617,4
618,4
619,4
620,4
621,2
622,4
623,7
624,4
625,7
626,7
627,7
628,4
629,4
630,7
631,4
632,2
633,4
634,4
635,4
636,7
637,4
638,7
639,4
640,4
641,4
642,4
643,4
644,4
645,7
646,2
647,4
648,4
649,4
650,4
651,4
652,4
653,7
654,7
655,4
656,4
657,2
658,3
659,7
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,2
674,2
675,4
676,7
677,7
678,2
679,7
680,4
681,7
682,4
683,3
684,4
685,4
686,4
687,4
688,4
689,2
690,3
691,2
692,4
693,4
694,4
695,4
696,4
697,2
698,4
699,4
700,4
701,7
702,3
703,4
704,7
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,2
713,2
714,7
715,4
716,4
717,4
718,4
719,4
720,2
721,7
722,4
723,4
724,4
725,4
726,4
727,7
728,7
729,2
730,4
731,4
732,2
733,4
734,2
735,7
736,4
737,7
738,4
739,2
740,7
741,4
742,4
743,7
744,4
745,4
746,7
747,4
748,4
749,4
750,4
751,7
752,4
753,7
754,2
755,7
756,7
757,4
758,4
759,2
760,7
761,3
762,3
763,2
764,4
765,7
766,7
767,2
768,4
769,2
770,2
771,4
772,2
773,4
774,7
775,2
776,4
777,4
778,7
779,4
780,4
781,2
782,4
783,4
784,4
785,4
786,4
787,4
788,7
789,4
790,4
791,2
792,2
793,4
794,2
795,2
796,2
797,7
798,4
799,2
800,4
801,2
802,4
803,4
804,4
805,2
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,7
817,7
818,4
819,4
820,4
821,2
822,7
823,4
824,7
825,4
826,7
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,3
837,4
838,4
839,7
840,4
841,4
842,2
843,4
844,2
845,4
846,3
847,4
848,4
849,4
850,7
851,4
852,4
853,4
854,7
855,7
856,4
857,2
858,4
859,2
860,4
861,7
862,4
863,4
864,4
865,4
866,7
867,4
868,7
869,4
870,4
871,2
872,7
873,7
874,4
875,7
876,4
877,4
878,4
879,4
880,4
881,4
882,4
883,4
884,7
885,4
886,7
887,4
888,4
889,4
890,7
891,4
892,4
893,7
894,4
895,4
896,7
897,4
898,4
899,2
900,7
901,4
902,4
903,4
904,7
905,2
906,7
907,4
908,4
909,4
910,2
911,7
912,4
913,7
914,4
915,4
916,4
917,4
918,2
919,4
920,4
921,4
922,2
923,4
924,4
925,4
926,4
927,4
928,4
929,2
930,4
931,7
932,4
933,4
934,4
935,7
936,4
937,4
938,4
939,4
940,4
941,7
942,7
943,2
944,2
945,7
946,4
947,2
948,4
949,4
950,4
951,4
952,7
953,2
954,4
955,4
956,4
957,7
958,4
959,4
960,4
961,3
962,7
963,2
964,4
965,4
966,4
967,7
968,2
969,2
970,2
971,7
972,4
973,2
974,7
975,2
976,4
977,4
978,7
979,4
980,4
981,2
982,4
983,2
984,4
985,4
986,2
987,4
988,4
989,4
990,4
991,4
992,4
993,2
994,4
995,4
996,4
997,2
998,4
999,4
1000,4
1001,2
1002,4
1003,4
1004,4
1005,4
1006,2
1007,4
1008,7
1009,4
1010,4
1011,7
1012,2
1013,4
1014,4
1015,4
1016,4
1017,7
1018,4
1019,4
1020,4
1021,4
1022,2
1023,7
1024,7
1025,4
1026,7
1027,4
1028,4
1029,4
1030,4
1031,2
1032,4
1033,2
1034,4
1035,4
1036,4
1037,2
1038,4
1039,4
1040,4
1041,7
1042,2
1043,7
1044,2
1045,4
1046,7
1047,7
1048,4
1049,4
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,7
1065,4
1066,4
1067,2
1068,2
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,7
1078,7
1079,7
1080,4
1081,7
1082,4
1083,4
1084,4
1085,4
1086,7
1087,4
1088,4
1089,4
1090,4
1091,4
1092,7
1093,4
1094,4
1095,4
1096,7
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,2
1105,4
1106,7
1107,7
1108,4
1109,4
1110,7
1111,4
1112,7
1113,2
1114,2
1115,4
1116,4
1117,2
1118,4
1119,4
1120,4
1121,4
1122,4
1123,4
1124,4
1125,2
1126,4
1127,7
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,7
1138,2
1139,4
1140,7
1141,7
1142,7
1143,7
1144,7
1145,4
1146,2
1147,4
1148,2
1149,4
1150,7
1151,4
1152,2
1153,4
1154,2
1155,4
1156,4
1157,7
1158,4
1159,4
1160,4
1161,4
1162,4
1163,7
1164,4
1165,4
1166,4
1167,4
1168,4
1169,4
1170,4
1171,2
1172,4
1173,4
1174,2
1175,4
1176,4
1177,3
1178,4
1179,4
1180,3
1181,4
1182,4
1183,2
1184,2
1185,4
1186,4
1187,4
1188,4
1189,4
1190,4
1191,4
1192,4
1193,2
1194,4
1195,4
1196,4
1197,2
1198,2
1199,4
1200,4
1201,4
1202,4
1203,4
1204,2
1205,4
1206,2
1207,4
1208,4
1209,4
1210,4
1211,4
1212,2
1213,2
1214,2
1215,4
1216,4
1217,7
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,7
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,7
1237,4
1238,4
1239,4
1240,2
1241,4
1242,4
1243,4
1244,4
1245,4
1246,4
1247,4
1248,7
1249,4
1250,7
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,7
1259,4
1260,7
1261,4
1262,2
1263,4
1264,4
1265,4
1266,2
1267,4
1268,4
1269,4
1270,4
1271,2
1272,2
1273,4
1274,2
1275,4
1276,4
1277,4
1278,7
1279,2
1280,4
1281,4
1282,2
1283,2
1284,7
1285,7
1286,7
1287,4
1288,4
1289,4
1290,2
1291,2
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,7
1304,4
1305,4
1306,7
1307,4
1308,7
1309,7
1310,4
1311,4
1312,7
1313,4
1314,4
1315,4
1316,4
1317,4
1318,7
1319,4
1320,7
1321,4
1322,4
1323,7
1324,7
1325,4
1326,4
1327,4
1328,7
1329,4
1330,4
1331,4
1332,7
1333,7
1334,4
1335,2
1336,7
1337,4
1338,4
1339,4
1340,4
1341,7
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,2
1350,2
1351,7
1352,4
1353,4
1354,7
1355,4
1356,4
1357,4
1358,4
1359,2
1360,4
1361,7
1362,7
1363,4
1364,4
1365,4
1366,4
1367,4
1368,7
1369,2
1370,4
1371,4
1372,4
1373,7
1374,4
1375,4
1376,4
1377,4
1378,4
1379,4
1380,2
1381,2
1382,2
1383,4
1384,4
1385,7
1386,2
1387,4
1388,4
1389,7
1390,4
1391,7
1392,4
1393,4
1394,4
1395,4
1396,4
1397,4
1398,4
1399,4
1400,7
1401,7
1402,4
1403,4
1404,4
1405,2
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,4
1415,7
1416,4
1417,2
1418,4
1419,4
1420,4
1421,4
1422,2
1423,4
1424,7
1425,4
1426,4
1427,4
1428,2
1429,4
1430,4
1431,4
1432,2
1433,2
1434,7
1435,4
1436,4
1437,4
1438,2
1439,4
1440,4
1441,7
1442,4
1443,4
1444,4
1445,2
1446,2
1447,7
1448,2
1449,4
1450,4
1451,2
1452,4
1453,4
1454,2
1455,7
1456,4
1457,4
1458,4
1459,4
1460,2
1461,4
1462,4
1463,4
1464,4
1465,4
1466,2
1467,2
1468,2
1469,7
1470,4
1471,4
1472,4
1473,4
1474,7
1475,4
1476,4
1477,7
1478,7
1479,2
1480,4
1481,2
1482,2
1483,4
1484,7
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4
1491,2
1492,4
1493,4
1494,4
1495,7
1496,4
1497,4
1498,4
1499,4
1500,4
