R,jamaican
615,3
616,6
617,3
618,3
619,2
620,6
621,6
622,3
623,2
624,3
625,2
626,3
627,2
628,6
629,3
630,6
631,3
632,2
633,3
634,3
635,3
636,3
637,3
638,6
639,3
640,3
641,3
642,3
643,3
644,3
645,6
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,2
654,3
655,3
656,3
657,6
658,3
659,3
660,6
661,3
662,3
663,3
664,3
665,3
666,3
667,3
668,6
669,3
670,2
671,3
672,6
673,3
674,3
675,2
676,3
677,3
678,2
679,2
680,6
681,3
682,6
683,6
684,3
685,3
686,3
687,3
688,3
689,6
690,6
691,3
692,2
693,3
694,3
695,2
696,3
697,6
698,3
699,6
700,6
701,6
702,3
703,2
704,3
705,3
706,3
707,2
708,3
709,3
710,3
711,3
712,6
713,2
714,3
715,6
716,3
717,3
718,6
719,3
720,2
721,3
722,3
723,3
724,3
725,3
726,2
727,2
728,2
729,6
730,2
731,3
732,2
733,3
734,2
735,6
736,3
737,2
738,2
739,6
740,3
741,3
742,2
743,6
744,3
745,3
746,3
747,3
748,3
749,3
750,3
751,3
752,3
753,6
754,3
755,3
756,2
757,3
758,3
759,3
760,2
761,6
762,2
763,3
764,3
765,3
766,2
767,2
768,2
769,6
770,2
771,3
772,2
773,3
774,2
775,3
776,2
777,3
778,6
779,3
780,3
781,3
782,3
783,3
784,2
785,3
786,3
787,3
788,3
789,3
790,2
791,6
792,6
793,2
794,2
795,3
796,3
797,2
798,3
799,3
800,6
801,6
802,3
803,3
804,3
805,6
806,3
807,3
808,3
809,3
810,3
811,3
812,3
813,3
814,3
815,3
816,2
817,3
818,3
819,3
820,3
821,2
822,2
823,3
824,3
825,6
826,3
827,3
828,3
829,6
830,3
831,3
832,3
833,3
834,3
835,3
836,2
837,3
838,2
839,2
840,3
841,3
842,3
843,3
844,2
845,3
846,2
847,3
848,6
849,3
850,3
851,3
852,3
853,2
854,6
855,6
856,3
857,6
858,3
859,2
860,3
861,6
862,3
863,3
864,6
865,3
866,6
867,3
868,2
869,3
870,3
871,2
872,3
873,2
874,3
875,3
876,3
877,3
878,3
879,3
880,3
881,6
882,3
883,3
884,2
885,3
886,2
887,2
888,2
889,3
890,3
891,3
892,3
893,6
894,3
895,3
896,6
897,6
898,6
899,2
900,3
901,3
902,3
903,3
904,3
905,6
906,2
907,2
908,3
909,3
910,2
911,3
912,6
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,6
923,2
924,3
925,3
926,6
927,3
928,3
929,3
930,3
931,3
932,3
933,3
934,2
935,3
936,2
937,3
938,3
939,3
940,2
941,2
942,3
943,3
944,6
945,6
946,3
947,3
948,3
949,3
950,2
951,3
952,3
953,2
954,6
955,3
956,3
957,3
958,6
959,3
960,2
961,3
962,6
963,3
964,3
965,2
966,3
967,2
968,3
969,3
970,6
971,3
972,3
973,6
974,2
975,2
976,3
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,2
985,3
986,3
987,3
988,3
989,6
990,2
991,3
992,2
993,6
994,3
995,3
996,3
997,6
998,3
999,3
1000,2
1001,6
1002,2
1003,3
1004,3
1005,3
1006,3
1007,6
1008,3
1009,3
1010,2
1011,3
1012,6
1013,3
1014,3
1015,2
1016,2
1017,3
1018,3
1019,3
1020,3
1021,3
1022,6
1023,3
1024,3
1025,2
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,3
1033,3
1034,3
1035,3
1036,3
1037,3
1038,3
1039,3
1040,2
1041,2
1042,2
1043,3
1044,3
1045,6
1046,2
1047,2
1048,3
1049,3
1050,3
1051,3
1052,3
1053,3
1054,6
1055,3
1056,2
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,6
1066,3
1067,6
1068,3
1069,3
1070,3
1071,3
1072,3
1073,3
1074,3
1075,2
1076,3
1077,6
1078,3
1079,3
1080,3
1081,3
1082,3
1083,3
1084,3
1085,3
1086,6
1087,3
1088,3
1089,3
1090,3
1091,3
1092,3
1093,3
1094,3
1095,3
1096,2
1097,3
1098,3
1099,3
1100,6
1101,3
1102,3
1103,3
1104,6
1105,3
1106,3
1107,3
1108,3
1109,6
1110,3
1111,3
1112,3
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,6
1123,6
1124,2
1125,6
1126,3
1127,6
1128,3
1129,3
1130,2
1131,3
1132,3
1133,3
1134,3
1135,3
1136,3
1137,2
1138,3
1139,3
1140,3
1141,3
1142,3
1143,2
1144,3
1145,3
1146,2
1147,3
1148,3
1149,3
1150,6
1151,3
1152,3
1153,2
1154,3
1155,3
1156,3
1157,6
1158,3
1159,3
1160,3
1161,3
1162,3
1163,3
1164,3
1165,6
1166,2
1167,3
1168,3
1169,3
1170,2
1171,2
1172,3
1173,3
1174,3
1175,2
1176,3
1177,2
1178,2
1179,2
1180,2
1181,3
1182,3
1183,3
1184,3
1185,2
1186,3
1187,2
1188,2
1189,6
1190,3
1191,3
1192,3
1193,3
1194,3
1195,6
1196,3
1197,6
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1204,2
1205,2
1206,3
1207,3
1208,3
1209,2
1210,3
1211,3
1212,3
1213,6
1214,2
1215,3
1216,3
1217,2
1218,3
1219,3
1220,3
1221,3
1222,3
1223,3
1224,2
1225,3
1226,3
1227,6
1228,3
1229,3
1230,3
1231,3
1232,3
1233,2
1234,3
1235,3
1236,3
1237,3
1238,3
1239,2
1240,3
1241,3
1242,3
1243,2
1244,6
1245,3
1246,3
1247,3
1248,2
1249,3
1250,3
1251,3
1252,3
1253,3
1254,3
1255,2
1256,3
1257,6
1258,3
1259,3
1260,3
1261,3
1262,3
1263,3
1264,3
1265,3
1266,2
1267,2
1268,3
1269,3
1270,3
1271,3
1272,2
1273,3
1274,3
1275,3
1276,3
1277,3
1278,3
1279,3
1280,3
1281,3
1282,3
1283,3
1284,6
1285,3
1286,6
1287,3
1288,3
1289,2
1290,6
1291,3
1292,3
1293,2
1294,3
1295,3
1296,3
1297,3
1298,3
1299,3
1300,3
1301,3
1302,2
1303,2
1304,3
1305,3
1306,3
1307,2
1308,3
1309,3
1310,2
1311,2
1312,3
1313,3
1314,2
1315,3
1316,3
1317,3
1318,3
1319,3
1320,3
1321,3
1322,3
1323,3
1324,2
1325,3
1326,3
1327,3
1328,3
1329,3
1330,3
1331,3
1332,3
1333,6
1334,3
1335,6
1336,2
1337,2
1338,1
1339,2
1340,2
1341,2
1342,3
1343,3
1344,3
1345,3
1346,3
1347,3
1348,3
1349,3
1350,6
1351,6
1352,3
1353,3
1354,3
1355,3
1356,3
1357,3
1358,3
1359,3
1360,3
1361,3
1362,3
1363,3
1364,3
1365,3
1366,3
1367,3
1368,2
1369,6
1370,2
1371,2
1372,3
1373,3
1374,3
1375,3
1376,6
1377,3
1378,3
1379,3
1380,6
1381,3
1382,3
1383,3
1384,3
1385,3
1386,3
1387,3
1388,3
1389,3
1390,3
1391,3
1392,3
1393,3
1394,3
1395,3
1396,6
1397,3
1398,6
1399,3
1400,3
1401,2
1402,3
1403,3
1404,2
1405,3
1406,2
1407,2
1408,3
1409,3
1410,3
1411,3
1412,6
1413,3
1414,2
1415,2
1416,3
1417,3
1418,3
1419,6
1420,3
1421,2
1422,6
1423,3
1424,3
1425,3
1426,3
1427,3
1428,3
1429,3
1430,2
1431,3
1432,2
1433,3
1434,2
1435,3
1436,3
1437,6
1438,3
1439,3
1440,3
1441,3
1442,2
1443,3
1444,6
1445,3
1446,2
1447,6
1448,2
1449,3
1450,3
1451,3
1452,3
1453,3
1454,3
1455,2
1456,3
1457,3
1458,6
1459,3
1460,3
1461,3
1462,3
1463,3
1464,3
1465,3
1466,3
1467,2
1468,3
1469,6
1470,3
1471,3
1472,3
1473,3
1474,3
1475,3
1476,2
1477,3
1478,3
1479,3
1480,3
1481,3
1482,3
1483,3
1484,3
1485,3
1486,3
1487,3
1488,3
1489,3
1490,3
1491,3
1492,3
1493,3
1494,3
1495,3
1496,3
1497,6
1498,3
1499,2
1500,3
