R,southern_us
873,3
874,4
875,3
876,5
877,9
878,9
879,4
880,3
881,3
882,3
883,5
884,3
885,4
886,9
887,4
888,5
889,3
890,3
891,2
892,2
893,4
894,5
895,3
896,2
897,4
898,4
899,4
900,9
901,5
902,9
903,5
904,9
905,3
906,3
907,3
908,5
909,2
910,9
911,9
912,3
913,5
914,4
915,5
916,5
917,4
918,4
919,5
920,5
921,5
922,5
923,4
924,3
925,2
926,4
927,4
928,9
929,3
930,5
931,5
932,4
933,9
934,3
935,2
936,2
937,5
938,9
939,4
940,4
941,2
942,2
943,3
944,3
945,9
946,5
947,5
948,9
949,5
950,3
951,5
952,4
953,3
954,9
955,5
956,9
957,4
958,5
959,5
960,2
961,4
962,2
963,4
964,3
965,3
966,2
967,2
968,4
969,3
970,2
971,5
972,5
973,4
974,9
975,2
976,5
977,4
978,4
979,2
980,4
981,3
982,5
983,4
984,9
985,5
986,5
987,5
988,5
989,2
990,3
991,5
992,9
993,4
994,9
995,3
996,5
997,3
998,4
999,4
1000,4
1001,3
1002,4
1003,2
1004,9
1005,5
1006,5
1007,5
1008,3
1009,5
1010,4
1011,3
1012,2
1013,5
1014,5
1015,2
1016,3
1017,4
1018,3
1019,5
1020,5
1021,9
1022,3
1023,2
1024,3
1025,2
1026,5
1027,3
1028,9
1029,4
1030,3
1031,3
1032,5
1033,3
1034,5
1035,5
1036,5
1037,3
1038,3
1039,2
1040,2
1041,2
1042,2
1043,2
1044,5
1045,4
1046,5
1047,5
1048,5
1049,5
1050,5
1051,5
1052,2
1053,5
1054,3
1055,5
1056,5
1057,3
1058,5
1059,5
1060,2
1061,2
1062,9
1063,4
1064,4
1065,2
1066,9
1067,4
1068,5
1069,5
1070,5
1071,3
1072,3
1073,5
1074,9
1075,4
1076,4
1077,4
1078,5
1079,3
1080,3
1081,3
1082,5
1083,5
1084,5
1085,4
1086,4
1087,5
1088,3
1089,4
1090,5
1091,5
1092,4
1093,4
1094,5
1095,4
1096,9
1097,5
1098,5
1099,2
1100,2
1101,4
1102,3
1103,2
1104,2
1105,3
1106,5
1107,3
1108,3
1109,2
1110,2
1111,5
1112,2
1113,9
1114,3
1115,5
1116,5
1117,5
1118,5
1119,5
1120,5
1121,5
1122,3
1123,2
1124,3
1125,9
1126,9
1127,3
1128,3
1129,3
1130,4
1131,5
1132,5
1133,5
1134,9
1135,4
1136,5
1137,2
1138,4
1139,2
1140,2
1141,5
1142,5
1143,3
1144,5
1145,5
1146,2
1147,5
1148,5
1149,5
1150,5
1151,9
1152,3
1153,3
1154,4
1155,4
1156,4
1157,3
1158,4
1159,4
1160,4
1161,5
1162,4
1163,4
1164,9
1165,2
1166,2
1167,5
1168,4
1169,4
1170,5
1171,3
1172,5
1173,3
1174,9
1175,4
1176,4
1177,4
1178,3
1179,2
1180,2
1181,5
1182,2
1183,4
1184,9
1185,2
1186,3
1187,3
1188,9
1189,3
1190,9
1191,5
1192,5
1193,2
1194,2
1195,2
1196,5
1197,2
1198,3
1199,5
1200,5
1201,5
1202,5
1203,5
1204,3
1205,5
1206,5
1207,3
1208,2
1209,3
1210,3
1211,5
1212,3
1213,2
1214,3
1215,2
1216,3
1217,3
1218,5
1219,5
1220,5
1221,5
1222,5
1223,5
1224,4
1225,9
1226,9
1227,4
1228,4
1229,9
1230,4
1231,5
1232,5
1233,3
1234,2
1235,9
1236,3
1237,2
1238,4
1239,3
1240,4
1241,5
1242,5
1243,2
1244,5
1245,5
1246,3
1247,3
1248,5
1249,4
1250,4
1251,9
1252,4
1253,5
1254,4
1255,3
1256,5
1257,2
1258,3
1259,4
1260,3
1261,4
1262,4
1263,5
1264,5
1265,4
1266,2
1267,2
1268,4
1269,3
1270,2
1271,4
1272,4
1273,5
1274,4
1275,5
1276,3
1277,2
1278,4
1279,4
1280,3
1281,2
1282,9
1283,5
1284,3
1285,4
1286,3
1287,5
1288,4
1289,5
1290,3
1291,9
1292,4
1293,5
1294,5
1295,3
1296,9
1297,5
1298,4
1299,4
1300,3
1301,5
1302,5
1303,4
1304,9
1305,4
1306,3
1307,2
1308,2
1309,9
1310,5
1311,3
1312,3
1313,4
1314,3
1315,4
1316,5
1317,4
1318,4
1319,2
1320,5
1321,3
1322,5
1323,4
1324,9
1325,3
1326,2
1327,2
1328,4
1329,2
1330,5
1331,5
1332,2
1333,2
1334,4
1335,2
1336,2
1337,3
1338,9
1339,5
1340,9
1341,3
1342,5
1343,5
1344,4
1345,2
1346,3
1347,5
1348,5
1349,4
1350,9
1351,3
1352,9
1353,9
1354,4
1355,5
1356,4
1357,5
1358,4
1359,9
1360,5
1361,4
1362,5
1363,4
1364,5
1365,4
1366,2
1367,5
1368,4
1369,4
1370,2
1371,2
1372,5
1373,4
1374,2
1375,3
1376,3
1377,5
1378,9
1379,5
1380,3
1381,9
1382,9
1383,4
1384,4
1385,3
1386,5
1387,5
1388,5
1389,3
1390,3
1391,2
1392,5
1393,5
1394,3
1395,3
1396,2
1397,4
1398,2
1399,4
1400,3
1401,3
1402,5
1403,5
1404,5
1405,9
1406,3
1407,4
1408,5
1409,5
1410,5
1411,2
1412,5
1413,5
1414,4
1415,3
1416,2
1417,5
1418,4
1419,3
1420,5
1421,4
1422,3
1423,9
1424,4
1425,5
1426,5
1427,3
1428,9
1429,9
1430,3
1431,2
1432,4
1433,5
1434,9
1435,5
1436,3
1437,2
1438,5
1439,5
1440,4
1441,4
1442,3
1443,5
1444,3
1445,4
1446,4
1447,4
1448,5
1449,2
1450,2
1451,2
1452,4
1453,2
1454,4
1455,2
1456,5
1457,5
1458,2
1459,4
1460,9
1461,5
1462,4
1463,4
1464,4
1465,2
1466,5
1467,4
1468,5
1469,3
1470,9
1471,2
1472,4
1473,5
1474,3
1475,5
1476,5
1477,4
1478,4
1479,9
1480,3
1481,3
1482,9
1483,2
1484,4
1485,5
1486,5
1487,5
1488,5
1489,5
1490,9
1491,5
1492,5
1493,3
1494,5
1495,5
1496,5
1497,4
1498,5
1499,4
1500,5
