R,korean
948,2
949,3
950,3
951,3
952,5
953,3
954,3
955,3
956,3
957,2
958,2
959,2
960,5
961,3
962,5
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,2
975,5
976,2
977,3
978,3
979,3
980,3
981,3
982,3
983,5
984,3
985,2
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,2
996,3
997,2
998,5
999,3
1000,5
1001,2
1002,3
1003,3
1004,3
1005,2
1006,3
1007,5
1008,3
1009,3
1010,3
1011,2
1012,5
1013,3
1014,3
1015,3
1016,3
1017,3
1018,2
1019,3
1020,3
1021,3
1022,5
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,3
1030,3
1031,3
1032,5
1033,5
1034,2
1035,3
1036,3
1037,3
1038,2
1039,3
1040,5
1041,2
1042,3
1043,3
1044,3
1045,3
1046,3
1047,3
1048,2
1049,3
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,2
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,3
1066,3
1067,3
1068,3
1069,3
1070,3
1071,3
1072,3
1073,3
1074,3
1075,2
1076,2
1077,2
1078,3
1079,3
1080,3
1081,5
1082,2
1083,2
1084,3
1085,3
1086,3
1087,3
1088,3
1089,3
1090,3
1091,3
1092,3
1093,3
1094,3
1095,3
1096,2
1097,3
1098,5
1099,3
1100,3
1101,3
1102,3
1103,3
1104,5
1105,3
1106,5
1107,2
1108,3
1109,3
1110,3
1111,5
1112,3
1113,3
1114,2
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,2
1123,5
1124,5
1125,3
1126,2
1127,3
1128,3
1129,3
1130,2
1131,2
1132,5
1133,2
1134,3
1135,3
1136,3
1137,5
1138,3
1139,3
1140,3
1141,3
1142,3
1143,3
1144,2
1145,2
1146,5
1147,2
1148,2
1149,3
1150,2
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,3
1158,3
1159,2
1160,5
1161,3
1162,3
1163,3
1164,3
1165,5
1166,3
1167,3
1168,3
1169,5
1170,3
1171,5
1172,3
1173,3
1174,3
1175,3
1176,3
1177,2
1178,3
1179,3
1180,3
1181,3
1182,3
1183,3
1184,3
1185,3
1186,3
1187,3
1188,3
1189,2
1190,5
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,2
1199,3
1200,3
1201,3
1202,3
1203,3
1204,5
1205,2
1206,3
1207,3
1208,3
1209,3
1210,3
1211,3
1212,3
1213,5
1214,3
1215,2
1216,3
1217,3
1218,3
1219,5
1220,3
1221,3
1222,3
1223,2
1224,2
1225,3
1226,3
1227,3
1228,2
1229,3
1230,2
1231,3
1232,3
1233,3
1234,3
1235,2
1236,2
1237,3
1238,3
1239,3
1240,3
1241,3
1242,3
1243,3
1244,5
1245,2
1246,3
1247,3
1248,3
1249,3
1250,2
1251,3
1252,3
1253,3
1254,3
1255,2
1256,2
1257,3
1258,3
1259,3
1260,3
1261,3
1262,5
1263,3
1264,3
1265,3
1266,2
1267,5
1268,3
1269,3
1270,3
1271,3
1272,3
1273,3
1274,3
1275,3
1276,3
1277,3
1278,3
1279,3
1280,3
1281,3
1282,5
1283,2
1284,2
1285,3
1286,2
1287,5
1288,3
1289,3
1290,3
1291,5
1292,3
1293,3
1294,3
1295,3
1296,3
1297,3
1298,3
1299,3
1300,3
1301,3
1302,3
1303,2
1304,3
1305,3
1306,3
1307,3
1308,3
1309,3
1310,5
1311,3
1312,3
1313,3
1314,3
1315,3
1316,2
1317,3
1318,3
1319,3
1320,3
1321,3
1322,2
1323,3
1324,2
1325,3
1326,3
1327,3
1328,5
1329,3
1330,2
1331,2
1332,2
1333,3
1334,3
1335,3
1336,3
1337,3
1338,3
1339,3
1340,3
1341,2
1342,5
1343,3
1344,3
1345,3
1346,3
1347,3
1348,2
1349,2
1350,3
1351,3
1352,3
1353,3
1354,3
1355,2
1356,2
1357,3
1358,3
1359,3
1360,5
1361,3
1362,3
1363,3
1364,3
1365,3
1366,3
1367,3
1368,3
1369,3
1370,5
1371,5
1372,3
1373,3
1374,3
1375,3
1376,3
1377,3
1378,3
1379,3
1380,3
1381,3
1382,3
1383,2
1384,3
1385,2
1386,5
1387,3
1388,3
1389,5
1390,5
1391,3
1392,3
1393,3
1394,3
1395,5
1396,3
1397,3
1398,3
1399,2
1400,3
1401,2
1402,2
1403,5
1404,3
1405,3
1406,3
1407,3
1408,2
1409,3
1410,3
1411,2
1412,3
1413,5
1414,3
1415,3
1416,3
1417,3
1418,2
1419,5
1420,3
1421,3
1422,3
1423,3
1424,3
1425,3
1426,3
1427,3
1428,5
1429,3
1430,3
1431,2
1432,5
1433,3
1434,2
1435,3
1436,3
1437,3
1438,3
1439,3
1440,3
1441,3
1442,3
1443,3
1444,3
1445,3
1446,3
1447,3
1448,3
1449,3
1450,3
1451,3
1452,3
1453,3
1454,3
1455,3
1456,3
1457,2
1458,3
1459,3
1460,3
1461,3
1462,3
1463,3
1464,3
1465,3
1466,3
1467,5
1468,3
1469,3
1470,3
1471,3
1472,3
1473,3
1474,5
1475,3
1476,3
1477,3
1478,5
1479,3
1480,3
1481,3
1482,3
1483,3
1484,3
1485,3
1486,3
1487,3
1488,3
1489,3
1490,3
1491,3
1492,5
1493,3
1494,2
1495,3
1496,3
1497,3
1498,3
1499,3
1500,3
