R,russian
640,3
641,3
642,3
643,3
644,2
645,2
646,2
647,3
648,3
649,3
650,5
651,3
652,3
653,2
654,3
655,3
656,3
657,5
658,3
659,3
660,3
661,3
662,3
663,3
664,5
665,5
666,3
667,3
668,3
669,3
670,3
671,3
672,5
673,5
674,3
675,3
676,3
677,3
678,5
679,3
680,3
681,5
682,3
683,2
684,5
685,3
686,3
687,3
688,3
689,2
690,3
691,3
692,3
693,3
694,3
695,3
696,2
697,3
698,2
699,5
700,5
701,2
702,5
703,3
704,2
705,3
706,3
707,3
708,3
709,3
710,3
711,2
712,5
713,2
714,3
715,2
716,3
717,2
718,5
719,3
720,3
721,2
722,3
723,3
724,3
725,3
726,3
727,2
728,2
729,5
730,2
731,3
732,2
733,3
734,5
735,5
736,3
737,3
738,3
739,5
740,5
741,3
742,3
743,5
744,3
745,3
746,3
747,3
748,3
749,3
750,3
751,3
752,2
753,3
754,3
755,5
756,5
757,3
758,3
759,5
760,5
761,3
762,5
763,3
764,3
765,2
766,5
767,3
768,3
769,5
770,3
771,5
772,3
773,5
774,2
775,3
776,3
777,3
778,3
779,3
780,3
781,3
782,3
783,3
784,3
785,5
786,3
787,3
788,2
789,2
790,3
791,2
792,5
793,3
794,3
795,3
796,3
797,2
798,2
799,3
800,5
801,3
802,3
803,3
804,3
805,2
806,3
807,3
808,2
809,3
810,3
811,2
812,3
813,3
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,2
822,5
823,3
824,3
825,3
826,3
827,3
828,3
829,5
830,3
831,3
832,3
833,2
834,2
835,3
836,2
837,2
838,5
839,2
840,3
841,2
842,5
843,3
844,3
845,2
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,2
855,3
856,3
857,2
858,3
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,5
867,3
868,2
869,3
870,2
871,2
872,3
873,5
874,5
875,3
876,3
877,3
878,3
879,3
880,3
881,3
882,2
883,3
884,5
885,3
886,2
887,2
888,3
889,5
890,5
891,5
892,3
893,2
894,3
895,3
896,5
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,3
905,5
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,5
923,3
924,2
925,3
926,2
927,3
928,3
929,2
930,3
931,3
932,3
933,3
934,3
935,3
936,3
937,3
938,3
939,3
940,3
941,2
942,5
943,3
944,2
945,3
946,3
947,5
948,3
949,3
950,3
951,3
952,3
953,3
954,5
955,3
956,3
957,5
958,3
959,3
960,3
961,3
962,3
963,5
964,3
965,3
966,2
967,5
968,2
969,2
970,3
971,3
972,3
973,5
974,3
975,2
976,3
977,3
978,2
979,2
980,5
981,5
982,3
983,5
984,3
985,3
986,3
987,3
988,3
989,2
990,3
991,3
992,3
993,2
994,2
995,3
996,3
997,5
998,3
999,3
1000,2
1001,5
1002,3
1003,3
1004,3
1005,3
1006,3
1007,3
1008,3
1009,3
1010,2
1011,3
1012,5
1013,3
1014,3
1015,3
1016,3
1017,3
1018,2
1019,3
1020,3
1021,3
1022,2
1023,3
1024,3
1025,3
1026,2
1027,3
1028,3
1029,3
1030,2
1031,3
1032,3
1033,2
1034,3
1035,3
1036,3
1037,5
1038,3
1039,3
1040,3
1041,5
1042,5
1043,2
1044,3
1045,5
1046,3
1047,2
1048,3
1049,3
1050,3
1051,2
1052,2
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,2
1061,3
1062,3
1063,3
1064,3
1065,2
1066,3
1067,3
1068,3
1069,3
1070,3
1071,3
1072,5
1073,3
1074,3
1075,2
1076,2
1077,2
1078,3
1079,2
1080,3
1081,2
1082,3
1083,3
1084,3
1085,3
1086,5
1087,3
1088,3
1089,2
1090,2
1091,3
1092,3
1093,3
1094,3
1095,3
1096,5
1097,3
1098,2
1099,3
1100,3
1101,3
1102,3
1103,3
1104,5
1105,2
1106,2
1107,2
1108,2
1109,5
1110,2
1111,3
1112,3
1113,3
1114,5
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,5
1123,2
1124,2
1125,2
1126,3
1127,2
1128,3
1129,2
1130,5
1131,3
1132,3
1133,3
1134,3
1135,5
1136,2
1137,2
1138,3
1139,3
1140,5
1141,3
1142,3
1143,3
1144,3
1145,3
1146,5
1147,2
1148,3
1149,3
1150,3
1151,3
1152,3
1153,3
1154,3
1155,2
1156,3
1157,3
1158,5
1159,3
1160,2
1161,3
1162,3
1163,2
1164,3
1165,3
1166,3
1167,3
1168,2
1169,2
1170,3
1171,2
1172,2
1173,3
1174,3
1175,3
1176,3
1177,3
1178,2
1179,3
1180,3
1181,3
1182,3
1183,2
1184,3
1185,3
1186,3
1187,3
1188,3
1189,5
1190,3
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1204,2
1205,2
1206,3
1207,3
1208,5
1209,3
1210,3
1211,3
1212,5
1213,2
1214,2
1215,5
1216,3
1217,5
1218,3
1219,3
1220,3
1221,3
1222,3
1223,3
1224,3
1225,3
1226,3
1227,5
1228,5
1229,3
1230,3
1231,3
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1239,3
1240,5
1241,3
1242,3
1243,2
1244,3
1245,5
1246,2
1247,3
1248,2
1249,2
1250,3
1251,2
1252,3
1253,3
1254,3
1255,3
1256,3
1257,3
1258,3
1259,3
1260,3
1261,3
1262,2
1263,3
1264,3
1265,3
1266,5
1267,3
1268,3
1269,3
1270,3
1271,3
1272,3
1273,3
1274,3
1275,2
1276,3
1277,3
1278,3
1279,2
1280,3
1281,3
1282,3
1283,2
1284,3
1285,3
1286,2
1287,3
1288,3
1289,3
1290,3
1291,2
1292,3
1293,2
1294,3
1295,2
1296,3
1297,3
1298,3
1299,3
1300,3
1301,3
1302,3
1303,3
1304,3
1305,3
1306,3
1307,2
1308,2
1309,3
1310,3
1311,2
1312,3
1313,3
1314,3
1315,3
1316,3
1317,2
1318,3
1319,2
1320,2
1321,5
1322,3
1323,3
1324,5
1325,3
1326,3
1327,3
1328,2
1329,3
1330,3
1331,3
1332,5
1333,3
1334,3
1335,3
1336,3
1337,3
1338,3
1339,3
1340,3
1341,2
1342,3
1343,3
1344,3
1345,3
1346,3
1347,3
1348,3
1349,3
1350,3
1351,3
1352,3
1353,5
1354,2
1355,2
1356,3
1357,3
1358,2
1359,5
1360,3
1361,3
1362,3
1363,3
1364,3
1365,2
1366,3
1367,3
1368,2
1369,1
1370,3
1371,3
1372,3
1373,3
1374,3
1375,3
1376,2
1377,3
1378,3
1379,3
1380,5
1381,5
1382,3
1383,3
1384,3
1385,3
1386,5
1387,3
1388,3
1389,3
1390,2
1391,3
1392,3
1393,3
1394,3
1395,3
1396,2
1397,5
1398,2
1399,3
1400,3
1401,3
1402,3
1403,3
1404,3
1405,2
1406,3
1407,3
1408,3
1409,3
1410,3
1411,3
1412,2
1413,2
1414,3
1415,3
1416,3
1417,3
1418,3
1419,3
1420,3
1421,3
1422,2
1423,3
1424,3
1425,3
1426,2
1427,2
1428,2
1429,3
1430,2
1431,2
1432,2
1433,3
1434,3
1435,3
1436,3
1437,3
1438,2
1439,3
1440,3
1441,3
1442,3
1443,3
1444,5
1445,3
1446,3
1447,2
1448,2
1449,3
1450,3
1451,5
1452,2
1453,3
1454,3
1455,3
1456,3
1457,3
1458,2
1459,2
1460,3
1461,3
1462,3
1463,3
1464,3
1465,2
1466,2
1467,3
1468,2
1469,2
1470,3
1471,3
1472,3
1473,3
1474,3
1475,2
1476,3
1477,3
1478,2
1479,3
1480,3
1481,3
1482,2
1483,3
1484,3
1485,3
1486,3
1487,2
1488,3
1489,3
1490,3
1491,3
1492,3
1493,3
1494,3
1495,3
1496,3
1497,2
1498,3
1499,3
1500,3
