R,cajun_creole
593,4
594,3
595,2
596,7
597,4
598,4
599,4
600,4
601,4
602,7
603,4
604,7
605,3
606,4
607,3
608,2
609,4
610,3
611,4
612,4
613,4
614,4
615,4
616,3
617,4
618,3
619,2
620,7
621,4
622,3
623,2
624,4
625,2
626,7
627,7
628,7
629,4
630,7
631,4
632,2
633,4
634,7
635,7
636,3
637,2
638,4
639,4
640,4
641,4
642,4
643,7
644,4
645,3
646,2
647,7
648,7
649,4
650,7
651,4
652,4
653,7
654,4
655,3
656,4
657,2
658,7
659,2
660,4
661,7
662,4
663,2
664,3
665,3
666,4
667,4
668,4
669,4
670,4
671,7
672,7
673,3
674,3
675,3
676,7
677,3
678,2
679,7
680,4
681,4
682,4
683,2
684,3
685,4
686,4
687,4
688,4
689,7
690,4
691,4
692,2
693,3
694,4
695,2
696,4
697,2
698,4
699,7
700,4
701,3
702,4
703,4
704,4
705,4
706,3
707,2
708,4
709,4
710,4
711,3
712,3
713,3
714,4
715,7
716,2
717,2
718,2
719,2
720,7
721,3
722,4
723,4
724,7
725,4
726,2
727,7
728,3
729,4
730,2
731,4
732,3
733,4
734,2
735,2
736,4
737,7
738,4
739,3
740,7
741,3
742,3
743,2
744,4
745,4
746,4
747,7
748,7
749,2
750,2
751,2
752,7
753,7
754,4
755,4
756,3
757,4
758,3
759,4
760,3
761,4
762,2
763,3
764,4
765,3
766,3
767,7
768,3
769,7
770,4
771,4
772,3
773,3
774,2
775,4
776,2
777,4
778,2
779,4
780,4
781,4
782,7
783,4
784,4
785,2
786,2
787,7
788,3
789,4
790,4
791,2
792,7
793,4
794,2
795,4
796,4
797,4
798,7
799,4
800,3
801,2
802,3
803,4
804,4
805,3
806,7
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,2
817,4
818,4
819,4
820,4
821,3
822,4
823,4
824,3
825,3
826,4
827,7
828,4
829,2
830,4
831,4
832,4
833,7
834,4
835,3
836,2
837,4
838,2
839,7
840,4
841,4
842,4
843,4
844,3
845,4
846,7
847,4
848,4
849,7
850,2
851,7
852,3
853,4
854,7
855,7
856,4
857,2
858,4
859,3
860,3
861,3
862,4
863,4
864,3
865,4
866,2
867,4
868,2
869,3
870,4
871,3
872,4
873,2
874,2
875,4
876,4
877,4
878,4
879,4
880,2
881,2
882,7
883,4
884,3
885,3
886,7
887,3
888,4
889,7
890,2
891,4
892,2
893,3
894,7
895,7
896,2
897,3
898,2
899,7
900,4
901,4
902,4
903,4
904,4
905,3
906,3
907,2
908,2
909,4
910,7
911,4
912,2
913,4
914,4
915,4
916,4
917,7
918,4
919,4
920,4
921,4
922,4
923,2
924,2
925,2
926,3
927,7
928,4
929,2
930,4
931,4
932,2
933,4
934,7
935,3
936,2
937,4
938,4
939,4
940,7
941,3
942,3
943,2
944,2
945,7
946,3
947,4
948,4
949,4
950,3
951,4
952,7
953,4
954,2
955,4
956,4
957,4
958,2
959,7
960,2
961,3
962,3
963,3
964,4
965,2
966,2
967,2
968,3
969,7
970,7
971,4
972,3
973,3
974,4
975,7
976,4
977,4
978,4
979,3
980,7
981,4
982,4
983,7
984,4
985,4
986,4
987,4
988,4
989,3
990,4
991,4
992,4
993,7
994,4
995,4
996,7
997,3
998,3
999,4
1000,7
1001,3
1002,2
1003,2
1004,4
1005,4
1006,4
1007,4
1008,2
1009,4
1010,4
1011,2
1012,2
1013,4
1014,7
1015,4
1016,3
1017,4
1018,7
1019,4
1020,4
1021,7
1022,2
1023,4
1024,3
1025,2
1026,4
1027,3
1028,2
1029,7
1030,3
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,2
1038,3
1039,2
1040,2
1041,7
1042,3
1043,3
1044,2
1045,4
1046,3
1047,4
1048,4
1049,4
1050,4
1051,3
1052,4
1053,4
1054,3
1055,4
1056,3
1057,4
1058,7
1059,2
1060,2
1061,2
1062,4
1063,3
1064,3
1065,3
1066,4
1067,2
1068,4
1069,4
1070,2
1071,4
1072,7
1073,4
1074,3
1075,4
1076,4
1077,3
1078,4
1079,2
1080,3
1081,4
1082,4
1083,4
1084,7
1085,4
1086,3
1087,2
1088,3
1089,4
1090,4
1091,4
1092,3
1093,4
1094,4
1095,4
1096,3
1097,3
1098,4
1099,3
1100,2
1101,3
1102,2
1103,3
1104,2
1105,7
1106,2
1107,7
1108,4
1109,3
1110,4
1111,4
1112,2
1113,4
1114,3
1115,7
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,7
1123,2
1124,2
1125,3
1126,7
1127,2
1128,3
1129,4
1130,3
1131,4
1132,4
1133,4
1134,4
1135,7
1136,7
1137,3
1138,2
1139,4
1140,7
1141,7
1142,4
1143,2
1144,7
1145,4
1146,2
1147,4
1148,4
1149,3
1150,2
1151,7
1152,4
1153,4
1154,4
1155,2
1156,4
1157,7
1158,7
1159,4
1160,7
1161,2
1162,3
1163,4
1164,4
1165,7
1166,3
1167,4
1168,7
1169,3
1170,4
1171,2
1172,3
1173,7
1174,4
1175,3
1176,4
1177,2
1178,4
1179,3
1180,7
1181,4
1182,3
1183,4
1184,4
1185,2
1186,2
1187,2
1188,7
1189,4
1190,4
1191,4
1192,4
1193,4
1194,4
1195,7
1196,4
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,7
1205,4
1206,4
1207,2
1208,2
1209,2
1210,3
1211,4
1212,2
1213,3
1214,2
1215,3
1216,2
1217,2
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,7
1225,4
1226,4
1227,7
1228,3
1229,7
1230,3
1231,4
1232,4
1233,3
1234,3
1235,4
1236,7
1237,4
1238,4
1239,2
1240,4
1241,4
1242,4
1243,4
1244,7
1245,4
1246,2
1247,2
1248,4
1249,4
1250,3
1251,7
1252,3
1253,4
1254,4
1255,7
1256,4
1257,4
1258,7
1259,4
1260,7
1261,7
1262,4
1263,4
1264,4
1265,4
1266,7
1267,3
1268,4
1269,3
1270,2
1271,4
1272,4
1273,7
1274,4
1275,4
1276,3
1277,4
1278,4
1279,4
1280,2
1281,3
1282,4
1283,4
1284,4
1285,4
1286,7
1287,4
1288,7
1289,4
1290,3
1291,3
1292,4
1293,4
1294,3
1295,2
1296,4
1297,4
1298,4
1299,4
1300,4
1301,7
1302,4
1303,4
1304,4
1305,7
1306,3
1307,2
1308,3
1309,7
1310,4
1311,4
1312,4
1313,4
1314,4
1315,4
1316,4
1317,4
1318,4
1319,4
1320,3
1321,3
1322,4
1323,7
1324,7
1325,2
1326,3
1327,3
1328,3
1329,3
1330,4
1331,2
1332,4
1333,7
1334,2
1335,7
1336,4
1337,4
1338,4
1339,4
1340,7
1341,2
1342,7
1343,4
1344,3
1345,4
1346,4
1347,4
1348,4
1349,4
1350,4
1351,2
1352,4
1353,3
1354,7
1355,3
1356,4
1357,4
1358,4
1359,3
1360,2
1361,4
1362,4
1363,4
1364,4
1365,4
1366,3
1367,4
1368,7
1369,7
1370,7
1371,3
1372,4
1373,2
1374,4
1375,4
1376,7
1377,4
1378,7
1379,4
1380,2
1381,7
1382,2
1383,4
1384,3
1385,4
1386,7
1387,4
1388,4
1389,3
1390,7
1391,2
1392,4
1393,4
1394,3
1395,4
1396,7
1397,3
1398,2
1399,4
1400,4
1401,7
1402,4
1403,4
1404,4
1405,7
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,3
1415,2
1416,3
1417,4
1418,4
1419,3
1420,4
1421,4
1422,7
1423,4
1424,4
1425,4
1426,4
1427,7
1428,4
1429,4
1430,3
1431,2
1432,2
1433,4
1434,4
1435,7
1436,4
1437,2
1438,4
1439,4
1440,3
1441,2
1442,7
1443,4
1444,3
1445,4
1446,2
1447,4
1448,4
1449,2
1450,4
1451,2
1452,7
1453,4
1454,4
1455,7
1456,2
1457,4
1458,2
1459,7
1460,4
1461,3
1462,4
1463,4
1464,4
1465,4
1466,4
1467,2
1468,4
1469,3
1470,7
1471,3
1472,3
1473,3
1474,4
1475,3
1476,3
1477,7
1478,4
1479,3
1480,4
1481,3
1482,4
1483,7
1484,4
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4
1491,4
1492,4
1493,4
1494,3
1495,4
1496,4
1497,7
1498,4
1499,4
1500,4
