R,french
415,4
416,3
417,3
418,5
419,4
420,2
421,2
422,3
423,3
424,3
425,2
426,4
427,3
428,3
429,3
430,2
431,4
432,3
433,2
434,4
435,2
436,2
437,2
438,2
439,5
440,3
441,4
442,4
443,5
444,9
445,5
446,4
447,5
448,4
449,5
450,3
451,2
452,2
453,9
454,9
455,3
456,4
457,5
458,5
459,5
460,5
461,4
462,4
463,3
464,2
465,5
466,5
467,5
468,9
469,3
470,3
471,2
472,3
473,3
474,3
475,3
476,2
477,3
478,2
479,4
480,3
481,2
482,4
483,3
484,4
485,5
486,5
487,2
488,5
489,9
490,9
491,9
492,3
493,3
494,2
495,2
496,5
497,5
498,4
499,5
500,5
501,2
502,2
503,5
504,4
505,9
506,4
507,2
508,3
509,5
510,3
511,4
512,2
513,2
514,2
515,4
516,3
517,2
518,2
519,3
520,2
521,9
522,9
523,5
524,5
525,5
526,5
527,4
528,3
529,3
530,9
531,5
532,5
533,5
534,4
535,2
536,5
537,5
538,3
539,5
540,3
541,2
542,3
543,2
544,5
545,2
546,5
547,5
548,5
549,5
550,5
551,3
552,9
553,5
554,5
555,5
556,2
557,2
558,4
559,5
560,3
561,3
562,5
563,2
564,4
565,5
566,5
567,4
568,3
569,5
570,5
571,3
572,4
573,5
574,4
575,4
576,2
577,2
578,3
579,2
580,2
581,5
582,5
583,5
584,5
585,9
586,4
587,9
588,5
589,2
590,5
591,4
592,3
593,2
594,4
595,3
596,2
597,3
598,3
599,2
600,4
601,3
602,3
603,4
604,5
605,2
606,3
607,5
608,4
609,5
610,4
611,4
612,5
613,5
614,3
615,3
616,4
617,5
618,5
619,4
620,5
621,4
622,4
623,2
624,4
625,4
626,2
627,9
628,2
629,5
630,3
631,4
632,3
633,5
634,5
635,2
636,3
637,5
638,5
639,5
640,5
641,2
642,5
643,5
644,4
645,2
646,3
647,4
648,5
649,5
650,3
651,4
652,5
653,2
654,2
655,5
656,5
657,3
658,5
659,3
660,3
661,3
662,5
663,4
664,4
665,4
666,5
667,5
668,5
669,5
670,5
671,5
672,5
673,2
674,2
675,9
676,9
677,2
678,3
679,9
680,5
681,5
682,5
683,4
684,5
685,3
686,4
687,5
688,5
689,3
690,4
691,4
692,5
693,5
694,5
695,5
696,2
697,5
698,3
699,2
700,2
701,2
702,4
703,5
704,2
705,2
706,5
707,5
708,5
709,5
710,5
711,3
712,2
713,3
714,4
715,2
716,2
717,2
718,4
719,5
720,3
721,2
722,5
723,5
724,4
725,4
726,2
727,3
728,3
729,9
730,5
731,5
732,3
733,5
734,4
735,4
736,5
737,4
738,3
739,3
740,9
741,5
742,3
743,2
744,5
745,5
746,5
747,4
748,5
749,3
750,4
751,2
752,4
753,2
754,4
755,4
756,4
757,5
758,5
759,2
760,4
761,2
762,3
763,2
764,4
765,2
766,3
767,2
768,2
769,9
770,4
771,3
772,4
773,2
774,4
775,5
776,4
777,5
778,3
779,5
780,5
781,3
782,3
783,9
784,3
785,5
786,4
787,3
788,2
789,2
790,3
791,2
792,3
793,5
794,3
795,5
796,2
797,4
798,3
799,5
800,2
801,9
802,2
803,5
804,4
805,4
806,3
807,5
808,5
809,5
810,2
811,5
812,9
813,5
814,5
815,5
816,4
817,4
818,5
819,5
820,5
821,4
822,5
823,5
824,3
825,9
826,5
827,5
828,5
829,4
830,5
831,5
832,5
833,5
834,3
835,3
836,9
837,2
838,4
839,5
840,3
841,5
842,5
843,5
844,4
845,3
846,9
847,3
848,5
849,5
850,4
851,4
852,5
853,5
854,2
855,4
856,2
857,4
858,5
859,3
860,5
861,2
862,2
863,5
864,3
865,5
866,2
867,5
868,2
869,4
870,4
871,3
872,3
873,2
874,4
875,3
876,5
877,2
878,4
879,3
880,3
881,2
882,2
883,2
884,4
885,5
886,3
887,2
888,2
889,4
890,2
891,2
892,5
893,2
894,5
895,5
896,2
897,2
898,3
899,4
900,5
901,5
902,5
903,5
904,9
905,3
906,3
907,4
908,5
909,2
910,9
911,5
912,4
913,5
914,3
915,5
916,9
917,5
918,4
919,5
920,5
921,5
922,3
923,5
924,2
925,5
926,3
927,5
928,4
929,2
930,5
931,5
932,5
933,5
934,9
935,3
936,4
937,5
938,5
939,5
940,9
941,3
942,3
943,3
944,2
945,4
946,5
947,5
948,9
949,5
950,4
951,5
952,2
953,4
954,3
955,5
956,5
957,4
958,5
959,9
960,5
961,2
962,2
963,2
964,5
965,4
966,2
967,4
968,2
969,2
970,2
971,5
972,5
973,2
974,5
975,3
976,5
977,5
978,2
979,3
980,2
981,4
982,5
983,3
984,4
985,5
986,3
987,5
988,5
989,2
990,5
991,5
992,5
993,4
994,3
995,4
996,4
997,9
998,2
999,5
1000,3
1001,2
1002,5
1003,3
1004,2
1005,3
1006,4
1007,5
1008,5
1009,5
1010,5
1011,4
1012,3
1013,4
1014,5
1015,5
1016,5
1017,5
1018,5
1019,3
1020,5
1021,3
1022,5
1023,4
1024,2
1025,3
1026,2
1027,5
1028,5
1029,4
1030,4
1031,3
1032,5
1033,3
1034,5
1035,5
1036,4
1037,2
1038,4
1039,4
1040,5
1041,2
1042,2
1043,2
1044,2
1045,3
1046,4
1047,4
1048,5
1049,5
1050,5
1051,5
1052,3
1053,5
1054,4
1055,5
1056,5
1057,5
1058,5
1059,5
1060,2
1061,5
1062,4
1063,3
1064,3
1065,2
1066,5
1067,5
1068,5
1069,5
1070,5
1071,2
1072,2
1073,5
1074,9
1075,4
1076,5
1077,3
1078,5
1079,2
1080,5
1081,2
1082,5
1083,5
1084,4
1085,3
1086,3
1087,4
1088,4
1089,2
1090,2
1091,3
1092,2
1093,5
1094,5
1095,5
1096,4
1097,5
1098,5
1099,5
1100,3
1101,5
1102,4
1103,3
1104,2
1105,4
1106,5
1107,4
1108,5
1109,3
1110,3
1111,5
1112,5
1113,4
1114,3
1115,5
1116,5
1117,4
1118,5
1119,5
1120,5
1121,2
1122,4
1123,4
1124,4
1125,2
1126,5
1127,4
1128,5
1129,2
1130,4
1131,5
1132,2
1133,5
1134,5
1135,3
1136,5
1137,3
1138,3
1139,4
1140,3
1141,5
1142,4
1143,2
1144,4
1145,5
1146,9
1147,3
1148,5
1149,5
1150,4
1151,9
1152,3
1153,3
1154,3
1155,4
1156,2
1157,2
1158,2
1159,4
1160,4
1161,5
1162,2
1163,2
1164,3
1165,5
1166,4
1167,5
1168,4
1169,4
1170,5
1171,2
1172,4
1173,3
1174,3
1175,5
1176,4
1177,5
1178,5
1179,3
1180,3
1181,5
1182,5
1183,4
1184,2
1185,3
1186,4
1187,4
1188,5
1189,3
1190,3
1191,5
1192,5
1193,2
1194,5
1195,4
1196,5
1197,2
1198,5
1199,5
1200,5
1201,4
1202,5
1203,5
1204,3
1205,5
1206,5
1207,3
1208,4
1209,4
1210,2
1211,2
1212,2
1213,2
1214,3
1215,2
1216,2
1217,4
1218,5
1219,4
1220,5
1221,5
1222,5
1223,5
1224,2
1225,5
1226,5
1227,3
1228,4
1229,5
1230,5
1231,5
1232,5
1233,3
1234,2
1235,2
1236,4
1237,4
1238,5
1239,5
1240,5
1241,5
1242,5
1243,5
1244,5
1245,5
1246,3
1247,5
1248,3
1249,3
1250,2
1251,3
1252,4
1253,3
1254,5
1255,3
1256,5
1257,5
1258,9
1259,5
1260,2
1261,4
1262,2
1263,2
1264,5
1265,4
1266,3
1267,3
1268,4
1269,4
1270,5
1271,3
1272,3
1273,3
1274,3
1275,2
1276,2
1277,3
1278,2
1279,2
1280,4
1281,5
1282,2
1283,3
1284,5
1285,3
1286,4
1287,5
1288,3
1289,5
1290,3
1291,2
1292,3
1293,5
1294,4
1295,2
1296,5
1297,5
1298,2
1299,4
1300,2
1301,5
1302,5
1303,4
1304,5
1305,5
1306,5
1307,3
1308,2
1309,4
1310,5
1311,3
1312,5
1313,4
1314,5
1315,3
1316,5
1317,2
1318,3
1319,3
1320,2
1321,4
1322,5
1323,2
1324,5
1325,5
1326,5
1327,5
1328,5
1329,3
1330,4
1331,3
1332,3
1333,4
1334,3
1335,5
1336,5
1337,5
1338,5
1339,5
1340,5
1341,4
1342,5
1343,3
1344,4
1345,2
1346,2
1347,5
1348,5
1349,5
1350,3
1351,3
1352,2
1353,2
1354,3
1355,5
1356,3
1357,5
1358,4
1359,3
1360,4
1361,5
1362,4
1363,5
1364,5
1365,5
1366,5
1367,4
1368,2
1369,3
1370,5
1371,5
1372,5
1373,3
1374,5
1375,3
1376,2
1377,5
1378,5
1379,5
1380,4
1381,9
1382,4
1383,5
1384,5
1385,3
1386,4
1387,3
1388,3
1389,4
1390,3
1391,3
1392,5
1393,4
1394,5
1395,5
1396,2
1397,2
1398,3
1399,3
1400,5
1401,4
1402,5
1403,5
1404,5
1405,5
1406,5
1407,5
1408,5
1409,5
1410,5
1411,5
1412,5
1413,2
1414,5
1415,4
1416,5
1417,3
1418,5
1419,4
1420,5
1421,3
1422,3
1423,5
1424,4
1425,5
1426,5
1427,3
1428,3
1429,5
1430,3
1431,4
1432,3
1433,4
1434,5
1435,5
1436,5
1437,4
1438,4
1439,4
1440,5
1441,4
1442,2
1443,5
1444,2
1445,2
1446,4
1447,2
1448,4
1449,4
1450,2
1451,3
1452,2
1453,5
1454,5
1455,2
1456,5
1457,5
1458,3
1459,2
1460,3
1461,4
1462,3
1463,5
1464,5
1465,5
1466,3
1467,5
1468,2
1469,2
1470,5
1471,5
1472,5
1473,5
1474,3
1475,2
1476,4
1477,5
1478,3
1479,2
1480,4
1481,5
1482,2
1483,2
1484,5
1485,5
1486,5
1487,3
1488,4
1489,5
1490,3
1491,4
1492,5
1493,5
1494,5
1495,3
1496,4
1497,2
1498,5
1499,5
1500,5
