R,spanish
616,7
617,4
618,4
619,7
620,4
621,7
622,4
623,2
624,4
625,3
626,2
627,7
628,3
629,4
630,2
631,2
632,3
633,4
634,4
635,2
636,2
637,4
638,4
639,4
640,4
641,7
642,4
643,4
644,4
645,3
646,2
647,4
648,4
649,4
650,7
651,4
652,4
653,7
654,4
655,7
656,4
657,2
658,7
659,3
660,4
661,7
662,4
663,3
664,7
665,3
666,4
667,4
668,7
669,4
670,4
671,4
672,7
673,2
674,4
675,7
676,7
677,2
678,3
679,2
680,4
681,2
682,3
683,3
684,3
685,3
686,4
687,4
688,4
689,3
690,4
691,4
692,4
693,4
694,3
695,4
696,3
697,3
698,4
699,4
700,4
701,4
702,4
703,2
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,2
713,3
714,3
715,7
716,4
717,4
718,3
719,4
720,7
721,2
722,4
723,4
724,4
725,4
726,4
727,7
728,7
729,4
730,4
731,4
732,3
733,4
734,2
735,3
736,4
737,4
738,3
739,3
740,4
741,4
742,4
743,3
744,4
745,4
746,4
747,4
748,4
749,4
750,2
751,2
752,4
753,2
754,4
755,7
756,2
757,4
758,4
759,2
760,3
761,3
762,3
763,2
764,4
765,4
766,4
767,3
768,2
769,7
770,4
771,4
772,2
773,2
774,7
775,4
776,3
777,4
778,2
779,4
780,4
781,2
782,2
783,7
784,2
785,4
786,3
787,4
788,2
789,3
790,4
791,7
792,3
793,4
794,7
795,4
796,2
797,4
798,4
799,2
800,7
801,2
802,3
803,4
804,4
805,3
806,3
807,4
808,4
809,7
810,3
811,4
812,4
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,3
822,4
823,4
824,4
825,3
826,4
827,4
828,4
829,7
830,4
831,4
832,4
833,4
834,4
835,4
836,3
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,3
848,2
849,4
850,4
851,4
852,4
853,4
854,2
855,3
856,4
857,7
858,2
859,2
860,4
861,2
862,2
863,3
864,3
865,4
866,3
867,4
868,2
869,4
870,2
871,7
872,4
873,3
874,4
875,4
876,4
877,3
878,3
879,4
880,2
881,7
882,2
883,4
884,3
885,4
886,4
887,2
888,4
889,7
890,4
891,2
892,3
893,2
894,4
895,4
896,3
897,3
898,2
899,4
900,4
901,4
902,4
903,4
904,2
905,3
906,2
907,2
908,4
909,4
910,2
911,4
912,7
913,4
914,3
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,2
923,4
924,4
925,4
926,7
927,4
928,7
929,2
930,4
931,4
932,4
933,4
934,4
935,7
936,4
937,4
938,4
939,4
940,2
941,3
942,7
943,2
944,2
945,3
946,4
947,2
948,4
949,4
950,4
951,4
952,2
953,4
954,2
955,3
956,4
957,4
958,4
959,4
960,4
961,2
962,2
963,3
964,4
965,3
966,7
967,7
968,3
969,2
970,2
971,4
972,4
973,2
974,4
975,2
976,4
977,4
978,3
979,4
980,2
981,7
982,4
983,7
984,4
985,4
986,3
987,4
988,4
989,3
990,4
991,4
992,2
993,3
994,3
995,4
996,4
997,3
998,2
999,4
1000,7
1001,3
1002,4
1003,2
1004,4
1005,4
1006,3
1007,7
1008,4
1009,4
1010,4
1011,4
1012,2
1013,4
1014,4
1015,3
1016,4
1017,4
1018,4
1019,4
1020,4
1021,3
1022,2
1023,4
1024,2
1025,4
1026,4
1027,4
1028,4
1029,2
1030,7
1031,3
1032,4
1033,3
1034,4
1035,4
1036,4
1037,7
1038,4
1039,4
1040,4
1041,2
1042,3
1043,2
1044,2
1045,4
1046,2
1047,3
1048,4
1049,4
1050,4
1051,7
1052,2
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,3
1060,4
1061,4
1062,4
1063,3
1064,3
1065,7
1066,4
1067,3
1068,4
1069,4
1070,4
1071,3
1072,3
1073,4
1074,2
1075,4
1076,4
1077,4
1078,4
1079,3
1080,3
1081,4
1082,4
1083,4
1084,3
1085,4
1086,3
1087,2
1088,2
1089,3
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,4
1098,4
1099,4
1100,3
1101,2
1102,3
1103,3
1104,2
1105,4
1106,2
1107,4
1108,4
1109,4
1110,7
1111,4
1112,4
1113,2
1114,3
1115,2
1116,4
1117,4
1118,4
1119,4
1120,3
1121,4
1122,4
1123,2
1124,2
1125,2
1126,4
1127,3
1128,4
1129,3
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,2
1137,2
1138,2
1139,4
1140,2
1141,2
1142,4
1143,3
1144,4
1145,3
1146,7
1147,3
1148,4
1149,4
1150,4
1151,4
1152,3
1153,2
1154,2
1155,4
1156,4
1157,2
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,3
1165,3
1166,4
1167,4
1168,3
1169,3
1170,4
1171,3
1172,4
1173,7
1174,4
1175,4
1176,4
1177,3
1178,4
1179,4
1180,7
1181,3
1182,3
1183,2
1184,7
1185,4
1186,2
1187,3
1188,4
1189,4
1190,3
1191,4
1192,3
1193,3
1194,4
1195,4
1196,4
1197,2
1198,3
1199,4
1200,4
1201,4
1202,4
1203,4
1204,2
1205,4
1206,4
1207,2
1208,2
1209,4
1210,3
1211,3
1212,2
1213,3
1214,2
1215,3
1216,4
1217,7
1218,2
1219,4
1220,4
1221,4
1222,4
1223,4
1224,7
1225,4
1226,4
1227,3
1228,3
1229,2
1230,4
1231,4
1232,4
1233,4
1234,3
1235,7
1236,4
1237,4
1238,4
1239,2
1240,7
1241,4
1242,4
1243,3
1244,4
1245,4
1246,4
1247,3
1248,2
1249,3
1250,7
1251,2
1252,7
1253,2
1254,2
1255,3
1256,4
1257,4
1258,7
1259,4
1260,2
1261,2
1262,3
1263,4
1264,4
1265,3
1266,2
1267,3
1268,4
1269,4
1270,4
1271,2
1272,4
1273,2
1274,2
1275,3
1276,3
1277,3
1278,2
1279,4
1280,3
1281,4
1282,3
1283,4
1284,4
1285,4
1286,3
1287,4
1288,4
1289,4
1290,3
1291,3
1292,3
1293,4
1294,4
1295,4
1296,4
1297,4
1298,2
1299,4
1300,4
1301,4
1302,4
1303,7
1304,4
1305,4
1306,7
1307,4
1308,3
1309,7
1310,4
1311,4
1312,4
1313,3
1314,4
1315,4
1316,4
1317,4
1318,4
1319,4
1320,4
1321,4
1322,4
1323,2
1324,4
1325,4
1326,3
1327,4
1328,4
1329,3
1330,2
1331,2
1332,2
1333,4
1334,4
1335,3
1336,4
1337,4
1338,4
1339,4
1340,4
1341,3
1342,4
1343,4
1344,4
1345,4
1346,3
1347,4
1348,4
1349,4
1350,3
1351,4
1352,3
1353,7
1354,4
1355,4
1356,4
1357,4
1358,4
1359,2
1360,2
1361,2
1362,3
1363,4
1364,4
1365,4
1366,4
1367,4
1368,2
1369,4
1370,3
1371,4
1372,4
1373,4
1374,4
1375,3
1376,2
1377,4
1378,4
1379,4
1380,2
1381,2
1382,4
1383,4
1384,7
1385,3
1386,4
1387,4
1388,3
1389,4
1390,7
1391,2
1392,4
1393,3
1394,4
1395,4
1396,3
1397,4
1398,4
1399,4
1400,4
1401,3
1402,4
1403,4
1404,4
1405,2
1406,3
1407,3
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,3
1415,4
1416,4
1417,4
1418,4
1419,3
1420,4
1421,4
1422,2
1423,4
1424,3
1425,4
1426,2
1427,4
1428,2
1429,4
1430,4
1431,4
1432,3
1433,4
1434,4
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,2
1442,2
1443,4
1444,3
1445,2
1446,3
1447,7
1448,3
1449,4
1450,3
1451,2
1452,2
1453,4
1454,4
1455,2
1456,4
1457,4
1458,3
1459,2
1460,2
1461,4
1462,4
1463,4
1464,4
1465,4
1466,2
1467,4
1468,2
1469,3
1470,4
1471,4
1472,4
1473,4
1474,3
1475,4
1476,4
1477,3
1478,3
1479,4
1480,4
1481,4
1482,4
1483,4
1484,4
1485,3
1486,4
1487,4
1488,4
1489,4
1490,4
1491,2
1492,4
1493,2
1494,2
1495,2
1496,4
1497,3
1498,4
1499,4
1500,4
