R,thai
946,3
947,3
948,2
949,4
950,4
951,4
952,2
953,2
954,2
955,4
956,2
957,2
958,3
959,2
960,4
961,7
962,7
963,4
964,2
965,2
966,3
967,4
968,3
969,7
970,3
971,2
972,2
973,7
974,2
975,3
976,2
977,4
978,4
979,4
980,4
981,2
982,4
983,4
984,2
985,4
986,3
987,3
988,4
989,4
990,2
991,4
992,4
993,2
994,4
995,4
996,4
997,2
998,7
999,3
1000,7
1001,7
1002,4
1003,4
1004,4
1005,4
1006,7
1007,2
1008,2
1009,4
1010,4
1011,7
1012,7
1013,3
1014,2
1015,4
1016,2
1017,2
1018,4
1019,4
1020,4
1021,4
1022,7
1023,7
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,7
1037,3
1038,4
1039,4
1040,7
1041,4
1042,7
1043,3
1044,4
1045,7
1046,3
1047,4
1048,4
1049,4
1050,4
1051,2
1052,4
1053,2
1054,7
1055,7
1056,3
1057,4
1058,3
1059,3
1060,4
1061,4
1062,7
1063,4
1064,4
1065,4
1066,4
1067,4
1068,4
1069,3
1070,4
1071,4
1072,4
1073,4
1074,7
1075,4
1076,3
1077,3
1078,3
1079,4
1080,2
1081,4
1082,4
1083,3
1084,4
1085,4
1086,4
1087,4
1088,4
1089,3
1090,4
1091,4
1092,4
1093,2
1094,2
1095,4
1096,3
1097,4
1098,2
1099,4
1100,3
1101,4
1102,4
1103,4
1104,4
1105,4
1106,4
1107,2
1108,4
1109,4
1110,7
1111,3
1112,7
1113,4
1114,7
1115,4
1116,4
1117,4
1118,4
1119,2
1120,4
1121,4
1122,3
1123,7
1124,3
1125,2
1126,7
1127,3
1128,4
1129,4
1130,7
1131,4
1132,4
1133,2
1134,7
1135,4
1136,4
1137,7
1138,3
1139,4
1140,4
1141,4
1142,7
1143,7
1144,2
1145,2
1146,3
1147,3
1148,2
1149,3
1150,2
1151,4
1152,2
1153,4
1154,4
1155,4
1156,4
1157,4
1158,3
1159,7
1160,7
1161,4
1162,4
1163,4
1164,4
1165,3
1166,2
1167,4
1168,2
1169,4
1170,4
1171,7
1172,4
1173,4
1174,7
1175,3
1176,4
1177,2
1178,4
1179,3
1180,3
1181,4
1182,4
1183,7
1184,4
1185,4
1186,2
1187,4
1188,4
1189,7
1190,4
1191,2
1192,4
1193,3
1194,4
1195,3
1196,4
1197,7
1198,4
1199,4
1200,4
1201,4
1202,3
1203,4
1204,3
1205,2
1206,4
1207,3
1208,4
1209,7
1210,4
1211,4
1212,4
1213,4
1214,4
1215,7
1216,4
1217,4
1218,4
1219,7
1220,4
1221,4
1222,1
1223,4
1224,3
1225,4
1226,4
1227,4
1228,3
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,7
1236,7
1237,4
1238,4
1239,3
1240,3
1241,4
1242,3
1243,4
1244,3
1245,3
1246,4
1247,3
1248,3
1249,4
1250,2
1251,4
1252,7
1253,4
1254,4
1255,3
1256,2
1257,2
1258,4
1259,4
1260,4
1261,4
1262,4
1263,3
1264,2
1265,3
1266,3
1267,4
1268,4
1269,4
1270,7
1271,7
1272,4
1273,4
1274,4
1275,4
1276,2
1277,4
1278,4
1279,7
1280,2
1281,4
1282,4
1283,3
1284,2
1285,4
1286,2
1287,3
1288,3
1289,4
1290,7
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,3
1303,2
1304,4
1305,4
1306,3
1307,3
1308,7
1309,2
1310,3
1311,4
1312,2
1313,3
1314,4
1315,4
1316,4
1317,3
1318,2
1319,4
1320,4
1321,3
1322,2
1323,7
1324,2
1325,4
1326,4
1327,4
1328,4
1329,4
1330,3
1331,3
1332,3
1333,4
1334,4
1335,4
1336,4
1337,3
1338,4
1339,2
1340,3
1341,7
1342,3
1343,4
1344,4
1345,4
1346,4
1347,3
1348,4
1349,4
1350,4
1351,2
1352,4
1353,4
1354,2
1355,3
1356,4
1357,4
1358,4
1359,4
1360,2
1361,4
1362,3
1363,3
1364,4
1365,4
1366,4
1367,4
1368,7
1369,7
1370,3
1371,4
1372,4
1373,3
1374,4
1375,3
1376,4
1377,4
1378,3
1379,4
1380,4
1381,2
1382,2
1383,3
1384,4
1385,3
1386,7
1387,4
1388,4
1389,3
1390,4
1391,4
1392,4
1393,2
1394,4
1395,3
1396,3
1397,4
1398,3
1399,4
1400,2
1401,2
1402,4
1403,2
1404,2
1405,4
1406,3
1407,4
1408,7
1409,4
1410,4
1411,4
1412,4
1413,4
1414,3
1415,7
1416,4
1417,4
1418,3
1419,3
1420,4
1421,4
1422,7
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,3
1430,4
1431,7
1432,4
1433,4
1434,2
1435,4
1436,4
1437,7
1438,4
1439,2
1440,2
1441,4
1442,4
1443,4
1444,4
1445,4
1446,4
1447,4
1448,4
1449,4
1450,4
1451,7
1452,4
1453,4
1454,4
1455,2
1456,4
1457,4
1458,4
1459,4
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,4
1467,3
1468,4
1469,4
1470,4
1471,4
1472,4
1473,2
1474,3
1475,4
1476,3
1477,2
1478,4
1479,7
1480,4
1481,4
1482,7
1483,4
1484,3
1485,4
1486,2
1487,4
1488,4
1489,4
1490,3
1491,4
1492,3
1493,4
1494,3
1495,4
1496,4
1497,4
1498,4
1499,4
1500,7
