R,greek
269,7
270,2
271,2
272,2
273,4
274,4
275,4
276,4
277,2
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,4
292,7
293,7
294,4
295,4
296,7
297,7
298,2
299,2
300,7
301,7
302,2
303,2
304,2
305,2
306,2
307,7
308,4
309,4
310,7
311,2
312,7
313,2
314,7
315,4
316,2
317,7
318,4
319,4
320,7
321,2
322,2
323,7
324,4
325,7
326,7
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,7
335,4
336,2
337,7
338,7
339,2
340,2
341,3
342,4
343,2
344,2
345,4
346,4
347,4
348,2
349,4
350,4
351,4
352,7
353,7
354,7
355,4
356,7
357,4
358,4
359,7
360,7
361,7
362,4
363,2
364,7
365,4
366,7
367,4
368,4
369,2
370,4
371,2
372,7
373,4
374,7
375,7
376,2
377,4
378,2
379,2
380,2
381,4
382,7
383,4
384,2
385,2
386,7
387,2
388,2
389,7
390,4
391,4
392,4
393,7
394,7
395,7
396,4
397,7
398,4
399,7
400,4
401,4
402,4
403,4
404,4
405,7
406,7
407,4
408,4
409,4
410,2
411,2
412,4
413,7
414,2
415,4
416,7
417,4
418,2
419,7
420,7
421,7
422,4
423,4
424,4
425,4
426,2
427,7
428,7
429,4
430,7
431,4
432,4
433,2
434,7
435,7
436,4
437,4
438,4
439,4
440,7
441,2
442,7
443,4
444,4
445,4
446,4
447,2
448,7
449,2
450,4
451,7
452,2
453,2
454,7
455,7
456,7
457,7
458,4
459,7
460,4
461,7
462,4
463,2
464,2
465,7
466,4
467,4
468,4
469,7
470,2
471,2
472,7
473,7
474,7
475,7
476,2
477,7
478,7
479,4
480,4
481,2
482,2
483,4
484,7
485,4
486,4
487,2
488,4
489,4
490,2
491,4
492,7
493,2
494,7
495,4
496,2
497,4
498,2
499,2
500,2
501,7
502,7
503,4
504,7
505,2
506,7
507,4
508,4
509,4
510,2
511,2
512,4
513,4
514,7
515,4
516,2
517,2
518,4
519,2
520,4
521,7
522,4
523,4
524,4
525,4
526,4
527,7
528,4
529,7
530,2
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,4
539,4
540,4
541,7
542,4
543,4
544,4
545,7
546,4
547,4
548,4
549,4
550,4
551,4
552,2
553,7
554,4
555,7
556,7
557,7
558,2
559,4
560,2
561,7
562,7
563,4
564,4
565,2
566,2
567,4
568,2
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,2
577,2
578,4
579,7
580,3
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,2
590,2
591,2
592,7
593,4
594,2
595,7
596,3
597,4
598,2
599,2
600,2
601,2
602,2
603,2
604,4
605,7
606,7
607,7
608,7
609,4
610,7
611,4
612,4
613,4
614,2
615,4
616,2
617,4
618,4
619,4
620,4
621,4
622,7
623,7
624,4
625,4
626,2
627,7
628,4
629,4
630,7
631,7
632,2
633,4
634,4
635,7
636,2
637,4
638,4
639,4
640,2
641,4
642,4
643,4
644,4
645,7
646,7
647,7
648,4
649,4
650,7
651,4
652,4
653,7
654,4
655,4
656,4
657,7
658,2
659,2
660,2
661,2
662,4
663,4
664,7
665,7
666,4
667,4
668,4
669,4
670,4
671,4
672,2
673,2
674,2
675,4
676,4
677,2
678,7
679,7
680,4
681,4
682,4
683,7
684,7
685,4
686,4
687,4
688,4
689,2
690,2
691,2
692,3
693,4
694,4
695,4
696,4
697,7
698,4
699,4
700,7
701,3
702,2
703,2
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,2
712,2
713,7
714,4
715,7
716,4
717,7
718,4
719,4
720,7
721,7
722,4
723,2
724,4
725,2
726,4
727,2
728,7
729,2
730,7
731,4
732,7
733,4
734,7
735,2
736,7
737,4
738,4
739,7
740,2
741,4
742,4
743,2
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,7
752,2
753,2
754,2
755,2
756,7
757,4
758,4
759,2
760,2
761,2
762,7
763,2
764,4
765,2
766,7
767,7
768,2
769,4
770,2
771,7
772,4
773,7
774,4
775,2
776,4
777,4
778,7
779,4
780,4
781,2
782,2
783,4
784,4
785,4
786,4
787,4
788,7
789,7
790,4
791,7
792,2
793,4
794,7
795,2
796,7
797,4
798,7
799,2
800,7
801,7
802,7
803,2
804,4
805,2
806,2
807,4
808,4
809,4
810,4
811,2
812,4
813,4
814,4
815,4
816,7
817,4
818,4
819,4
820,4
821,7
822,4
823,4
824,4
825,4
826,2
827,4
828,4
829,4
830,4
831,4
832,4
833,7
834,2
835,3
836,3
837,4
838,7
839,4
840,2
841,4
842,4
843,4
844,4
845,4
846,7
847,7
848,4
849,7
850,7
851,3
852,4
853,2
854,7
855,2
856,2
857,7
858,2
859,3
860,4
861,2
862,4
863,4
864,4
865,4
866,7
867,4
868,7
869,4
870,2
871,7
872,4
873,7
874,4
875,4
876,4
877,4
878,7
879,7
880,7
881,4
882,7
883,4
884,7
885,4
886,2
887,4
888,4
889,7
890,2
891,4
892,4
893,2
894,4
895,4
896,7
897,2
898,2
899,2
900,4
901,4
902,4
903,4
904,2
905,2
906,7
907,4
908,4
909,4
910,7
911,2
912,7
913,4
914,4
915,4
916,4
917,7
918,4
919,4
920,4
921,4
922,2
923,4
924,7
925,7
926,7
927,4
928,2
929,7
930,4
931,4
932,2
933,4
934,4
935,3
936,3
937,4
938,4
939,4
940,4
941,7
942,7
943,2
944,2
945,4
946,2
947,4
948,4
949,4
950,4
951,4
952,7
953,4
954,2
955,2
956,4
957,7
958,4
959,4
960,7
961,7
962,7
963,2
964,4
965,4
966,4
967,4
968,2
969,7
970,7
971,2
972,4
973,2
974,4
975,7
976,4
977,4
978,4
979,7
980,7
981,2
982,4
983,2
984,4
985,4
986,2
987,4
988,4
989,7
990,4
991,4
992,4
993,7
994,4
995,7
996,4
997,2
998,2
999,4
1000,7
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,7
1011,4
1012,7
1013,2
1014,4
1015,4
1016,4
1017,4
1018,4
1019,4
1020,2
1021,2
1022,7
1023,4
1024,2
1025,4
1026,4
1027,4
1028,4
1029,4
1030,2
1031,4
1032,4
1033,7
1034,4
1035,4
1036,4
1037,7
1038,4
1039,4
1040,4
1041,4
1042,7
1043,7
1044,2
1045,2
1046,2
1047,4
1048,4
1049,4
1050,4
1051,4
1052,7
1053,4
1054,7
1055,4
1056,4
1057,2
1058,2
1059,4
1060,4
1061,4
1062,4
1063,4
1064,2
1065,7
1066,4
1067,7
1068,4
1069,4
1070,2
1071,4
1072,4
1073,4
1074,7
1075,4
1076,4
1077,2
1078,7
1079,7
1080,4
1081,4
1082,4
1083,4
1084,2
1085,4
1086,2
1087,4
1088,7
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,2
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,2
1105,4
1106,4
1107,7
1108,4
1109,7
1110,7
1111,4
1112,7
1113,2
1114,7
1115,4
1116,4
1117,2
1118,4
1119,4
1120,4
1121,2
1122,4
1123,7
1124,2
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,2
1136,4
1137,2
1138,4
1139,7
1140,4
1141,2
1142,4
1143,7
1144,2
1145,2
1146,7
1147,4
1148,4
1149,7
1150,4
1151,2
1152,2
1153,7
1154,4
1155,7
1156,4
1157,7
1158,2
1159,4
1160,4
1161,4
1162,2
1163,4
1164,2
1165,4
1166,4
1167,4
1168,4
1169,2
1170,4
1171,7
1172,4
1173,4
1174,2
1175,7
1176,2
1177,7
1178,4
1179,7
1180,7
1181,4
1182,4
1183,2
1184,2
1185,7
1186,4
1187,4
1188,2
1189,4
1190,4
1191,4
1192,4
1193,7
1194,4
1195,7
1196,2
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,7
1205,4
1206,2
1207,2
1208,4
1209,7
1210,4
1211,4
1212,7
1213,7
1214,7
1215,4
1216,7
1217,2
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,2
1227,7
1228,2
1229,4
1230,4
1231,4
1232,4
1233,7
1234,7
1235,4
1236,4
1237,4
1238,2
1239,4
1240,2
1241,4
1242,4
1243,7
1244,4
1245,4
1246,7
1247,7
1248,2
1249,7
1250,4
1251,4
1252,2
1253,4
1254,4
1255,7
1256,4
1257,4
1258,4
1259,4
1260,4
1261,2
1262,2
1263,4
1264,4
1265,4
1266,7
1267,4
1268,2
1269,4
1270,4
1271,7
1272,4
1273,4
1274,2
1275,4
1276,2
1277,4
1278,4
1279,7
1280,7
1281,4
1282,7
1283,4
1284,7
1285,4
1286,7
1287,2
1288,4
1289,4
1290,7
1291,2
1292,4
1293,4
1294,4
1295,7
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,4
1306,7
1307,4
1308,7
1309,7
1310,4
1311,4
1312,7
1313,4
1314,4
1315,4
1316,4
1317,2
1318,4
1319,4
1320,2
1321,2
1322,4
1323,4
1324,4
1325,4
1326,4
1327,4
1328,2
1329,7
1330,7
1331,4
1332,4
1333,7
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,7
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,7
1350,2
1351,7
1352,4
1353,4
1354,4
1355,4
1356,4
1357,4
1358,2
1359,2
1360,4
1361,4
1362,4
1363,4
1364,4
1365,2
1366,4
1367,2
1368,7
1369,7
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,7
1377,4
1378,4
1379,4
1380,7
1381,7
1382,7
1383,4
1384,4
1385,4
1386,4
1387,4
1388,2
1389,4
1390,7
1391,7
1392,4
1393,7
1394,4
1395,4
1396,7
1397,4
1398,7
1399,7
1400,4
1401,4
1402,4
1403,4
1404,4
1405,2
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,7
1415,2
1416,4
1417,2
1418,4
1419,7
1420,4
1421,4
1422,2
1423,4
1424,4
1425,4
1426,4
1427,4
1428,2
1429,4
1430,4
1431,7
1432,7
1433,2
1434,7
1435,4
1436,4
1437,7
1438,2
1439,4
1440,4
1441,4
1442,4
1443,4
1444,7
1445,4
1446,4
1447,2
1448,4
1449,7
1450,4
1451,2
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,2
1461,4
1462,4
1463,4
1464,4
1465,4
1466,2
1467,7
1468,2
1469,2
1470,4
1471,4
1472,4
1473,4
1474,7
1475,4
1476,4
1477,4
1478,2
1479,2
1480,4
1481,4
1482,4
1483,4
1484,2
1485,2
1486,4
1487,4
1488,4
1489,4
1490,4
1491,2
1492,4
1493,4
1494,2
1495,2
1496,2
1497,4
1498,4
1499,7
1500,4
1501,4
1502,7
1503,4
1504,2
1505,4
1506,7
1507,4
1508,4
1509,4
1510,7
1511,4
1512,4
1513,7
1514,2
1515,7
1516,2
1517,7
1518,4
1519,7
1520,2
1521,7
1522,4
1523,2
1524,4
1525,7
1526,7
1527,4
1528,4
1529,2
1530,7
1531,4
1532,2
1533,4
1534,7
1535,2
1536,2
1537,2
1538,2
1539,7
1540,4
1541,4
1542,4
1543,7
1544,4
1545,2
1546,7
1547,2
1548,2
1549,4
1550,4
1551,4
1552,7
1553,4
1554,4
1555,7
1556,4
1557,4
1558,4
1559,7
1560,4
1561,4
1562,4
1563,4
1564,2
1565,2
1566,4
1567,7
1568,2
1569,4
1570,4
1571,2
1572,2
1573,7
1574,4
1575,4
1576,7
1577,4
1578,4
1579,4
1580,2
1581,4
1582,4
1583,7
1584,4
1585,4
1586,4
1587,4
1588,4
1589,7
1590,4
1591,7
1592,4
1593,4
1594,4
1595,4
1596,2
1597,7
1598,4
1599,7
1600,7
1601,4
1602,4
1603,2
1604,4
1605,2
1606,2
1607,7
1608,4
1609,2
1610,4
1611,4
1612,4
1613,4
1614,2
1615,2
1616,4
1617,4
1618,4
1619,4
1620,4
1621,2
1622,2
1623,4
1624,4
1625,4
1626,2
1627,4
1628,7
1629,4
1630,2
1631,4
1632,4
1633,2
1634,4
1635,4
1636,4
1637,4
1638,4
1639,4
1640,4
1641,4
1642,7
1643,7
1644,7
1645,7
1646,7
1647,4
1648,4
1649,4
1650,4
1651,4
1652,2
1653,4
1654,4
1655,2
1656,4
1657,4
1658,7
1659,4
1660,4
1661,4
1662,4
1663,4
1664,4
1665,4
1666,4
1667,2
1668,2
1669,4
1670,4
1671,4
1672,4
1673,4
1674,4
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,4
1682,4
1683,4
1684,7
1685,7
1686,4
1687,7
1688,4
1689,4
1690,4
1691,4
1692,4
1693,2
1694,4
1695,4
1696,2
1697,4
1698,4
1699,7
1700,7
1701,4
1702,4
1703,4
1704,7
1705,4
1706,2
1707,2
1708,4
1709,4
1710,2
1711,4
1712,7
1713,4
1714,2
1715,2
1716,4
1717,4
1718,7
1719,4
1720,4
1721,4
1722,2
1723,4
1724,7
1725,4
1726,2
1727,4
1728,4
1729,4
1730,2
1731,4
1732,2
1733,2
1734,2
1735,7
1736,4
1737,4
1738,4
1739,4
1740,7
1741,4
1742,4
1743,7
1744,7
1745,7
1746,4
1747,2
1748,7
1749,2
1750,2
1751,2
1752,7
1753,4
1754,4
1755,4
1756,4
1757,7
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,4
1769,4
1770,2
1771,4
1772,4
1773,4
1774,4
1775,4
1776,4
1777,4
1778,7
1779,4
1780,4
1781,4
1782,4
1783,4
1784,4
1785,4
1786,4
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,2
1794,4
1795,4
1796,4
1797,2
1798,4
1799,4
1800,4
1801,4
1802,2
1803,4
1804,4
1805,4
1806,4
1807,4
1808,4
1809,2
1810,4
1811,4
1812,4
1813,4
1814,4
1815,4
1816,4
1817,4
1818,4
1819,2
1820,4
1821,2
1822,2
1823,2
1824,2
1825,4
1826,4
1827,7
1828,4
1829,4
1830,4
1831,4
1832,4
1833,4
1834,4
1835,2
1836,4
1837,4
1838,2
1839,7
1840,4
1841,4
1842,4
1843,2
1844,4
1845,4
1846,2
1847,4
1848,4
1849,4
1850,2
1851,7
1852,4
1853,4
1854,4
1855,2
1856,4
1857,4
1858,2
1859,4
1860,2
1861,4
1862,2
1863,2
1864,7
1865,4
1866,4
1867,4
1868,4
1869,4
1870,4
1871,4
1872,4
1873,4
1874,4
1875,4
1876,4
1877,4
1878,4
1879,2
1880,7
1881,4
1882,4
1883,2
1884,4
1885,4
1886,4
1887,4
1888,4
1889,4
1890,4
1891,4
1892,4
1893,4
1894,2
1895,4
1896,4
1897,2
1898,4
1899,4
1900,4
1901,4
1902,4
1903,4
1904,2
1905,4
1906,7
1907,2
1908,2
1909,4
1910,7
1911,4
1912,4
1913,4
1914,4
1915,4
1916,4
1917,4
1918,4
1919,4
1920,4
1921,4
1922,4
1923,4
1924,4
1925,4
1926,7
1927,4
1928,4
1929,2
1930,4
1931,7
1932,2
1933,4
1934,2
1935,4
1936,7
1937,4
1938,4
1939,2
1940,4
1941,2
1942,4
1943,4
1944,4
1945,4
1946,7
1947,4
1948,4
1949,4
1950,4
1951,4
1952,4
1953,2
1954,4
1955,4
1956,4
1957,7
1958,4
1959,4
1960,4
1961,4
1962,4
1963,4
1964,4
1965,4
1966,4
1967,4
1968,4
1969,4
1970,4
1971,4
1972,4
1973,4
1974,4
1975,4
1976,2
1977,7
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1987,4
1988,4
1989,4
1990,4
1991,4
1992,4
1993,4
1994,2
1995,4
1996,4
1997,4
1998,4
1999,2
2000,4
2001,4
2002,2
2003,7
2004,4
2005,4
2006,4
2007,7
2008,4
2009,4
2010,2
2011,4
2012,4
2013,4
2014,4
2015,4
2016,4
2017,2
2018,4
2019,4
2020,2
2021,2
2022,4
2023,4
2024,4
2025,7
2026,4
2027,4
2028,4
2029,4
2030,2
2031,4
2032,4
2033,4
2034,4
2035,4
2036,2
2037,4
2038,7
2039,4
2040,4
2041,4
2042,2
2043,4
2044,2
2045,4
2046,4
2047,4
2048,4
2049,4
2050,4
2051,4
2052,4
2053,4
2054,4
2055,7
2056,7
2057,4
2058,4
2059,4
2060,4
2061,4
2062,4
2063,4
2064,4
2065,2
2066,4
2067,4
2068,4
2069,7
2070,4
2071,2
2072,4
2073,4
2074,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,4
2086,7
2087,4
2088,4
2089,7
2090,2
2091,4
2092,4
2093,4
2094,4
2095,4
2096,2
2097,4
2098,4
2099,4
2100,2
2101,4
2102,4
2103,4
2104,2
2105,4
2106,4
2107,7
2108,4
2109,4
2110,4
2111,4
2112,4
2113,4
2114,2
2115,4
2116,4
2117,2
2118,4
2119,4
2120,4
2121,7
2122,4
2123,4
2124,2
2125,2
2126,4
2127,4
2128,4
2129,4
2130,4
2131,4
2132,2
2133,4
2134,4
2135,2
2136,4
2137,2
2138,4
2139,2
2140,2
2141,4
2142,4
2143,2
2144,4
2145,4
2146,4
2147,4
2148,2
2149,4
2150,4
2151,4
2152,2
2153,2
2154,2
2155,4
2156,4
2157,2
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,4
2165,4
2166,4
2167,4
2168,4
2169,4
2170,4
2171,4
2172,7
2173,4
2174,4
2175,4
2176,4
2177,7
2178,4
2179,4
2180,4
2181,4
2182,4
2183,4
2184,4
2185,4
2186,4
2187,4
2188,2
2189,4
2190,2
2191,4
2192,2
2193,4
2194,4
2195,4
2196,4
2197,4
2198,4
2199,4
2200,2
2201,4
2202,4
2203,2
2204,4
2205,4
2206,4
2207,4
2208,4
2209,4
2210,4
2211,4
2212,4
2213,4
2214,4
2215,4
2216,4
2217,4
2218,2
2219,4
2220,4
2221,4
2222,4
2223,4
2224,4
2225,2
2226,4
2227,7
2228,4
2229,2
2230,4
2231,2
2232,4
2233,4
2234,4
2235,4
2236,7
2237,2
2238,2
2239,2
2240,4
2241,2
2242,4
2243,4
2244,2
2245,4
2246,4
2247,4
2248,4
2249,4
2250,4
2251,4
2252,4
2253,7
2254,4
2255,4
2256,2
2257,2
2258,4
2259,7
2260,2
2261,2
2262,4
2263,7
2264,4
2265,4
2266,4
2267,4
2268,4
2269,4
2270,4
2271,4
2272,4
2273,4
2274,4
2275,4
2276,4
2277,7
2278,4
2279,4
2280,4
2281,4
2282,4
2283,4
2284,4
2285,2
2286,4
2287,4
2288,4
2289,4
2290,2
2291,7
2292,4
2293,4
2294,4
2295,4
2296,4
2297,4
2298,4
2299,4
2300,4
2301,4
2302,4
2303,7
2304,4
2305,4
2306,4
2307,4
2308,2
2309,4
2310,4
2311,2
2312,4
2313,4
2314,4
2315,4
2316,4
2317,4
2318,2
2319,4
2320,4
2321,4
2322,4
2323,4
2324,7
2325,2
2326,4
2327,4
2328,4
2329,4
2330,4
2331,2
2332,4
2333,4
2334,4
2335,4
2336,4
2337,4
2338,4
2339,4
2340,4
2341,4
2342,2
2343,4
2344,2
2345,4
2346,4
2347,4
2348,4
2349,4
2350,7
2351,4
2352,2
2353,4
2354,2
2355,4
2356,4
2357,2
2358,4
2359,4
2360,4
2361,4
2362,2
2363,4
2364,4
2365,7
2366,2
2367,4
2368,4
2369,4
2370,2
2371,4
2372,4
2373,4
2374,4
2375,4
2376,4
2377,4
2378,4
2379,4
2380,4
2381,4
2382,4
2383,2
2384,2
2385,2
2386,4
2387,2
2388,4
2389,4
2390,2
2391,4
2392,4
2393,4
2394,4
2395,4
2396,4
2397,4
2398,4
2399,4
2400,4
