R,indian
676,2
677,3
678,2
679,2
680,7
681,7
682,4
683,4
684,3
685,4
686,4
687,4
688,4
689,7
690,2
691,3
692,2
693,4
694,3
695,4
696,4
697,2
698,4
699,4
700,7
701,7
702,7
703,2
704,4
705,4
706,3
707,4
708,4
709,3
710,4
711,4
712,7
713,2
714,4
715,7
716,4
717,4
718,4
719,4
720,2
721,2
722,4
723,4
724,4
725,2
726,2
727,2
728,2
729,2
730,2
731,4
732,2
733,4
734,2
735,2
736,4
737,2
738,2
739,3
740,4
741,7
742,4
743,4
744,4
745,4
746,7
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,2
755,2
756,2
757,4
758,4
759,2
760,2
761,7
762,7
763,3
764,4
765,3
766,3
767,2
768,3
769,2
770,2
771,7
772,4
773,4
774,2
775,7
776,4
777,4
778,4
779,4
780,3
781,2
782,4
783,4
784,7
785,4
786,4
787,4
788,4
789,4
790,4
791,2
792,2
793,4
794,2
795,3
796,7
797,2
798,7
799,3
800,2
801,2
802,3
803,2
804,2
805,2
806,4
807,4
808,3
809,4
810,4
811,3
812,3
813,4
814,4
815,2
816,3
817,2
818,2
819,2
820,2
821,2
822,2
823,4
824,4
825,3
826,4
827,4
828,3
829,7
830,4
831,7
832,3
833,7
834,3
835,4
836,3
837,4
838,3
839,4
840,2
841,2
842,2
843,4
844,3
845,4
846,3
847,3
848,4
849,4
850,3
851,4
852,3
853,2
854,2
855,2
856,4
857,2
858,4
859,3
860,4
861,3
862,4
863,4
864,2
865,3
866,7
867,4
868,3
869,4
870,4
871,3
872,4
873,4
874,2
875,4
876,4
877,3
878,4
879,4
880,3
881,7
882,3
883,4
884,7
885,4
886,4
887,4
888,4
889,3
890,7
891,4
892,4
893,2
894,4
895,4
896,3
897,4
898,3
899,2
900,7
901,2
902,3
903,7
904,2
905,2
906,7
907,3
908,2
909,4
910,2
911,3
912,7
913,4
914,4
915,2
916,7
917,4
918,2
919,4
920,4
921,2
922,2
923,2
924,4
925,3
926,2
927,4
928,4
929,3
930,7
931,4
932,4
933,2
934,2
935,7
936,7
937,4
938,4
939,4
940,2
941,2
942,4
943,3
944,3
945,7
946,4
947,2
948,3
949,4
950,4
951,4
952,3
953,2
954,4
955,7
956,3
957,2
958,3
959,4
960,7
961,7
962,7
963,2
964,4
965,7
966,2
967,7
968,7
969,2
970,7
971,2
972,4
973,3
974,2
975,3
976,4
977,4
978,7
979,4
980,4
981,2
982,4
983,7
984,2
985,4
986,2
987,3
988,3
989,7
990,2
991,4
992,2
993,4
994,4
995,4
996,4
997,2
998,7
999,4
1000,2
1001,3
1002,3
1003,4
1004,4
1005,3
1006,2
1007,3
1008,2
1009,4
1010,4
1011,3
1012,2
1013,4
1014,2
1015,3
1016,4
1017,7
1018,2
1019,4
1020,4
1021,7
1022,2
1023,2
1024,4
1025,4
1026,3
1027,3
1028,4
1029,3
1030,3
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,7
1038,4
1039,4
1040,4
1041,7
1042,2
1043,7
1044,4
1045,7
1046,4
1047,4
1048,4
1049,4
1050,4
1051,3
1052,4
1053,2
1054,2
1055,4
1056,3
1057,4
1058,3
1059,4
1060,4
1061,3
1062,4
1063,3
1064,3
1065,4
1066,4
1067,2
1068,4
1069,4
1070,4
1071,3
1072,4
1073,4
1074,7
1075,4
1076,2
1077,3
1078,7
1079,2
1080,2
1081,3
1082,3
1083,4
1084,2
1085,4
1086,7
1087,3
1088,3
1089,7
1090,4
1091,3
1092,4
1093,3
1094,4
1095,4
1096,3
1097,4
1098,3
1099,4
1100,3
1101,4
1102,4
1103,4
1104,7
1105,4
1106,3
1107,3
1108,2
1109,3
1110,2
1111,4
1112,2
1113,4
1114,2
1115,4
1116,4
1117,4
1118,4
1119,2
1120,2
1121,4
1122,3
1123,4
1124,2
1125,2
1126,2
1127,4
1128,4
1129,3
1130,3
1131,4
1132,4
1133,4
1134,1
1135,4
1136,4
1137,2
1138,3
1139,4
1140,3
1141,4
1142,2
1143,7
1144,4
1145,3
1146,2
1147,4
1148,4
1149,3
1150,3
1151,4
1152,2
1153,7
1154,3
1155,4
1156,4
1157,4
1158,3
1159,4
1160,2
1161,4
1162,4
1163,4
1164,4
1165,3
1166,4
1167,4
1168,3
1169,3
1170,4
1171,3
1172,4
1173,4
1174,2
1175,4
1176,4
1177,2
1178,4
1179,2
1180,2
1181,4
1182,4
1183,2
1184,2
1185,7
1186,3
1187,7
1188,2
1189,7
1190,2
1191,4
1192,3
1193,3
1194,4
1195,7
1196,4
1197,4
1198,4
1199,2
1200,2
1201,2
1202,4
1203,4
1204,2
1205,4
1206,2
1207,4
1208,4
1209,7
1210,4
1211,4
1212,7
1213,3
1214,3
1215,7
1216,4
1217,7
1218,4
1219,4
1220,2
1221,2
1222,7
1223,3
1224,2
1225,2
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,7
1235,4
1236,4
1237,7
1238,4
1239,4
1240,2
1241,4
1242,2
1243,3
1244,4
1245,4
1246,3
1247,7
1248,2
1249,3
1250,3
1251,2
1252,4
1253,3
1254,4
1255,4
1256,4
1257,2
1258,4
1259,4
1260,3
1261,7
1262,4
1263,4
1264,3
1265,2
1266,2
1267,4
1268,4
1269,4
1270,7
1271,3
1272,4
1273,4
1274,4
1275,4
1276,2
1277,4
1278,3
1279,7
1280,4
1281,4
1282,4
1283,3
1284,2
1285,4
1286,3
1287,3
1288,7
1289,4
1290,7
1291,3
1292,4
1293,4
1294,4
1295,7
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,2
1303,3
1304,3
1305,4
1306,7
1307,3
1308,4
1309,3
1310,2
1311,2
1312,3
1313,3
1314,4
1315,4
1316,4
1317,4
1318,3
1319,3
1320,2
1321,4
1322,4
1323,4
1324,2
1325,4
1326,4
1327,4
1328,7
1329,4
1330,3
1331,4
1332,3
1333,4
1334,4
1335,4
1336,3
1337,4
1338,7
1339,2
1340,2
1341,2
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,2
1350,3
1351,7
1352,4
1353,4
1354,3
1355,4
1356,3
1357,4
1358,2
1359,4
1360,7
1361,3
1362,3
1363,3
1364,2
1365,3
1366,4
1367,7
1368,4
1369,2
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,3
1377,4
1378,4
1379,4
1380,3
1381,2
1382,3
1383,4
1384,4
1385,4
1386,2
1387,4
1388,4
1389,7
1390,3
1391,7
1392,4
1393,3
1394,4
1395,4
1396,3
1397,4
1398,3
1399,4
1400,3
1401,3
1402,4
1403,4
1404,2
1405,3
1406,4
1407,2
1408,4
1409,2
1410,2
1411,2
1412,2
1413,4
1414,4
1415,7
1416,4
1417,2
1418,4
1419,3
1420,3
1421,4
1422,3
1423,4
1424,3
1425,3
1426,4
1427,2
1428,2
1429,2
1430,4
1431,4
1432,2
1433,2
1434,2
1435,4
1436,4
1437,4
1438,2
1439,4
1440,3
1441,4
1442,4
1443,4
1444,4
1445,4
1446,3
1447,2
1448,3
1449,4
1450,7
1451,2
1452,4
1453,4
1454,4
1455,3
1456,4
1457,3
1458,4
1459,7
1460,2
1461,4
1462,4
1463,4
1464,4
1465,4
1466,3
1467,2
1468,2
1469,7
1470,4
1471,4
1472,4
1473,3
1474,4
1475,4
1476,4
1477,3
1478,4
1479,7
1480,3
1481,4
1482,2
1483,4
1484,4
1485,4
1486,3
1487,4
1488,4
1489,4
1490,4
1491,3
1492,4
1493,4
1494,4
1495,4
1496,4
1497,7
1498,4
1499,2
1500,7
1501,2
1502,3
1503,4
1504,4
1505,2
1506,2
1507,2
1508,4
1509,4
1510,3
1511,4
1512,4
1513,3
1514,4
1515,3
1516,4
1517,2
1518,4
1519,7
1520,7
1521,4
1522,4
1523,3
1524,4
1525,4
1526,3
1527,4
1528,3
1529,2
1530,4
1531,4
1532,4
1533,2
1534,2
1535,3
1536,2
1537,3
1538,3
1539,7
1540,3
1541,4
1542,4
1543,4
1544,3
1545,2
1546,7
1547,4
1548,4
1549,3
1550,3
1551,2
1552,4
1553,4
1554,4
1555,4
1556,4
1557,3
1558,4
1559,3
1560,2
1561,2
1562,4
1563,2
1564,4
1565,4
1566,3
1567,3
1568,3
1569,4
1570,2
1571,3
1572,3
1573,2
1574,4
1575,4
1576,2
1577,4
1578,3
1579,4
1580,4
1581,4
1582,4
1583,4
1584,4
1585,4
1586,2
1587,2
1588,4
1589,3
1590,4
1591,4
1592,2
1593,4
1594,4
1595,4
1596,4
1597,4
1598,2
1599,3
1600,4
1601,7
1602,3
1603,7
1604,4
1605,3
1606,2
1607,4
1608,4
1609,4
1610,3
1611,4
1612,7
1613,2
1614,2
1615,2
1616,3
1617,3
1618,2
1619,4
1620,7
1621,3
1622,3
1623,4
1624,7
1625,4
1626,4
1627,4
1628,3
1629,4
1630,4
1631,4
1632,4
1633,4
1634,7
1635,2
1636,3
1637,4
1638,4
1639,4
1640,4
1641,4
1642,4
1643,4
1644,4
1645,7
1646,4
1647,7
1648,4
1649,3
1650,4
1651,4
1652,4
1653,4
1654,3
1655,4
1656,4
1657,4
1658,2
1659,4
1660,4
1661,4
1662,4
1663,4
1664,7
1665,4
1666,4
1667,3
1668,3
1669,4
1670,3
1671,4
1672,3
1673,4
1674,4
1675,4
1676,2
1677,2
1678,4
1679,4
1680,4
1681,4
1682,2
1683,4
1684,4
1685,4
1686,4
1687,7
1688,4
1689,4
1690,4
1691,4
1692,3
1693,4
1694,3
1695,3
1696,2
1697,4
1698,3
1699,4
1700,4
1701,4
1702,4
1703,4
1704,3
1705,2
1706,4
1707,4
1708,4
1709,4
1710,2
1711,7
1712,4
1713,4
1714,4
1715,4
1716,4
1717,4
1718,7
1719,4
1720,4
1721,2
1722,4
1723,7
1724,7
1725,4
1726,7
1727,2
1728,7
1729,2
1730,4
1731,4
1732,4
1733,7
1734,4
1735,4
1736,4
1737,4
1738,4
1739,2
1740,3
1741,2
1742,4
1743,3
1744,3
1745,3
1746,4
1747,4
1748,3
1749,4
1750,4
1751,4
1752,4
1753,4
1754,4
1755,4
1756,4
1757,4
1758,4
1759,4
1760,3
1761,3
1762,3
1763,2
1764,3
1765,4
1766,4
1767,3
1768,4
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,7
1776,4
1777,2
1778,2
1779,7
1780,4
1781,4
1782,2
1783,4
1784,4
1785,2
1786,4
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,4
1794,4
1795,3
1796,2
1797,4
1798,4
1799,4
1800,4
1801,4
1802,3
1803,4
1804,3
1805,2
1806,3
1807,4
1808,4
1809,2
1810,4
1811,4
1812,4
1813,3
1814,4
1815,4
1816,2
1817,7
1818,4
1819,3
1820,4
1821,7
1822,4
1823,3
1824,7
1825,4
1826,4
1827,4
1828,4
1829,4
1830,7
1831,4
1832,4
1833,3
1834,4
1835,4
1836,4
1837,4
1838,4
1839,4
1840,3
1841,4
1842,4
1843,4
1844,4
1845,2
1846,4
1847,4
1848,2
1849,4
1850,7
1851,4
1852,4
1853,4
1854,4
1855,4
1856,2
1857,4
1858,2
1859,3
1860,4
1861,4
1862,2
1863,3
1864,2
1865,2
1866,4
1867,4
1868,4
1869,4
1870,4
1871,4
1872,4
1873,4
1874,3
1875,4
1876,4
1877,2
1878,4
1879,3
1880,3
1881,4
1882,3
1883,4
1884,4
1885,7
1886,4
1887,7
1888,4
1889,2
1890,3
1891,2
1892,2
1893,2
1894,3
1895,4
1896,4
1897,4
1898,4
1899,4
1900,4
1901,4
1902,4
1903,4
1904,4
1905,3
1906,3
1907,7
1908,7
1909,4
1910,4
1911,3
1912,4
1913,4
1914,4
1915,4
1916,4
1917,4
1918,4
1919,4
1920,3
1921,4
1922,3
1923,3
1924,3
1925,2
1926,2
1927,4
1928,3
1929,2
1930,4
1931,4
1932,2
1933,3
1934,4
1935,4
1936,3
1937,4
1938,2
1939,2
1940,4
1941,2
1942,2
1943,4
1944,4
1945,3
1946,4
1947,3
1948,3
1949,4
1950,4
1951,4
1952,4
1953,4
1954,4
1955,4
1956,4
1957,4
1958,4
1959,4
1960,4
1961,3
1962,4
1963,4
1964,2
1965,4
1966,4
1967,4
1968,4
1969,4
1970,4
1971,3
1972,4
1973,4
1974,4
1975,3
1976,4
1977,7
1978,4
1979,3
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1987,4
1988,4
1989,7
1990,7
1991,3
1992,4
1993,4
1994,4
1995,3
1996,3
1997,4
1998,4
1999,3
2000,4
2001,4
2002,2
2003,4
2004,4
2005,7
2006,4
2007,3
2008,4
2009,4
2010,4
2011,2
2012,4
2013,4
2014,2
2015,2
2016,4
2017,4
2018,4
2019,2
2020,4
2021,4
2022,4
2023,4
2024,4
2025,4
2026,7
2027,4
2028,4
2029,4
2030,4
2031,4
2032,4
2033,4
2034,4
2035,4
2036,2
2037,3
2038,3
2039,3
2040,3
2041,4
2042,4
2043,4
2044,3
2045,4
2046,4
2047,3
2048,4
2049,4
2050,4
2051,4
2052,4
2053,3
2054,4
2055,4
2056,4
2057,4
2058,4
2059,2
2060,4
2061,4
2062,2
2063,4
2064,3
2065,4
2066,4
2067,4
2068,3
2069,3
2070,4
2071,7
2072,4
2073,4
2074,2
2075,2
2076,4
2077,4
2078,4
2079,4
2080,3
2081,4
2082,4
2083,4
2084,4
2085,4
2086,7
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,4
2097,4
2098,4
2099,4
2100,4
2101,4
2102,4
2103,4
2104,4
2105,2
2106,3
2107,4
2108,2
2109,4
2110,4
2111,4
2112,3
2113,4
2114,3
2115,4
2116,4
2117,4
2118,4
2119,4
2120,4
2121,3
2122,4
2123,3
2124,3
2125,3
2126,4
2127,4
2128,4
2129,4
2130,4
2131,4
2132,4
2133,4
2134,4
2135,3
2136,4
2137,2
2138,4
2139,4
2140,7
2141,4
2142,4
2143,4
2144,3
2145,4
2146,3
2147,3
2148,3
2149,4
2150,4
2151,4
2152,2
2153,3
2154,4
2155,4
2156,3
2157,4
2158,3
2159,4
2160,4
2161,4
2162,4
2163,4
2164,3
2165,3
2166,2
2167,4
2168,4
2169,4
2170,3
2171,4
2172,4
2173,4
2174,4
2175,4
2176,4
2177,3
2178,2
2179,4
2180,4
2181,4
2182,4
2183,4
2184,4
2185,4
2186,7
2187,4
2188,2
2189,4
2190,3
2191,4
2192,4
2193,4
2194,4
2195,4
2196,3
2197,3
2198,4
2199,4
2200,4
2201,4
2202,4
2203,4
2204,4
2205,4
2206,4
2207,3
2208,4
2209,4
2210,4
2211,4
2212,4
2213,3
2214,4
2215,4
2216,3
2217,4
2218,3
2219,4
2220,3
2221,3
2222,2
2223,4
2224,4
2225,4
2226,3
2227,7
2228,4
2229,3
2230,2
2231,4
2232,7
2233,4
2234,4
2235,3
2236,4
2237,4
2238,4
2239,2
2240,2
2241,2
2242,2
2243,2
2244,4
2245,4
2246,3
2247,4
2248,4
2249,4
2250,4
2251,3
2252,4
2253,4
2254,4
2255,4
2256,3
2257,4
2258,3
2259,4
2260,4
2261,3
2262,3
2263,4
2264,4
2265,4
2266,3
2267,3
2268,7
2269,4
2270,4
2271,3
2272,4
2273,4
2274,3
2275,4
2276,4
2277,3
2278,4
2279,4
2280,4
2281,3
2282,4
2283,3
2284,4
2285,4
2286,4
2287,4
2288,3
2289,4
2290,4
2291,3
2292,4
2293,4
2294,4
2295,4
2296,4
2297,2
2298,4
2299,4
2300,4
2301,4
2302,4
2303,4
2304,3
2305,2
2306,3
2307,4
2308,4
2309,4
2310,4
2311,3
2312,3
2313,4
2314,4
2315,4
2316,3
2317,4
2318,3
2319,4
2320,4
2321,2
2322,4
2323,2
2324,4
2325,4
2326,3
2327,4
2328,4
2329,4
2330,4
2331,4
2332,4
2333,3
2334,4
2335,4
2336,4
2337,4
2338,4
2339,4
2340,4
2341,4
2342,4
2343,3
2344,3
2345,2
2346,4
2347,3
2348,4
2349,4
2350,4
2351,3
2352,4
2353,4
2354,4
2355,4
2356,4
2357,4
2358,4
2359,3
2360,4
2361,4
2362,3
2363,3
2364,4
2365,4
2366,3
2367,4
2368,4
2369,4
2370,4
2371,4
2372,4
2373,4
2374,4
2375,4
2376,3
2377,4
2378,4
2379,4
2380,4
2381,4
2382,4
2383,4
2384,4
2385,4
2386,4
2387,4
2388,4
2389,4
2390,4
2391,4
2392,3
2393,4
2394,4
2395,4
2396,4
2397,4
2398,4
2399,4
2400,4
