R,mexican
269,3
270,3
271,3
272,3
273,4
274,2
275,5
276,9
277,4
278,2
279,4
280,9
281,4
282,5
283,9
284,5
285,5
286,4
287,2
288,5
289,5
290,4
291,4
292,9
293,3
294,4
295,2
296,4
297,4
298,4
299,4
300,3
301,4
302,9
303,4
304,4
305,4
306,4
307,4
308,5
309,2
310,9
311,9
312,4
313,2
314,9
315,5
316,9
317,3
318,5
319,5
320,2
321,9
322,4
323,9
324,2
325,4
326,9
327,5
328,9
329,5
330,9
331,4
332,9
333,4
334,9
335,4
336,9
337,4
338,3
339,9
340,9
341,4
342,3
343,9
344,4
345,2
346,5
347,4
348,4
349,3
350,5
351,3
352,4
353,9
354,9
355,3
356,3
357,9
358,5
359,9
360,4
361,9
362,4
363,3
364,9
365,5
366,3
367,5
368,3
369,9
370,9
371,9
372,3
373,5
374,4
375,4
376,4
377,9
378,9
379,9
380,9
381,4
382,9
383,5
384,5
385,9
386,3
387,3
388,5
389,2
390,3
391,2
392,9
393,9
394,9
395,9
396,2
397,3
398,5
399,3
400,4
401,9
402,5
403,5
404,5
405,9
406,9
407,5
408,4
409,5
410,3
411,9
412,9
413,3
414,9
415,5
416,9
417,5
418,3
419,3
420,5
421,9
422,5
423,4
424,3
425,3
426,9
427,3
428,9
429,3
430,4
431,3
432,3
433,4
434,9
435,9
436,9
437,3
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,4
447,4
448,4
449,2
450,5
451,3
452,9
453,3
454,9
455,3
456,3
457,4
458,4
459,3
460,4
461,2
462,3
463,9
464,9
465,3
466,5
467,9
468,4
469,3
470,9
471,9
472,9
473,9
474,3
475,3
476,9
477,9
478,9
479,5
480,5
481,4
482,4
483,9
484,4
485,4
486,5
487,3
488,5
489,2
490,2
491,2
492,3
493,3
494,3
495,4
496,5
497,5
498,9
499,5
500,5
501,9
502,3
503,5
504,9
505,9
506,3
507,9
508,5
509,2
510,9
511,9
512,9
513,9
514,4
515,9
516,4
517,3
518,9
519,4
520,9
521,4
522,4
523,2
524,2
525,3
526,3
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,9
535,9
536,5
537,3
538,4
539,2
540,5
541,9
542,9
543,4
544,3
545,9
546,4
547,5
548,5
549,5
550,5
551,4
552,9
553,3
554,2
555,2
556,9
557,4
558,3
559,5
560,3
561,3
562,3
563,9
564,2
565,4
566,5
567,5
568,4
569,3
570,5
571,3
572,2
573,9
574,5
575,9
576,4
577,4
578,5
579,9
580,4
581,5
582,4
583,5
584,4
585,4
586,9
587,5
588,5
589,5
590,5
591,5
592,2
593,3
594,3
595,3
596,3
597,9
598,2
599,5
600,5
601,5
602,9
603,5
604,4
605,3
606,2
607,2
608,2
609,5
610,9
611,2
612,5
613,2
614,4
615,5
616,9
617,5
618,2
619,3
620,9
621,4
622,2
623,4
624,3
625,2
626,4
627,9
628,9
629,3
630,4
631,4
632,3
633,3
634,5
635,9
636,4
637,3
638,4
639,5
640,9
641,9
642,5
643,5
644,3
645,9
646,3
647,2
648,2
649,5
650,4
651,4
652,5
653,9
654,4
655,2
656,5
657,3
658,4
659,4
660,9
661,4
662,9
663,5
664,4
665,2
666,5
667,2
668,2
669,2
670,2
671,2
672,2
673,3
674,5
675,4
676,2
677,3
678,3
679,2
680,2
681,2
682,2
683,2
684,9
685,3
686,5
687,5
688,5
689,4
690,4
691,5
692,4
693,9
694,2
695,3
696,9
697,3
698,5
699,3
700,9
701,4
702,4
703,2
704,4
705,5
706,2
707,2
708,2
709,5
710,5
711,4
712,4
713,3
714,3
715,9
716,5
717,9
718,9
719,5
720,3
721,9
722,5
723,5
724,2
725,5
726,9
727,9
728,4
729,3
730,3
731,5
732,9
733,2
734,2
735,3
736,2
737,9
738,5
739,3
740,2
741,2
742,9
743,4
744,5
745,5
746,9
747,3
748,2
749,9
750,2
751,9
752,3
753,4
754,4
755,4
756,9
757,2
758,2
759,4
760,9
761,4
762,9
763,9
764,3
765,4
766,3
767,3
768,9
769,2
770,2
771,2
772,5
773,4
774,2
775,3
776,9
777,5
778,2
779,5
780,5
781,3
782,4
783,2
784,4
785,5
786,4
787,5
788,3
789,9
790,4
791,9
792,9
793,9
794,3
795,9
796,3
797,5
798,9
799,5
800,3
801,2
802,4
803,9
804,5
805,9
806,2
807,2
808,2
809,2
810,2
811,5
812,3
813,5
814,5
815,3
816,2
817,4
818,5
819,5
820,5
821,9
822,9
823,2
824,3
825,2
826,9
827,5
828,5
829,2
830,5
831,5
832,5
833,4
834,5
835,4
836,9
837,9
838,2
839,2
840,2
841,5
842,5
843,1
844,2
845,9
846,9
847,9
848,2
849,4
850,3
851,2
852,3
853,5
854,9
855,9
856,3
857,3
858,9
859,3
860,2
861,9
862,3
863,2
864,3
865,2
866,4
867,5
868,4
869,9
870,5
871,3
872,2
873,4
874,2
875,3
876,5
877,5
878,4
879,4
880,3
881,3
882,3
883,5
884,3
885,2
886,3
887,9
888,9
889,2
890,9
891,9
892,2
893,3
894,2
895,2
896,9
897,4
898,9
899,5
900,9
901,9
902,5
903,5
904,9
905,3
906,3
907,4
908,9
909,9
910,3
911,9
912,4
913,5
914,5
915,5
916,5
917,5
918,3
919,5
920,5
921,5
922,4
923,2
924,9
925,2
926,2
927,2
928,4
929,3
930,5
931,5
932,5
933,5
934,4
935,9
936,4
937,5
938,2
939,9
940,2
941,3
942,2
943,3
944,9
945,4
946,3
947,9
948,3
949,2
950,2
951,2
952,3
953,2
954,3
955,9
956,9
957,9
958,2
959,5
960,9
961,4
962,9
963,4
964,9
965,2
966,9
967,9
968,4
969,9
970,9
971,3
972,2
973,3
974,4
975,3
976,5
977,2
978,3
979,5
980,4
981,4
982,5
983,4
984,9
985,5
986,9
987,3
988,5
989,3
990,9
991,2
992,2
993,9
994,3
995,3
996,5
997,3
998,9
999,5
1000,3
1001,9
1002,9
1003,4
1004,3
1005,3
1006,3
1007,9
1008,3
1009,5
1010,4
1011,9
1012,2
1013,5
1014,4
1015,3
1016,2
1017,5
1018,3
1019,2
1020,4
1021,4
1022,3
1023,5
1024,9
1025,9
1026,3
1027,3
1028,5
1029,2
1030,4
1031,5
1032,5
1033,9
1034,5
1035,5
1036,3
1037,3
1038,3
1039,3
1040,3
1041,9
1042,4
1043,4
1044,5
1045,3
1046,5
1047,2
1048,5
1049,2
1050,2
1051,2
1052,9
1053,5
1054,5
1055,5
1056,2
1057,3
1058,2
1059,3
1060,4
1061,5
1062,5
1063,3
1064,4
1065,3
1066,2
1067,2
1068,2
1069,5
1070,5
1071,3
1072,5
1073,2
1074,2
1075,5
1076,5
1077,4
1078,5
1079,4
1080,2
1081,5
1082,5
1083,5
1084,9
1085,2
1086,2
1087,2
1088,3
1089,3
1090,5
1091,5
1092,5
1093,5
1094,5
1095,2
1096,2
1097,5
1098,3
1099,9
1100,3
1101,3
1102,3
1103,5
1104,4
1105,4
1106,3
1107,2
1108,9
1109,3
1110,4
1111,5
1112,4
1113,4
1114,2
1115,2
1116,2
1117,5
1118,5
1119,9
1120,5
1121,5
1122,9
1123,3
1124,2
1125,3
1126,4
1127,3
1128,2
1129,5
1130,9
1131,5
1132,9
1133,5
1134,5
1135,4
1136,2
1137,3
1138,3
1139,9
1140,4
1141,2
1142,5
1143,4
1144,2
1145,9
1146,2
1147,3
1148,5
1149,9
1150,9
1151,4
1152,4
1153,4
1154,5
1155,9
1156,5
1157,9
1158,3
1159,4
1160,5
1161,3
1162,3
1163,3
1164,9
1165,3
1166,3
1167,5
1168,9
1169,2
1170,5
1171,3
1172,2
1173,9
1174,9
1175,5
1176,5
1177,2
1178,3
1179,9
1180,9
1181,2
1182,9
1183,9
1184,4
1185,3
1186,3
1187,4
1188,4
1189,2
1190,4
1191,5
1192,5
1193,9
1194,5
1195,5
1196,5
1197,3
1198,5
1199,5
1200,5
1201,5
1202,5
1203,5
1204,4
1205,3
1206,3
1207,3
1208,4
1209,2
1210,9
1211,5
1212,9
1213,4
1214,2
1215,4
1216,3
1217,3
1218,5
1219,5
1220,5
1221,5
1222,5
1223,3
1224,3
1225,5
1226,4
1227,4
1228,2
1229,9
1230,2
1231,3
1232,2
1233,2
1234,3
1235,5
1236,2
1237,4
1238,5
1239,3
1240,3
1241,2
1242,5
1243,9
1244,4
1245,5
1246,5
1247,2
1248,9
1249,4
1250,9
1251,9
1252,4
1253,3
1254,3
1255,3
1256,5
1257,4
1258,2
1259,2
1260,9
1261,9
1262,5
1263,5
1264,9
1265,5
1266,9
1267,2
1268,9
1269,9
1270,2
1271,3
1272,5
1273,4
1274,5
1275,3
1276,4
1277,9
1278,5
1279,9
1280,9
1281,5
1282,4
1283,4
1284,3
1285,5
1286,2
1287,2
1288,2
1289,9
1290,2
1291,5
1292,2
1293,9
1294,4
1295,3
1296,5
1297,2
1298,3
1299,5
1300,4
1301,2
1302,5
1303,3
1304,2
1305,2
1306,2
1307,3
1308,9
1309,4
1310,3
1311,5
1312,5
1313,3
1314,5
1315,5
1316,5
1317,9
1318,9
1319,2
1320,4
1321,3
1322,5
1323,3
1324,3
1325,2
1326,3
1327,9
1328,2
1329,9
1330,4
1331,5
1332,9
1333,3
1334,5
1335,2
1336,9
1337,9
1338,9
1339,4
1340,2
1341,2
1342,2
1343,5
1344,2
1345,5
1346,2
1347,5
1348,5
1349,5
1350,2
1351,3
1352,9
1353,9
1354,5
1355,2
1356,3
1357,2
1358,3
1359,3
1360,4
1361,9
1362,5
1363,9
1364,5
1365,3
1366,5
1367,5
1368,9
1369,3
1370,9
1371,2
1372,2
1373,2
1374,9
1375,2
1376,9
1377,2
1378,2
1379,1
1380,2
1381,2
1382,2
1383,9
1384,5
1385,3
1386,2
1387,5
1388,4
1389,2
1390,3
1391,5
1392,5
1393,5
1394,2
1395,2
1396,9
1397,4
1398,2
1399,9
1400,4
1401,2
1402,3
1403,5
1404,5
1405,4
1406,5
1407,5
1408,5
1409,5
1410,5
1411,5
1412,5
1413,5
1414,3
1415,2
1416,5
1417,9
1418,9
1419,2
1420,5
1421,5
1422,4
1423,2
1424,2
1425,2
1426,5
1427,5
1428,3
1429,3
1430,9
1431,4
1432,9
1433,5
1434,5
1435,2
1436,2
1437,5
1438,9
1439,5
1440,3
1441,9
1442,5
1443,2
1444,5
1445,5
1446,3
1447,9
1448,9
1449,9
1450,3
1451,4
1452,9
1453,5
1454,5
1455,2
1456,2
1457,5
1458,3
1459,3
1460,5
1461,9
1462,9
1463,2
1464,2
1465,5
1466,2
1467,3
1468,9
1469,3
1470,5
1471,2
1472,2
1473,5
1474,9
1475,3
1476,5
1477,3
1478,5
1479,9
1480,3
1481,2
1482,5
1483,5
1484,9
1485,2
1486,5
1487,9
1488,5
1489,2
1490,9
1491,9
1492,4
1493,2
1494,9
1495,3
1496,9
1497,2
1498,5
1499,3
1500,2
1501,9
1502,2
1503,3
1504,9
1505,5
1506,3
1507,4
1508,5
1509,5
1510,2
1511,2
1512,2
1513,5
1514,5
1515,3
1516,5
1517,4
1518,9
1519,3
1520,3
1521,5
1522,3
1523,5
1524,5
1525,9
1526,5
1527,5
1528,5
1529,9
1530,9
1531,9
1532,3
1533,5
1534,9
1535,2
1536,5
1537,2
1538,3
1539,3
1540,2
1541,9
1542,3
1543,4
1544,3
1545,9
1546,5
1547,5
1548,4
1549,3
1550,5
1551,2
1552,3
1553,5
1554,5
1555,9
1556,9
1557,3
1558,2
1559,3
1560,5
1561,5
1562,2
1563,2
1564,3
1565,9
1566,3
1567,9
1568,3
1569,3
1570,5
1571,3
1572,5
1573,3
1574,5
1575,9
1576,3
1577,5
1578,9
1579,5
1580,5
1581,5
1582,3
1583,3
1584,5
1585,3
1586,5
1587,5
1588,5
1589,9
1590,9
1591,3
1592,5
1593,9
1594,5
1595,5
1596,3
1597,2
1598,4
1599,3
1600,5
1601,3
1602,3
1603,3
1604,5
1605,2
1606,2
1607,2
1608,2
1609,2
1610,2
1611,5
1612,9
1613,9
1614,3
1615,5
1616,3
1617,3
1618,2
1619,2
1620,2
1621,9
1622,9
1623,2
1624,3
1625,5
1626,2
1627,9
1628,5
1629,3
1630,4
1631,2
1632,5
1633,3
1634,9
1635,5
1636,5
1637,5
1638,5
1639,5
1640,5
1641,3
1642,3
1643,9
1644,9
1645,3
1646,9
1647,9
1648,2
1649,2
1650,5
1651,5
1652,2
1653,3
1654,5
1655,9
1656,2
1657,5
1658,3
1659,5
1660,5
1661,5
1662,9
1663,3
1664,3
1665,5
1666,2
1667,5
1668,2
1669,5
1670,5
1671,5
1672,5
1673,5
1674,5
1675,2
1676,5
1677,5
1678,4
1679,5
1680,5
1681,5
1682,3
1683,3
1684,2
1685,5
1686,2
1687,9
1688,2
1689,3
1690,9
1691,2
1692,3
1693,5
1694,5
1695,5
1696,2
1697,2
1698,2
1699,5
1700,9
1701,9
1702,9
1703,3
1704,4
1705,3
1706,5
1707,4
1708,2
1709,2
1710,3
1711,2
1712,2
1713,5
1714,5
1715,9
1716,3
1717,5
1718,3
1719,3
1720,2
1721,5
1722,5
1723,2
1724,3
1725,5
1726,5
1727,2
1728,9
1729,2
1730,9
1731,5
1732,3
1733,2
1734,3
1735,2
1736,2
1737,5
1738,5
1739,5
1740,4
1741,4
1742,2
1743,3
1744,2
1745,2
1746,5
1747,4
1748,2
1749,9
1750,9
1751,4
1752,9
1753,5
1754,2
1755,9
1756,3
1757,5
1758,5
1759,3
1760,5
1761,3
1762,5
1763,5
1764,3
1765,5
1766,2
1767,9
1768,5
1769,9
1770,5
1771,2
1772,5
1773,9
1774,9
1775,5
1776,5
1777,5
1778,3
1779,3
1780,5
1781,3
1782,2
1783,5
1784,3
1785,9
1786,9
1787,2
1788,5
1789,3
1790,5
1791,5
1792,5
1793,9
1794,9
1795,2
1796,5
1797,5
1798,9
1799,5
1800,3
1801,5
1802,9
1803,3
1804,9
1805,3
1806,2
1807,2
1808,9
1809,4
1810,5
1811,2
1812,3
1813,2
1814,5
1815,5
1816,5
1817,9
1818,5
1819,9
1820,5
1821,9
1822,2
1823,2
1824,2
1825,2
1826,5
1827,2
1828,4
1829,9
1830,2
1831,2
1832,5
1833,5
1834,3
1835,5
1836,5
1837,9
1838,3
1839,3
1840,3
1841,5
1842,9
1843,2
1844,5
1845,2
1846,2
1847,9
1848,9
1849,5
1850,4
1851,3
1852,5
1853,9
1854,5
1855,5
1856,5
1857,5
1858,2
1859,2
1860,2
1861,9
1862,3
1863,5
1864,2
1865,4
1866,3
1867,5
1868,5
1869,5
1870,3
1871,5
1872,5
1873,3
1874,9
1875,5
1876,2
1877,3
1878,5
1879,5
1880,3
1881,5
1882,5
1883,5
1884,2
1885,9
1886,2
1887,2
1888,3
1889,5
1890,5
1891,3
1892,2
1893,5
1894,3
1895,2
1896,2
1897,3
1898,2
1899,5
1900,2
1901,5
1902,3
1903,5
1904,5
1905,5
1906,3
1907,2
1908,4
1909,2
1910,9
1911,2
1912,3
1913,2
1914,9
1915,5
1916,5
1917,5
1918,5
1919,2
1920,9
1921,3
1922,5
1923,3
1924,3
1925,3
1926,2
1927,5
1928,9
1929,4
1930,9
1931,3
1932,3
1933,5
1934,4
1935,9
1936,2
1937,9
1938,9
1939,5
1940,2
1941,3
1942,9
1943,5
1944,3
1945,2
1946,3
1947,9
1948,3
1949,3
1950,2
1951,5
1952,3
1953,9
1954,9
1955,5
1956,5
1957,3
1958,2
1959,2
1960,5
1961,3
1962,5
1963,5
1964,5
1965,5
1966,5
1967,9
1968,2
1969,5
1970,5
1971,9
1972,9
1973,5
1974,2
1975,9
1976,5
1977,5
1978,9
1979,3
1980,5
1981,2
1982,2
1983,5
1984,9
1985,2
1986,9
1987,5
1988,2
1989,5
1990,5
1991,3
1992,5
1993,5
1994,5
1995,5
1996,5
1997,9
1998,5
1999,9
2000,5
2001,3
2002,4
2003,5
2004,9
2005,5
2006,5
2007,5
2008,3
2009,9
2010,2
2011,5
2012,9
2013,3
2014,5
2015,5
2016,5
2017,9
2018,5
2019,9
2020,2
2021,9
2022,2
2023,5
2024,2
2025,3
2026,2
2027,3
2028,3
2029,3
2030,9
2031,2
2032,2
2033,2
2034,9
2035,9
2036,5
2037,9
2038,9
2039,5
2040,3
2041,5
2042,5
2043,5
2044,5
2045,3
2046,2
2047,5
2048,5
2049,5
2050,5
2051,2
2052,2
2053,5
2054,5
2055,3
2056,2
2057,2
2058,3
2059,5
2060,3
2061,2
2062,3
2063,3
2064,5
2065,9
2066,5
2067,3
2068,9
2069,5
2070,5
2071,2
2072,5
2073,2
2074,5
2075,5
2076,5
2077,2
2078,2
2079,5
2080,2
2081,2
2082,3
2083,2
2084,2
2085,5
2086,3
2087,3
2088,5
2089,3
2090,5
2091,5
2092,5
2093,2
2094,5
2095,9
2096,3
2097,2
2098,3
2099,9
2100,9
2101,5
2102,5
2103,5
2104,2
2105,5
2106,5
2107,9
2108,2
2109,3
2110,5
2111,5
2112,9
2113,5
2114,3
2115,5
2116,2
2117,2
2118,3
2119,5
2120,3
2121,2
2122,9
2123,2
2124,3
2125,5
2126,5
2127,5
2128,5
2129,3
2130,2
2131,2
2132,2
2133,3
2134,5
2135,9
2136,5
2137,3
2138,9
2139,5
2140,3
2141,5
2142,5
2143,2
2144,3
2145,5
2146,5
2147,5
2148,5
2149,5
2150,5
2151,3
2152,5
2153,9
2154,3
2155,3
2156,3
2157,5
2158,9
2159,2
2160,5
2161,5
2162,5
2163,2
2164,2
2165,5
2166,4
2167,5
2168,9
2169,5
2170,2
2171,5
2172,5
2173,3
2174,2
2175,3
2176,3
2177,5
2178,5
2179,5
2180,5
2181,4
2182,5
2183,5
2184,5
2185,2
2186,5
2187,3
2188,3
2189,5
2190,5
2191,3
2192,3
2193,2
2194,2
2195,5
2196,5
2197,2
2198,4
2199,2
2200,2
2201,5
2202,2
2203,5
2204,9
2205,2
2206,9
2207,2
2208,5
2209,2
2210,3
2211,5
2212,3
2213,2
2214,2
2215,5
2216,5
2217,5
2218,9
2219,3
2220,2
2221,3
2222,5
2223,3
2224,2
2225,3
2226,3
2227,5
2228,3
2229,2
2230,5
2231,3
2232,5
2233,2
2234,5
2235,5
2236,5
2237,5
2238,3
2239,9
2240,5
2241,5
2242,5
2243,5
2244,5
2245,5
2246,3
2247,5
2248,5
2249,2
2250,3
2251,3
2252,5
2253,5
2254,5
2255,5
2256,3
2257,3
2258,3
2259,5
2260,3
2261,5
2262,9
2263,5
2264,5
2265,5
2266,5
2267,2
2268,2
2269,5
2270,5
2271,5
2272,9
2273,5
2274,2
2275,5
2276,5
2277,2
2278,2
2279,9
2280,5
2281,9
2282,5
2283,3
2284,5
2285,5
2286,5
2287,9
2288,3
2289,5
2290,5
2291,2
2292,5
2293,3
2294,9
2295,3
2296,3
2297,5
2298,3
2299,2
2300,5
2301,5
2302,5
2303,3
2304,3
2305,5
2306,9
2307,9
2308,2
2309,5
2310,2
2311,5
2312,5
2313,5
2314,2
2315,2
2316,9
2317,5
2318,2
2319,2
2320,5
2321,5
2322,3
2323,5
2324,5
2325,2
2326,2
2327,5
2328,5
2329,5
2330,5
2331,5
2332,5
2333,2
2334,5
2335,3
2336,5
2337,2
2338,5
2339,3
2340,3
2341,2
2342,5
2343,3
2344,2
2345,5
2346,5
2347,9
2348,5
2349,9
2350,5
2351,5
2352,5
2353,2
2354,5
2355,5
2356,5
2357,3
2358,5
2359,3
2360,5
2361,5
2362,5
2363,3
2364,3
2365,5
2366,3
2367,2
2368,5
2369,5
2370,5
2371,9
2372,3
2373,5
2374,2
2375,2
2376,5
2377,2
2378,2
2379,2
2380,5
2381,2
2382,5
2383,5
2384,5
2385,3
2386,2
2387,5
2388,3
2389,5
2390,3
2391,5
2392,5
2393,9
2394,9
2395,5
2396,3
2397,5
2398,2
2399,5
2400,5
