R,greek
335,4
336,7
337,2
338,7
339,7
340,7
341,3
342,4
343,7
344,7
345,4
346,4
347,4
348,7
349,4
350,4
351,4
352,2
353,2
354,7
355,4
356,7
357,4
358,4
359,2
360,7
361,2
362,4
363,2
364,7
365,4
366,2
367,4
368,4
369,7
370,4
371,7
372,7
373,4
374,2
375,2
376,7
377,4
378,2
379,7
380,7
381,4
382,7
383,4
384,7
385,7
386,2
387,2
388,7
389,2
390,4
391,4
392,4
393,2
394,2
395,2
396,4
397,7
398,4
399,2
400,4
401,4
402,4
403,4
404,4
405,2
406,7
407,4
408,4
409,4
410,2
411,7
412,4
413,2
414,7
415,4
416,2
417,4
418,2
419,7
420,2
421,2
422,4
423,4
424,4
425,4
426,7
427,2
428,7
429,4
430,7
431,4
432,4
433,7
434,2
435,7
436,4
437,4
438,4
439,4
440,2
441,7
442,2
443,4
444,4
445,4
446,4
447,2
448,2
449,2
450,4
451,7
452,7
453,7
454,2
455,7
456,7
457,2
458,4
459,2
460,4
461,2
462,4
463,7
464,7
465,2
466,4
467,4
468,4
469,2
470,7
471,7
472,2
473,2
474,2
475,7
476,7
477,2
478,2
479,4
480,4
481,7
482,7
483,4
484,2
485,4
486,4
487,7
488,4
489,4
490,7
491,4
492,2
493,7
494,7
495,4
496,7
497,4
498,7
499,7
500,7
501,7
502,2
503,4
504,2
505,7
506,7
507,4
508,4
509,4
510,7
511,7
512,4
513,4
514,2
515,4
516,7
517,7
518,4
519,2
520,4
521,2
522,4
523,4
524,4
525,4
526,4
527,2
528,4
529,2
530,7
531,4
532,4
533,4
534,4
535,4
536,4
537,4
538,4
539,4
540,4
541,2
542,4
543,4
544,4
545,2
546,4
547,4
548,4
549,4
550,4
551,4
552,2
553,2
554,4
555,2
556,7
557,2
558,2
559,4
560,7
561,2
562,2
563,4
564,4
565,2
566,2
567,4
568,7
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,2
577,7
578,4
579,2
580,2
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,7
590,7
591,7
592,2
593,4
594,7
595,2
596,2
597,4
598,7
599,7
600,7
601,7
602,7
603,7
604,4
605,2
606,2
607,2
608,2
609,4
610,2
611,4
612,4
613,4
614,7
615,4
616,7
617,4
618,4
619,4
620,4
621,4
622,2
623,7
624,4
625,4
626,2
627,2
628,4
629,4
630,2
631,2
632,7
633,4
634,4
635,2
636,7
637,4
638,4
639,4
640,7
641,4
642,4
643,4
644,4
645,2
646,2
647,3
648,4
649,4
650,2
651,4
652,4
653,2
654,4
655,4
656,4
657,2
658,2
659,7
660,7
661,2
662,4
663,4
664,2
665,7
666,4
667,4
668,4
669,4
670,4
671,4
672,3
673,2
674,2
675,4
676,4
677,7
678,7
679,3
680,4
681,4
682,4
683,2
684,2
685,4
686,4
687,4
688,4
689,7
690,7
691,7
692,2
693,4
694,4
695,4
696,4
697,2
698,4
699,4
700,2
701,2
702,2
703,2
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,2
712,7
713,2
714,4
715,2
716,4
717,2
718,4
719,4
720,2
721,2
722,4
723,7
724,4
725,7
726,4
727,2
728,2
729,2
730,2
731,4
732,2
733,4
734,2
735,7
736,2
737,4
738,4
739,7
740,7
741,4
742,4
743,7
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,2
752,7
753,7
754,7
755,7
756,2
757,4
758,4
759,2
760,7
761,2
762,2
763,7
764,4
765,7
766,2
767,2
768,7
769,4
770,2
771,2
772,4
773,2
774,4
775,7
776,4
777,4
778,2
779,4
780,4
781,7
782,2
783,4
784,4
785,4
786,4
787,4
788,2
789,2
790,4
791,2
792,7
793,4
794,2
795,7
796,2
797,4
798,7
799,7
800,2
801,2
802,2
803,7
804,4
805,2
806,7
807,4
808,4
809,4
810,4
811,7
812,4
813,4
814,4
815,4
816,2
817,4
818,4
819,4
820,4
821,7
822,4
823,4
824,4
825,4
826,2
827,4
828,4
829,4
830,4
831,4
832,4
833,2
834,7
835,2
836,3
837,4
838,2
839,4
840,7
841,4
842,4
843,4
844,4
845,4
846,2
847,2
848,4
849,2
850,2
851,2
852,4
853,2
854,2
855,7
856,7
857,2
858,7
859,2
860,4
861,7
862,4
863,4
864,4
865,4
866,2
867,4
868,2
869,4
870,2
871,2
872,4
873,7
874,4
875,4
876,4
877,4
878,3
879,2
880,2
881,4
882,2
883,4
884,2
885,4
886,7
887,4
888,4
889,2
890,7
891,4
892,4
893,7
894,4
895,4
896,2
897,7
898,7
899,7
900,4
901,4
902,4
903,4
904,7
905,7
906,2
907,4
908,4
909,4
910,2
911,2
912,2
913,4
914,4
915,4
916,4
917,2
918,4
919,4
920,4
921,4
922,7
923,4
924,7
925,7
926,2
927,4
928,2
929,2
930,4
931,4
932,7
933,4
934,4
935,2
936,2
937,4
938,4
939,4
940,4
941,2
942,2
943,7
944,7
945,4
946,7
947,4
948,4
949,4
950,4
951,4
952,2
953,4
954,2
955,7
956,4
957,2
958,4
959,4
960,7
961,2
962,2
963,7
964,4
965,4
966,4
967,4
968,7
969,2
970,2
971,2
972,4
973,7
974,4
975,7
976,4
977,4
978,4
979,2
980,2
981,7
982,4
983,7
984,4
985,4
986,2
987,4
988,4
989,2
990,4
991,4
992,4
993,2
994,4
995,2
996,4
997,7
998,2
999,4
1000,2
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,2
1011,4
1012,2
1013,7
1014,4
1015,4
1016,4
1017,4
1018,4
1019,4
1020,2
1021,7
1022,2
1023,4
1024,7
1025,4
1026,4
1027,4
1028,4
1029,4
1030,7
1031,4
1032,4
1033,2
1034,4
1035,4
1036,4
1037,2
1038,4
1039,4
1040,4
1041,4
1042,7
1043,2
1044,7
1045,2
1046,2
1047,4
1048,4
1049,4
1050,4
1051,4
1052,2
1053,4
1054,3
1055,4
1056,4
1057,7
1058,2
1059,4
1060,4
1061,4
1062,4
1063,4
1064,7
1065,2
1066,4
1067,2
1068,4
1069,4
1070,2
1071,4
1072,4
1073,4
1074,2
1075,4
1076,4
1077,7
1078,2
1079,2
1080,4
1081,4
1082,4
1083,4
1084,7
1085,4
1086,2
1087,4
1088,2
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,2
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,7
1105,4
1106,4
1107,2
1108,4
1109,2
1110,2
1111,4
1112,7
1113,7
1114,7
1115,4
1116,4
1117,7
1118,4
1119,4
1120,4
1121,7
1122,4
1123,2
1124,7
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,2
1136,4
1137,7
1138,4
1139,7
1140,4
1141,7
1142,4
1143,7
1144,7
1145,2
1146,2
1147,4
1148,4
1149,2
1150,4
1151,7
1152,7
1153,7
1154,4
1155,2
1156,4
1157,7
1158,2
1159,4
1160,4
1161,4
1162,7
1163,4
1164,2
1165,4
1166,4
1167,4
1168,4
1169,2
1170,4
1171,2
1172,4
1173,4
1174,7
1175,7
1176,7
1177,2
1178,4
1179,2
1180,2
1181,4
1182,4
1183,2
1184,2
1185,7
1186,4
1187,4
1188,2
1189,4
1190,4
1191,4
1192,4
1193,7
1194,4
1195,2
1196,7
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,4
1204,2
1205,4
1206,7
1207,7
1208,4
1209,2
1210,4
1211,4
1212,7
1213,2
1214,2
1215,4
1216,2
1217,7
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,2
1227,2
1228,7
1229,4
1230,4
1231,4
1232,4
1233,2
1234,2
1235,4
1236,4
1237,4
1238,7
1239,4
1240,7
1241,4
1242,4
1243,2
1244,4
1245,4
1246,7
1247,2
1248,7
1249,2
1250,4
1251,4
1252,2
1253,4
1254,4
1255,7
1256,4
1257,4
1258,4
1259,4
1260,4
1261,7
1262,7
1263,4
1264,4
1265,4
1266,2
1267,4
1268,2
1269,4
1270,4
1271,2
1272,4
1273,4
1274,7
1275,4
1276,7
1277,4
1278,4
1279,7
1280,2
1281,4
1282,2
1283,4
1284,2
1285,4
1286,2
1287,2
1288,4
1289,4
1290,2
1291,2
1292,4
1293,4
1294,4
1295,2
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,4
1306,2
1307,4
1308,7
1309,2
1310,4
1311,4
1312,7
1313,4
1314,4
1315,4
1316,4
1317,7
1318,4
1319,4
1320,2
1321,7
1322,4
1323,4
1324,4
1325,4
1326,4
1327,4
1328,2
1329,2
1330,2
1331,4
1332,4
1333,7
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,2
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,2
1350,7
1351,2
1352,4
1353,4
1354,4
1355,4
1356,4
1357,4
1358,7
1359,7
1360,4
1361,4
1362,4
1363,4
1364,4
1365,7
1366,4
1367,2
1368,2
1369,2
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,2
1377,4
1378,4
1379,4
1380,2
1381,2
1382,2
1383,4
1384,4
1385,4
1386,4
1387,4
1388,7
1389,4
1390,7
1391,7
1392,4
1393,2
1394,4
1395,4
1396,2
1397,4
1398,7
1399,2
1400,4
1401,4
1402,4
1403,4
1404,4
1405,2
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,7
1415,7
1416,4
1417,7
1418,4
1419,2
1420,4
1421,4
1422,2
1423,4
1424,4
1425,4
1426,4
1427,4
1428,2
1429,4
1430,4
1431,2
1432,2
1433,7
1434,2
1435,4
1436,4
1437,2
1438,7
1439,4
1440,4
1441,4
1442,4
1443,4
1444,7
1445,4
1446,4
1447,2
1448,4
1449,2
1450,4
1451,7
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,7
1461,4
1462,4
1463,4
1464,4
1465,4
1466,7
1467,2
1468,2
1469,7
1470,4
1471,4
1472,4
1473,4
1474,2
1475,4
1476,4
1477,4
1478,2
1479,7
1480,4
1481,4
1482,4
1483,4
1484,7
1485,7
1486,4
1487,4
1488,4
1489,4
1490,4
1491,7
1492,4
1493,4
1494,2
1495,7
1496,2
1497,4
1498,4
1499,2
1500,4
1501,4
1502,2
1503,4
1504,2
1505,4
1506,2
1507,4
1508,4
1509,4
1510,2
1511,4
1512,4
1513,7
1514,7
1515,2
1516,7
1517,2
1518,4
1519,2
1520,7
1521,2
1522,4
1523,2
1524,4
1525,2
1526,2
1527,4
1528,4
1529,7
1530,2
1531,4
1532,7
1533,4
1534,2
1535,2
1536,7
1537,2
1538,7
1539,2
1540,4
1541,4
1542,4
1543,2
1544,4
1545,7
1546,2
1547,7
1548,2
1549,4
1550,4
1551,4
1552,7
1553,4
1554,4
1555,2
1556,4
1557,4
1558,4
1559,2
1560,4
1561,4
1562,4
1563,4
1564,7
1565,7
1566,4
1567,2
1568,2
1569,4
1570,4
1571,7
1572,7
1573,2
1574,4
1575,4
1576,2
1577,4
1578,4
1579,4
1580,7
1581,4
1582,4
1583,2
1584,4
1585,4
1586,4
1587,4
1588,4
1589,2
1590,4
1591,2
1592,4
1593,4
1594,4
1595,4
1596,7
1597,2
1598,4
1599,2
1600,7
1601,4
1602,4
1603,7
1604,4
1605,2
1606,7
1607,2
1608,4
1609,2
1610,4
1611,4
1612,4
1613,4
1614,7
1615,7
1616,4
1617,4
1618,4
1619,4
1620,4
1621,7
1622,7
1623,4
1624,4
1625,4
1626,7
1627,4
1628,7
1629,4
1630,2
1631,4
1632,4
1633,7
1634,4
1635,4
1636,4
1637,4
1638,4
1639,4
1640,4
1641,4
1642,2
1643,7
1644,7
1645,2
1646,2
1647,4
1648,4
1649,4
1650,4
1651,4
1652,2
1653,4
1654,4
1655,7
1656,4
1657,4
1658,2
1659,4
1660,4
1661,4
1662,4
1663,4
1664,4
1665,4
1666,4
1667,7
1668,2
1669,4
1670,4
1671,4
1672,4
1673,4
1674,4
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,4
1682,4
1683,4
1684,2
1685,2
1686,4
1687,2
1688,4
1689,4
1690,4
1691,4
1692,4
1693,7
1694,4
1695,4
1696,7
1697,4
1698,4
1699,7
1700,2
1701,4
1702,4
1703,4
1704,2
1705,4
1706,2
1707,2
1708,4
1709,4
1710,7
1711,4
1712,2
1713,4
1714,7
1715,7
1716,4
1717,4
1718,7
1719,4
1720,4
1721,4
1722,7
1723,4
1724,2
1725,4
1726,7
1727,4
1728,4
1729,4
1730,2
1731,4
1732,7
1733,7
1734,2
1735,2
1736,4
1737,4
1738,4
1739,4
1740,7
1741,4
1742,4
1743,7
1744,2
1745,2
1746,4
1747,7
1748,2
1749,7
1750,7
1751,2
1752,2
1753,4
1754,4
1755,4
1756,4
1757,2
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,4
1769,4
1770,7
1771,4
1772,4
1773,4
1774,4
1775,4
1776,4
1777,4
1778,2
1779,4
1780,4
1781,4
1782,4
1783,4
1784,4
1785,4
1786,4
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,2
1794,4
1795,4
1796,4
1797,7
1798,4
1799,4
1800,4
1801,4
1802,2
1803,4
1804,4
1805,4
1806,4
1807,4
1808,4
1809,7
1810,4
1811,4
1812,4
1813,4
1814,4
1815,4
1816,4
1817,4
1818,4
1819,7
1820,4
1821,7
1822,7
1823,2
1824,7
1825,4
1826,4
1827,2
1828,4
1829,4
1830,4
1831,4
1832,4
1833,4
1834,4
1835,7
1836,4
1837,4
1838,2
1839,7
1840,4
1841,4
1842,4
1843,2
1844,4
1845,4
1846,7
1847,4
1848,4
1849,4
1850,7
1851,7
1852,4
1853,4
1854,4
1855,2
1856,4
1857,4
1858,7
1859,4
1860,7
1861,4
1862,2
1863,7
1864,2
1865,4
1866,4
1867,4
1868,4
1869,4
1870,4
1871,4
1872,4
1873,4
1874,4
1875,4
1876,4
1877,4
1878,4
1879,7
1880,2
1881,4
1882,4
1883,7
1884,4
1885,4
1886,4
1887,4
1888,4
1889,4
1890,4
1891,4
1892,4
1893,4
1894,7
1895,4
1896,4
1897,7
1898,4
1899,4
1900,4
1901,4
1902,4
1903,4
1904,2
1905,4
1906,2
1907,7
1908,7
1909,4
1910,2
1911,4
1912,4
1913,4
1914,4
1915,4
1916,4
1917,4
1918,4
1919,4
1920,4
1921,4
1922,4
1923,4
1924,4
1925,4
1926,2
1927,4
1928,4
1929,2
1930,4
1931,2
1932,7
1933,4
1934,2
1935,4
1936,2
1937,4
1938,4
1939,7
1940,4
1941,7
1942,4
1943,4
1944,4
1945,4
1946,2
1947,4
1948,4
1949,4
1950,4
1951,4
1952,4
1953,7
1954,4
1955,4
1956,4
1957,7
1958,4
1959,4
1960,4
1961,4
1962,4
1963,4
1964,4
1965,4
1966,4
1967,4
1968,4
1969,4
1970,4
1971,4
1972,4
1973,4
1974,4
1975,4
1976,2
1977,7
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1987,4
1988,4
1989,4
1990,4
1991,4
1992,4
1993,4
1994,2
1995,4
1996,4
1997,4
1998,4
1999,7
2000,4
2001,4
2002,7
2003,2
2004,4
2005,4
2006,4
2007,2
2008,4
2009,4
2010,7
2011,4
2012,4
2013,4
2014,4
2015,4
2016,4
2017,2
2018,4
2019,4
2020,7
2021,2
2022,4
2023,4
2024,4
2025,2
2026,4
2027,4
2028,4
2029,4
2030,7
2031,4
2032,4
2033,4
2034,4
2035,4
2036,2
2037,4
2038,2
2039,4
2040,4
2041,4
2042,7
2043,4
2044,7
2045,4
2046,4
2047,4
2048,4
2049,4
2050,4
2051,4
2052,4
2053,4
2054,4
2055,2
2056,2
2057,4
2058,4
2059,4
2060,4
2061,4
2062,4
2063,4
2064,4
2065,7
2066,4
2067,4
2068,4
2069,7
2070,4
2071,2
2072,4
2073,4
2074,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,4
2086,7
2087,4
2088,4
2089,2
2090,7
2091,4
2092,4
2093,4
2094,4
2095,4
2096,2
2097,4
2098,4
2099,4
2100,7
2101,4
2102,4
2103,4
2104,2
2105,4
2106,4
2107,2
2108,4
2109,4
2110,4
2111,4
2112,4
2113,4
2114,7
2115,4
2116,4
2117,7
2118,4
2119,4
2120,4
2121,2
2122,4
2123,4
2124,2
2125,7
2126,4
2127,4
2128,4
2129,4
2130,4
2131,4
2132,7
2133,4
2134,4
2135,7
2136,4
2137,7
2138,4
2139,2
2140,2
2141,4
2142,4
2143,7
2144,4
2145,4
2146,4
2147,4
2148,7
2149,4
2150,4
2151,4
2152,7
2153,7
2154,7
2155,4
2156,4
2157,7
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,4
2165,4
2166,4
2167,4
2168,4
2169,4
2170,4
2171,4
2172,7
2173,4
2174,4
2175,4
2176,4
2177,7
2178,4
2179,4
2180,4
2181,4
2182,4
2183,4
2184,4
2185,4
2186,4
2187,4
2188,7
2189,4
2190,7
2191,4
2192,7
2193,4
2194,4
2195,4
2196,4
2197,4
2198,4
2199,4
2200,2
2201,4
2202,4
2203,7
2204,4
2205,4
2206,4
2207,4
2208,4
2209,4
2210,4
2211,4
2212,4
2213,4
2214,4
2215,4
2216,4
2217,4
2218,7
2219,4
2220,4
2221,4
2222,4
2223,4
2224,4
2225,7
2226,4
2227,7
2228,4
2229,7
2230,4
2231,7
2232,4
2233,4
2234,4
2235,4
2236,7
2237,7
2238,7
2239,7
2240,4
2241,7
2242,4
2243,4
2244,7
2245,4
2246,4
2247,4
2248,4
2249,4
2250,4
2251,4
2252,4
2253,7
2254,4
2255,4
2256,7
2257,2
2258,4
2259,7
2260,7
2261,7
2262,4
2263,7
2264,4
2265,4
2266,4
2267,4
2268,4
2269,4
2270,4
2271,4
2272,4
2273,4
2274,4
2275,4
2276,4
2277,7
2278,4
2279,4
2280,4
2281,4
2282,4
2283,4
2284,4
2285,7
2286,4
2287,4
2288,4
2289,4
2290,7
2291,7
2292,4
2293,4
2294,4
2295,4
2296,4
2297,4
2298,4
2299,4
2300,4
2301,4
2302,4
2303,7
2304,4
2305,4
2306,4
2307,4
2308,7
2309,4
2310,4
2311,7
2312,4
2313,4
2314,4
2315,4
2316,4
2317,4
2318,7
2319,4
2320,4
2321,4
2322,4
2323,4
2324,2
2325,2
2326,4
2327,4
2328,4
2329,4
2330,4
2331,7
2332,4
2333,4
2334,4
2335,4
2336,4
2337,4
2338,4
2339,4
2340,4
2341,4
2342,7
2343,4
2344,2
2345,4
2346,4
2347,4
2348,4
2349,4
2350,7
2351,4
2352,7
2353,4
2354,7
2355,4
2356,4
2357,7
2358,4
2359,4
2360,4
2361,4
2362,7
2363,4
2364,4
2365,7
2366,7
2367,4
2368,4
2369,4
2370,7
2371,4
2372,4
2373,4
2374,4
2375,4
2376,4
2377,4
2378,4
2379,4
2380,4
2381,4
2382,4
2383,7
2384,7
2385,7
2386,4
2387,7
2388,4
2389,4
2390,7
2391,4
2392,4
2393,4
2394,4
2395,4
2396,4
2397,4
2398,4
2399,4
2400,4
