R,spanish
335,4
336,2
337,7
338,7
339,7
340,2
341,3
342,3
343,2
344,2
345,4
346,4
347,3
348,2
349,4
350,4
351,4
352,7
353,7
354,2
355,4
356,4
357,4
358,4
359,4
360,2
361,7
362,2
363,2
364,2
365,2
366,4
367,7
368,4
369,2
370,7
371,4
372,7
373,4
374,3
375,7
376,2
377,2
378,4
379,2
380,3
381,2
382,7
383,2
384,2
385,2
386,2
387,7
388,7
389,7
390,2
391,7
392,4
393,4
394,4
395,4
396,7
397,4
398,4
399,7
400,3
401,4
402,4
403,4
404,4
405,2
406,2
407,4
408,4
409,4
410,3
411,2
412,4
413,7
414,2
415,4
416,7
417,3
418,4
419,2
420,4
421,7
422,4
423,4
424,7
425,3
426,4
427,7
428,2
429,2
430,7
431,4
432,7
433,2
434,7
435,2
436,4
437,4
438,7
439,4
440,7
441,7
442,7
443,4
444,3
445,4
446,4
447,3
448,7
449,7
450,4
451,2
452,2
453,2
454,4
455,7
456,2
457,2
458,4
459,4
460,4
461,4
462,7
463,2
464,2
465,4
466,4
467,4
468,4
469,2
470,4
471,2
472,7
473,4
474,2
475,2
476,2
477,2
478,4
479,4
480,4
481,2
482,4
483,7
484,4
485,4
486,4
487,2
488,4
489,7
490,7
491,4
492,2
493,2
494,2
495,4
496,4
497,4
498,3
499,4
500,3
501,7
502,4
503,4
504,4
505,2
506,2
507,2
508,2
509,4
510,3
511,2
512,4
513,7
514,7
515,4
516,2
517,2
518,7
519,7
520,7
521,2
522,2
523,3
524,4
525,2
526,4
527,7
528,4
529,4
530,3
531,3
532,7
533,4
534,7
535,7
536,4
537,7
538,7
539,7
540,2
541,7
542,7
543,2
544,7
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,7
553,4
554,4
555,4
556,2
557,2
558,7
559,4
560,7
561,2
562,4
563,2
564,3
565,4
566,7
567,4
568,7
569,4
570,4
571,2
572,3
573,4
574,4
575,4
576,7
577,7
578,2
579,7
580,2
581,4
582,4
583,4
584,4
585,4
586,2
587,4
588,4
589,7
590,2
591,7
592,7
593,4
594,7
595,4
596,3
597,4
598,7
599,2
600,2
601,7
602,2
603,4
604,4
605,7
606,7
607,4
608,3
609,4
610,2
611,4
612,4
613,7
614,7
615,4
616,3
617,4
618,4
619,7
620,4
621,7
622,4
623,2
624,4
625,7
626,7
627,3
628,7
629,4
630,2
631,2
632,7
633,4
634,4
635,2
636,2
637,4
638,4
639,4
640,4
641,7
642,4
643,4
644,4
645,7
646,7
647,4
648,4
649,4
650,3
651,4
652,4
653,3
654,4
655,3
656,4
657,2
658,3
659,7
660,4
661,3
662,4
663,7
664,7
665,7
666,4
667,4
668,3
669,4
670,4
671,4
672,3
673,2
674,4
675,3
676,7
677,2
678,2
679,7
680,4
681,7
682,7
683,7
684,7
685,2
686,4
687,4
688,4
689,7
690,4
691,4
692,4
693,4
694,7
695,4
696,7
697,7
698,4
699,4
700,4
701,4
702,4
703,2
704,2
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,2
713,7
714,7
715,3
716,4
717,4
718,7
719,4
720,3
721,2
722,4
723,4
724,4
725,4
726,4
727,3
728,7
729,4
730,4
731,4
732,7
733,4
734,2
735,2
736,4
737,4
738,7
739,7
740,4
741,4
742,4
743,7
744,4
745,4
746,4
747,4
748,4
749,4
750,2
751,2
752,4
753,2
754,4
755,3
756,2
757,4
758,4
759,2
760,7
761,7
762,7
763,7
764,4
765,4
766,4
767,7
768,2
769,7
770,4
771,4
772,2
773,2
774,3
775,4
776,7
777,4
778,2
779,4
780,4
781,2
782,7
783,3
784,2
785,4
786,7
787,4
788,2
789,7
790,4
791,7
792,7
793,4
794,3
795,4
796,7
797,4
798,4
799,2
800,7
801,2
802,7
803,4
804,4
805,7
806,7
807,4
808,4
809,3
810,2
811,4
812,4
813,4
814,4
815,4
816,3
817,4
818,4
819,4
820,4
821,7
822,4
823,4
824,4
825,7
826,4
827,4
828,4
829,3
830,4
831,4
832,4
833,4
834,4
835,4
836,7
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,4
847,7
848,7
849,4
850,4
851,4
852,4
853,4
854,2
855,7
856,4
857,3
858,2
859,2
860,4
861,2
862,2
863,7
864,7
865,4
866,7
867,4
868,2
869,4
870,2
871,7
872,4
873,7
874,4
875,4
876,4
877,7
878,7
879,4
880,7
881,7
882,7
883,4
884,7
885,4
886,4
887,2
888,4
889,3
890,4
891,2
892,7
893,2
894,4
895,4
896,7
897,7
898,7
899,4
900,4
901,4
902,4
903,4
904,2
905,7
906,2
907,2
908,4
909,4
910,7
911,4
912,3
913,4
914,2
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,2
923,4
924,4
925,4
926,3
927,4
928,3
929,2
930,4
931,4
932,4
933,4
934,4
935,3
936,4
937,4
938,4
939,4
940,2
941,7
942,7
943,2
944,2
945,7
946,4
947,7
948,4
949,4
950,4
951,4
952,2
953,4
954,2
955,7
956,4
957,4
958,4
959,4
960,4
961,2
962,2
963,7
964,4
965,7
966,3
967,7
968,7
969,2
970,2
971,4
972,4
973,2
974,4
975,2
976,4
977,4
978,7
979,4
980,2
981,7
982,4
983,7
984,4
985,4
986,7
987,4
988,4
989,7
990,4
991,4
992,7
993,7
994,7
995,4
996,4
997,7
998,2
999,4
1000,3
1001,7
1002,4
1003,2
1004,4
1005,4
1006,7
1007,7
1008,4
1009,4
1010,4
1011,4
1012,2
1013,4
1014,4
1015,7
1016,4
1017,4
1018,4
1019,4
1020,4
1021,7
1022,2
1023,4
1024,2
1025,4
1026,4
1027,4
1028,4
1029,2
1030,7
1031,2
1032,4
1033,7
1034,4
1035,4
1036,4
1037,7
1038,4
1039,4
1040,4
1041,2
1042,7
1043,7
1044,2
1045,4
1046,2
1047,7
1048,4
1049,4
1050,4
1051,7
1052,2
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,2
1060,4
1061,4
1062,4
1063,2
1064,7
1065,7
1066,4
1067,7
1068,4
1069,4
1070,4
1071,7
1072,7
1073,4
1074,2
1075,4
1076,4
1077,4
1078,4
1079,7
1080,7
1081,4
1082,4
1083,4
1084,7
1085,4
1086,7
1087,2
1088,2
1089,7
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,4
1097,4
1098,4
1099,4
1100,7
1101,2
1102,2
1103,7
1104,2
1105,4
1106,2
1107,4
1108,4
1109,4
1110,3
1111,4
1112,4
1113,7
1114,7
1115,2
1116,4
1117,4
1118,4
1119,4
1120,7
1121,4
1122,4
1123,7
1124,2
1125,2
1126,4
1127,7
1128,4
1129,2
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,2
1137,2
1138,2
1139,4
1140,2
1141,7
1142,4
1143,7
1144,4
1145,2
1146,3
1147,2
1148,4
1149,4
1150,4
1151,4
1152,7
1153,7
1154,2
1155,4
1156,4
1157,7
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,7
1165,7
1166,4
1167,4
1168,7
1169,7
1170,4
1171,7
1172,4
1173,3
1174,4
1175,4
1176,4
1177,7
1178,4
1179,4
1180,7
1181,7
1182,7
1183,2
1184,7
1185,4
1186,2
1187,7
1188,4
1189,4
1190,7
1191,4
1192,2
1193,7
1194,4
1195,4
1196,4
1197,2
1198,2
1199,4
1200,4
1201,4
1202,4
1203,4
1204,2
1205,4
1206,4
1207,2
1208,2
1209,4
1210,7
1211,2
1212,2
1213,7
1214,7
1215,7
1216,4
1217,3
1218,2
1219,4
1220,4
1221,4
1222,4
1223,4
1224,7
1225,4
1226,4
1227,7
1228,7
1229,7
1230,4
1231,4
1232,4
1233,4
1234,7
1235,7
1236,4
1237,4
1238,4
1239,7
1240,3
1241,4
1242,4
1243,7
1244,4
1245,4
1246,4
1247,7
1248,2
1249,7
1250,7
1251,7
1252,3
1253,2
1254,2
1255,7
1256,4
1257,4
1258,7
1259,4
1260,2
1261,2
1262,2
1263,4
1264,4
1265,7
1266,7
1267,7
1268,4
1269,4
1270,4
1271,2
1272,4
1273,2
1274,2
1275,7
1276,7
1277,7
1278,2
1279,4
1280,7
1281,4
1282,7
1283,4
1284,4
1285,4
1286,7
1287,4
1288,4
1289,4
1290,7
1291,7
1292,2
1293,4
1294,4
1295,4
1296,4
1297,4
1298,2
1299,4
1300,4
1301,4
1302,4
1303,7
1304,4
1305,4
1306,7
1307,4
1308,7
1309,7
1310,4
1311,4
1312,4
1313,2
1314,4
1315,4
1316,4
1317,4
1318,4
1319,4
1320,4
1321,4
1322,4
1323,2
1324,4
1325,4
1326,7
1327,4
1328,4
1329,7
1330,2
1331,2
1332,2
1333,4
1334,4
1335,7
1336,4
1337,4
1338,4
1339,4
1340,4
1341,7
1342,4
1343,4
1344,4
1345,4
1346,7
1347,4
1348,4
1349,4
1350,7
1351,4
1352,7
1353,7
1354,4
1355,4
1356,4
1357,4
1358,4
1359,2
1360,2
1361,2
1362,2
1363,4
1364,4
1365,4
1366,4
1367,4
1368,2
1369,4
1370,7
1371,4
1372,4
1373,4
1374,4
1375,7
1376,7
1377,4
1378,4
1379,4
1380,2
1381,2
1382,4
1383,4
1384,3
1385,7
1386,4
1387,4
1388,7
1389,4
1390,7
1391,2
1392,4
1393,7
1394,4
1395,4
1396,7
1397,4
1398,4
1399,4
1400,4
1401,7
1402,4
1403,4
1404,4
1405,2
1406,7
1407,7
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,7
1415,4
1416,4
1417,4
1418,4
1419,7
1420,4
1421,4
1422,2
1423,4
1424,7
1425,4
1426,2
1427,4
1428,2
1429,4
1430,4
1431,4
1432,7
1433,4
1434,4
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,2
1442,2
1443,4
1444,7
1445,2
1446,7
1447,7
1448,7
1449,4
1450,7
1451,2
1452,2
1453,4
1454,4
1455,7
1456,4
1457,4
1458,7
1459,2
1460,2
1461,4
1462,4
1463,4
1464,4
1465,4
1466,2
1467,4
1468,2
1469,7
1470,4
1471,4
1472,4
1473,4
1474,7
1475,4
1476,4
1477,2
1478,7
1479,4
1480,4
1481,4
1482,4
1483,4
1484,4
1485,7
1486,4
1487,4
1488,4
1489,4
1490,4
1491,2
1492,4
1493,2
1494,2
1495,2
1496,4
1497,7
1498,4
1499,4
1500,4
1501,7
1502,7
1503,2
1504,7
1505,7
1506,7
1507,4
1508,4
1509,4
1510,7
1511,4
1512,4
1513,4
1514,4
1515,7
1516,2
1517,7
1518,7
1519,4
1520,2
1521,7
1522,2
1523,4
1524,4
1525,7
1526,4
1527,2
1528,4
1529,2
1530,2
1531,4
1532,4
1533,4
1534,2
1535,2
1536,4
1537,7
1538,4
1539,2
1540,2
1541,2
1542,4
1543,4
1544,7
1545,2
1546,2
1547,4
1548,2
1549,2
1550,4
1551,4
1552,7
1553,4
1554,4
1555,2
1556,7
1557,2
1558,4
1559,7
1560,4
1561,4
1562,4
1563,4
1564,7
1565,4
1566,7
1567,4
1568,2
1569,4
1570,4
1571,4
1572,4
1573,7
1574,4
1575,4
1576,7
1577,4
1578,4
1579,4
1580,4
1581,2
1582,4
1583,4
1584,4
1585,4
1586,4
1587,4
1588,4
1589,7
1590,4
1591,4
1592,7
1593,7
1594,2
1595,4
1596,2
1597,4
1598,7
1599,4
1600,4
1601,2
1602,4
1603,7
1604,4
1605,4
1606,4
1607,4
1608,4
1609,7
1610,4
1611,4
1612,7
1613,4
1614,7
1615,7
1616,4
1617,4
1618,4
1619,4
1620,4
1621,4
1622,4
1623,4
1624,7
1625,4
1626,2
1627,4
1628,2
1629,4
1630,2
1631,4
1632,4
1633,4
1634,4
1635,4
1636,4
1637,4
1638,4
1639,4
1640,4
1641,4
1642,4
1643,4
1644,2
1645,2
1646,2
1647,4
1648,7
1649,4
1650,4
1651,4
1652,7
1653,2
1654,2
1655,4
1656,7
1657,4
1658,4
1659,4
1660,4
1661,7
1662,2
1663,4
1664,7
1665,4
1666,4
1667,4
1668,4
1669,4
1670,4
1671,7
1672,4
1673,4
1674,4
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,4
1682,7
1683,4
1684,4
1685,2
1686,4
1687,4
1688,7
1689,4
1690,4
1691,4
1692,4
1693,4
1694,4
1695,2
1696,4
1697,4
1698,2
1699,4
1700,2
1701,2
1702,4
1703,4
1704,7
1705,2
1706,2
1707,2
1708,4
1709,4
1710,4
1711,7
1712,4
1713,2
1714,2
1715,4
1716,4
1717,2
1718,7
1719,2
1720,4
1721,4
1722,2
1723,7
1724,7
1725,2
1726,7
1727,4
1728,4
1729,4
1730,7
1731,4
1732,4
1733,4
1734,4
1735,7
1736,7
1737,7
1738,4
1739,4
1740,4
1741,4
1742,4
1743,4
1744,2
1745,4
1746,4
1747,7
1748,2
1749,2
1750,4
1751,4
1752,7
1753,4
1754,4
1755,4
1756,4
1757,4
1758,4
1759,3
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,4
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,4
1776,4
1777,4
1778,4
1779,7
1780,7
1781,7
1782,2
1783,4
1784,4
1785,4
1786,4
1787,4
1788,2
1789,4
1790,4
1791,4
1792,4
1793,7
1794,4
1795,4
1796,4
1797,4
1798,4
1799,4
1800,7
1801,2
1802,2
1803,4
1804,4
1805,7
1806,4
1807,7
1808,4
1809,4
1810,4
1811,2
1812,2
1813,4
1814,4
1815,4
1816,4
1817,4
1818,4
1819,4
1820,4
1821,7
1822,7
1823,2
1824,7
1825,4
1826,4
1827,4
1828,4
1829,4
1830,4
1831,4
1832,2
1833,4
1834,4
1835,4
1836,4
1837,4
1838,7
1839,4
1840,4
1841,4
1842,4
1843,7
1844,7
1845,4
1846,7
1847,4
1848,4
1849,4
1850,2
1851,2
1852,4
1853,4
1854,4
1855,4
1856,4
1857,4
1858,4
1859,4
1860,4
1861,2
1862,7
1863,4
1864,2
1865,4
1866,7
1867,4
1868,4
1869,4
1870,7
1871,4
1872,2
1873,4
1874,4
1875,4
1876,7
1877,4
1878,4
1879,2
1880,2
1881,7
1882,7
1883,4
1884,4
1885,4
1886,4
1887,7
1888,4
1889,7
1890,4
1891,4
1892,4
1893,4
1894,4
1895,4
1896,4
1897,2
1898,4
1899,2
1900,4
1901,4
1902,4
1903,4
1904,2
1905,4
1906,2
1907,7
1908,2
1909,4
1910,2
1911,7
1912,4
1913,4
1914,7
1915,2
1916,4
1917,4
1918,4
1919,4
1920,7
1921,4
1922,4
1923,4
1924,4
1925,7
1926,7
1927,4
1928,7
1929,4
1930,4
1931,4
1932,4
1933,4
1934,7
1935,4
1936,4
1937,2
1938,4
1939,4
1940,4
1941,7
1942,4
1943,4
1944,4
1945,4
1946,7
1947,4
1948,2
1949,2
1950,4
1951,4
1952,4
1953,4
1954,7
1955,2
1956,4
1957,4
1958,4
1959,4
1960,2
1961,7
1962,4
1963,4
1964,4
1965,4
1966,2
1967,4
1968,4
1969,4
1970,4
1971,2
1972,4
1973,4
1974,4
1975,7
1976,7
1977,7
1978,4
1979,2
1980,4
1981,4
1982,4
1983,4
1984,4
1985,2
1986,2
1987,2
1988,4
1989,4
1990,4
1991,4
1992,4
1993,4
1994,4
1995,4
1996,4
1997,2
1998,2
1999,2
2000,4
2001,4
2002,4
2003,4
2004,4
2005,4
2006,4
2007,4
2008,4
2009,4
2010,4
2011,4
2012,4
2013,4
2014,4
2015,4
2016,4
2017,4
2018,4
2019,4
2020,4
2021,4
2022,4
2023,2
2024,2
2025,4
2026,7
2027,4
2028,4
2029,7
2030,4
2031,4
2032,4
2033,4
2034,4
2035,4
2036,4
2037,4
2038,4
2039,4
2040,4
2041,4
2042,2
2043,4
2044,4
2045,4
2046,4
2047,4
2048,4
2049,4
2050,4
2051,4
2052,4
2053,2
2054,4
2055,7
2056,7
2057,4
2058,7
2059,4
2060,2
2061,2
2062,4
2063,4
2064,4
2065,4
2066,2
2067,4
2068,4
2069,4
2070,2
2071,2
2072,4
2073,4
2074,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,4
2086,4
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,7
2097,4
2098,4
2099,4
2100,7
2101,4
2102,4
2103,4
2104,4
2105,4
2106,4
2107,4
2108,4
2109,4
2110,7
2111,7
2112,4
2113,4
2114,4
2115,4
2116,7
2117,4
2118,4
2119,2
2120,4
2121,4
2122,4
2123,4
2124,7
2125,4
2126,4
2127,4
2128,4
2129,2
2130,4
2131,4
2132,4
2133,4
2134,4
2135,4
2136,4
2137,2
2138,4
2139,4
2140,2
2141,7
2142,7
2143,4
2144,7
2145,4
2146,4
2147,4
2148,2
2149,4
2150,4
2151,4
2152,4
2153,4
2154,4
2155,4
2156,4
2157,4
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,4
2165,4
2166,7
2167,4
2168,4
2169,4
2170,4
2171,4
2172,7
2173,4
2174,4
2175,4
2176,4
2177,4
2178,4
2179,4
2180,2
2181,4
2182,4
2183,4
2184,2
2185,4
2186,4
2187,2
2188,4
2189,4
2190,2
2191,4
2192,4
2193,4
2194,4
2195,4
2196,4
2197,4
2198,7
2199,4
2200,4
2201,4
2202,2
2203,2
2204,2
2205,7
2206,4
2207,4
2208,4
2209,4
2210,2
2211,4
2212,7
2213,4
2214,7
2215,4
2216,2
2217,4
2218,4
2219,4
2220,4
2221,4
2222,4
2223,2
2224,4
2225,2
2226,4
2227,4
2228,4
2229,7
2230,4
2231,4
2232,7
2233,4
2234,4
2235,4
2236,2
2237,4
2238,4
2239,4
2240,4
2241,4
2242,4
2243,4
2244,4
2245,4
2246,4
2247,4
2248,4
2249,2
2250,4
2251,4
2252,4
2253,2
2254,2
2255,4
2256,4
2257,4
2258,2
2259,4
2260,4
2261,4
2262,4
2263,2
2264,4
2265,2
2266,4
2267,4
2268,4
2269,4
2270,4
2271,7
2272,4
2273,2
2274,4
2275,2
2276,2
2277,4
2278,7
2279,4
2280,4
2281,2
2282,4
2283,4
2284,4
2285,4
2286,2
2287,4
2288,4
2289,4
2290,4
2291,7
2292,4
2293,4
2294,4
2295,2
2296,4
2297,4
2298,4
2299,4
2300,2
2301,4
2302,4
2303,4
2304,2
2305,4
2306,2
2307,4
2308,4
2309,4
2310,4
2311,4
2312,4
2313,4
2314,4
2315,2
2316,4
2317,4
2318,4
2319,4
2320,4
2321,4
2322,4
2323,4
2324,4
2325,2
2326,4
2327,4
2328,4
2329,2
2330,4
2331,2
2332,4
2333,2
2334,4
2335,4
2336,4
2337,4
2338,4
2339,4
2340,4
2341,4
2342,2
2343,4
2344,4
2345,4
2346,4
2347,4
2348,4
2349,4
2350,4
2351,4
2352,4
2353,4
2354,7
2355,4
2356,2
2357,4
2358,4
2359,4
2360,4
2361,4
2362,7
2363,2
2364,4
2365,4
2366,4
2367,4
2368,4
2369,4
2370,4
2371,2
2372,4
2373,4
2374,2
2375,4
2376,4
2377,4
2378,4
2379,4
2380,4
2381,4
2382,4
2383,2
2384,4
2385,4
2386,4
2387,4
2388,2
2389,4
2390,2
2391,4
2392,4
2393,2
2394,4
2395,4
2396,4
2397,4
2398,4
2399,4
2400,4
